election_date,state,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
2012-11-06,AK,Fairbanks North Star,borough,01-446,Aurora,Agricultural Museum - Fairgrounds,"1800 College Road, Fairbanks, AK 99101"
2012-11-06,AK,Fairbanks North Star,borough,01-455,Fairbanks No.1,FNSB Borough Offices,"809 Pioneer Road, Fairbanks, AK 99707"
2012-11-06,AK,Fairbanks North Star,borough,01-465,Fairbanks No.2,Golden Towers,"330 3rd Avenue, Fairbanks, AK 99701"
2012-11-06,AK,Fairbanks North Star,borough,01-470,Fairbanks No.3,Noel Wien Library,"1215 Cowles Street, Fairbanks, AK 99701"
2012-11-06,AK,Fairbanks North Star,borough,01-475,Fairbanks No.4,National Guard Armory,"202 Wien Street, Fairbanks, AK 99701"
2012-11-06,AK,Fairbanks North Star,borough,01-480,Fairbanks No.5,Pioneer Park Centennial Center,"2300 Airport Way, Fairbanks, AK 99707"
2012-11-06,AK,Fairbanks North Star,borough,01-485,Fairbanks No.6,Shopper’s Forum Mall,"1255 Airport Way, Fairbanks, AK 99707"
2012-11-06,AK,Fairbanks North Star,borough,01-490,Fairbanks No.7,JP Jones Community Dev Center,"2400 Rickert Street, Fairbanks, AK 99707"
2012-11-06,AK,Fairbanks North Star,borough,01-495,Fairbanks No.10,Pioneer Park Centennial Center,"2300 Airport Way, Fairbanks, AK 99707"
2012-11-06,AK,Fairbanks North Star,borough,02-345,Badger No.2,Badger Plaza,"771 Badger Road, Fairbanks, AK 99711"
2012-11-06,AK,Fairbanks North Star,borough,02-355,Fairbanks No.8,Frontier Outfitters/Gavora Mall,"250 Third Street, Suite 6, Fairbanks, AK 99701"
2012-11-06,AK,Fairbanks North Star,borough,02-365,Fairbanks No.9,Tanana Middle School,"600 Trainor Gate Road, Fairbanks, AK 99701"
2012-11-06,AK,Fairbanks North Star,borough,02-375,Fort Wainwright,Last Frontier Community Activity Center,"1044 Apple Street, Fort Wainwright, AK 99703"
2012-11-06,AK,Fairbanks North Star,borough,03-130,Badger No.1,New Hope Methodist-Presbyterian Church,"2371 Bradway Road, North Pole, AK 99705"
2012-11-06,AK,Fairbanks North Star,borough,03-135,Chena Lakes,Santa Senior Center,"101 E 5th Avenue, North Pole, AK 99705"
2012-11-06,AK,Fairbanks North Star,borough,03-165,Newby,North Pole Plaza Mall,"301 N Santa Claus Ln., North Pole, AK 99707"
2012-11-06,AK,Fairbanks North Star,borough,03-175,North Pole,North Pole City Hall,"125 Snowman Lane, North Pole, AK 99705"
2012-11-06,AK,Fairbanks North Star,borough,03-183,Plack,North Pole Plaza Mall,"301 N Santa Claus Ln., North Pole, AK 99707"
2012-11-06,AK,Fairbanks North Star,borough,04-230,Ester,Ester Fire Station,"3570 Old Nenana Hwy, Ester, AK 99725"
2012-11-06,AK,Fairbanks North Star,borough,04-240,Farmers Loop,Seventh-Day Adventist Church - Gym,"1811 Farmer's Loop Road, Fairbanks, AK 99708"
2012-11-06,AK,Fairbanks North Star,borough,04-250,Goldstream No.1,Chena Goldstream Fire Station 3,"1300 Goldstream Rd, Fairbanks, AK 99709"
