county_name,precinct_name,name,address,polling_place_type,state,polling_place_id,notes,precinct_id
Apache,ALPINE 02,ALPINE COMMUNITY CENTER,"12 COUNTRY ROAD 2061 ALPINE, AZ 85920",polling_place,AZ,,,
Apache,CANYON DE CHELLY 03,CHINLE COMMUNITY CENTER,"US HWY 191 CHINLE, AZ 86503",polling_place,AZ,,,
Apache,CHINLE 05,CHINLE COMMUNITY CENTER,"US HWY 191 CHINLE, AZ 86503",polling_place,AZ,,,
Apache,CONCHO 09,CONCHO ELEMENTARY SCHOOL,"6 COUNTRY ROAD 5101 CONCHO, AZ 85924",polling_place,AZ,,,
Apache,CORNFIELDS 10,CORNFIELDS CHAPTER HOUSE-HEADSTART ROOM,"8 MILES SOUTH OF BURNSIDE JUNCTION, N15 GANADO, AZ 86505",polling_place,AZ,,,
Apache,CORONADO 12,APACHE COUNTY ANNEX (PERA GYM),"75 W. CLEVELAND STREET ST JOHNS, AZ 85936",polling_place,AZ,,,
Apache,COTTONWOOD 11,COTTONWOOD SENIOR CENTER,"RT 4 COTTONWOOD CHAPTER PREMISES CHINLE, AZ 86503",polling_place,AZ,,,
Apache,DENNEHOTSO 13,DENNEHOTSO CHAPTER HOUSE,"1/2 MILE SW OF DENNEHOTSO SCHOOL DENNEHOTSO, AZ 86535",polling_place,AZ,,,
Apache,EAGAR 16,EAGAR TOWN HALL,"22 WEST 2ND STREET EAGAR, AZ 85925",polling_place,AZ,,,
Apache,FLAT TOP 17,FELLOWSHIP HALL,"11 SOUTH HAMBLIN EAGAR, AZ 85925",polling_place,AZ,,,
Apache,FT DEFIANCE 19,FT DEFIANCE CHAPTER HOUSE,"NAVAJO ROUTE 112 FT DEFIANCE, AZ 86504",polling_place,AZ,,,
Apache,GANADO NORTH 22,GANADO USD (FIELDHOUSE),"STATE HWY 264 GANADO, AZ 86505",polling_place,AZ,,,
Apache,GANADO SOUTH 23,GANADO CHAPTER HOUSE,"CHAPTER DRIVE AND HWY 264 GANADO, AZ 86505",polling_place,AZ,,,
Apache,GREER 25,GREER FIRE HOUSE STATION,"38974 STATE ROUTE 373 GREER, AZ 85927",polling_place,AZ,,,
Apache,HOUCK 27,HOUCK CHAPTER HOUSE,"EXIT 348 HOUCK, AZ 86506",polling_place,AZ,,,
Apache,KINLICHEE 29,KINLICHEE CHAPTER HOUSE,"8 MILES E OF GANADO, 27 MILES W OF WINDOW ROCK KINLICHEE, AZ 86505",polling_place,AZ,,,
Apache,KLAGETOH 31,KLAGETOH CHAPTER HOUSE,"15 MILES SOUTH OF STATE 264 ON HWY 191 KLAGETOH, AZ 86505",polling_place,AZ,,,
