state,election_date,jurisdiction,county_name,precinct_id,precinct_name,name,address
AR,2014-11-04,county,Arkansas,011,11 - McFall,Grand Prairie Center,
AR,2014-11-04,county,Arkansas,012,12 - Crockett,St. Charles City Hall,"608 Broadway, St Charles 72140"
AR,2014-11-04,county,Arkansas,013,13 - Keaton,Almyra Community Center,"107 S Elizabeth, Almyra 72003"
AR,2014-11-04,county,Arkansas,014,14 - Mill Bayou,Almyra Community Center,"107 S Elizabeth, Almyra 72003"
AR,2014-11-04,county,Arkansas,015,15 - Almyra,Almyra Community Center,"107 S Elizabeth, Almyra 72003"
AR,2014-11-04,county,Arkansas,021,21 - Prairie,St. Charles City Hall,"608 Broadway, St Charles 72140"
AR,2014-11-04,county,Arkansas,022,22 - Lagrue,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,023,23 - St. Charles,St. Charles City Hall,"608 Broadway, St Charles 72140"
AR,2014-11-04,county,Arkansas,031,31 - Chester,Gillett City Hall,"209 Main, Gillett 72055"
AR,2014-11-04,county,Arkansas,032,32 - Arkansas,Gillett City Hall,"209 Main, Gillett 72055"
AR,2014-11-04,county,Arkansas,033,33 - Stanley,Gillett City Hall,"209 Main, Gillett 72055"
AR,2014-11-04,county,Arkansas,034,34 - Gillett Ward 1,Gillett City Hall,"209 Main, Gillett 72055"
AR,2014-11-04,county,Arkansas,035,35 - Gillett Ward 2,Gillett City Hall,"209 Main, Gillett 72055"
AR,2014-11-04,county,Arkansas,036,36 - Gillett Ward 3,Gillett City Hall,"209 Main, Gillett 72055"
AR,2014-11-04,county,Arkansas,037,37 - PT Deluce,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,038,38 - Bayou Meto,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,041,41 - Morris,Grand Prairie Center,
AR,2014-11-04,county,Arkansas,042,42 - Gum Pond,Grand Prairie Center,
AR,2014-11-04,county,Arkansas,043,43 - Barton,Humphrey City Hall,"113 S. Division, Humphrey 72073"
AR,2014-11-04,county,Arkansas,044,44 - Henton,Humphrey City Hall,"113 S. Division, Humphrey 72073"
AR,2014-11-04,county,Arkansas,045,45 - Brewer,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,046,46 - Garland,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,047,47 - Humphrey Ward 1,Humphrey City Hall,"113 S. Division, Humphrey 72073"
AR,2014-11-04,county,Arkansas,048,48 - Humphrey Ward 3,Humphrey City Hall,"113 S. Division, Humphrey 72073"
AR,2014-11-04,county,Arkansas,051,51 - DeWitt 1,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,053,53 - Dewitt 2,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,055,55 - Dewitt 3,Dewitt Community Center,
AR,2014-11-04,county,Arkansas,071,71 - Stuttgart 1,Grand Prairie Center,
AR,2014-11-04,county,Arkansas,081,81 - Stuttgart 2,Grand Prairie Center,
AR,2014-11-04,county,Arkansas,091,91 - Stuttgart 3,Grand Prairie Center,
AR,2014-11-04,county,Ashley,01,01 - Crossett Ward 1,Crossett City Hall (C W 1),"307 Main Street, Crossett 71635"
AR,2014-11-04,county,Ashley,02,02 - Crossett Ward 2,Housing Authority (CW2),"700 Arkansas Street, Crossett 71635"
AR,2014-11-04,county,Ashley,03,03 - Crossett Ward 3,First Baptist Mmc Building (CW3),"FBC MMC Bldg, 703 Pine Street, Crossett 71635"
AR,2014-11-04,county,Ashley,04,04 - North Crossett East,Mt Olive Baptist Church (NCE),"1533 Hwy 52 West, Crossett 71635"
AR,2014-11-04,county,Ashley,05,05 - North Crossett West,North Crossett FBC (NCW),"1035 Hwy 133, Crossett 71635"
