state,election_date,jurisdiction,county_name,precinct_name,name,address,polling_location_type
AR,2018-11-06,county,,102-1 JP7 R62 S18 SZ7 TEO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,103-1 JP7 R62 S18 SZ5 TEO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,104-1 JP9 R62 S18 SZ4 TNE,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,105-1 JP8 R64 S18 SZ5 TWO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,106-1 JP8 R64 S18 SZ5 TWO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,106-2 JP8 R64 S18 SZ3 TWO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,129-1 JP9 R62 S18 SZ7 TNE,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,106-4 JP8 R64 S18 SZ6 TWO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,102-4 JP7 R62 S18 SZ4 TEO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,102-5 JP7 R62 S18 SZ3 TEO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,103-2 JP7 R62 S18 SZ3 TEO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,103-3 JP7 R62 S18 SZ4 TEO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,104-2 JP9 R62 S18 SZ5 TNE,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,104-3 JP9 R62 S18 SZ6 TNE,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,102-6 JP7 R62 S18 SZ5 TEO,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,129-2 JP9 R62 S18 SZ4 TNE,Fairgrounds New Build.,216 Warren St. Mountain View AR 72560,polling_location
AR,2018-11-06,county,,027-2,027-2 South Cross Roads Church,Piney- JP 11 Rose Bud AR 72137,polling_location
AR,2018-11-06,county,,027-3,027-2 South Cross Roads Church,Piney- JP 11 Rose Bud AR 72137,polling_location
AR,2018-11-06,county,,027-4,027-2 South Cross Roads Church,Piney- JP 11 Rose Bud AR 72137,polling_location
AR,2018-11-06,county,,9-1C.1,V C 027 Cornerstone Freewill Baptist,29201 AR 22 Charleston AR 72933,polling_location
AR,2018-11-06,county,,9-1C.2,V C 027 Cornerstone Freewill Baptist,29201 AR 22 Charleston AR 72933,polling_location
AR,2018-11-06,county,,26-1,Methodist Youth Center (a),201 E Haines St Fisher AR 72429,polling_location
AR,2018-11-06,county,,26-2,Methodist Youth Center (a),201 E Haines St Fisher AR 72429,polling_location
AR,2018-11-06,county,,26-3,Methodist Youth Center (a),201 E Haines St Fisher AR 72429,polling_location
AR,2018-11-06,county,,9-4B.1,V C 024 Grace Lutheran Church,18218 Hwy 71 S Greenwood AR 72396,polling_location
AR,2018-11-06,county,,9-4F.1,V C 024 Grace Lutheran Church,18218 Hwy 71 S Greenwood AR 72396,polling_location
AR,2018-11-06,county,,9-4B.2,V C 024 Grace Lutheran Church,18218 Hwy 71 S Greenwood AR 72396,polling_location
AR,2018-11-06,county,,02-1,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,02-2,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,02-3,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,19-1,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,20-1,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,20-2,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,20-3,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,20-4,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,999.1,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,20-5,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,20-6,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,20-7,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,02-4,Minturn City Hall,101 SW Second St. Minturn AR 72445,polling_location
AR,2018-11-06,county,,50-1,Dierks Community Center South,102 w. 2ND sT Dierks AR 71833,polling_location
AR,2018-11-06,county,,51-1,Dierks Community Center South,102 w. 2ND sT Dierks AR 71833,polling_location
AR,2018-11-06,county,,52-1,Dierks Community Center South,102 w. 2ND sT Dierks AR 71833,polling_location
AR,2018-11-06,county,,745-050 Spg 12,1st Church Of Nazarene At 40th And Chapman,2300 S 40th St Springdale AR 72762,polling_location
AR,2018-11-06,county,,741-050 Spg 08,1st Church Of Nazarene At 40th And Chapman,2300 S 40th St Springdale AR 72762,polling_location
AR,2018-11-06,county,,38-BEN414H2-65D-5,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,38-BEN414H2-15D-5,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,36-BEN313P2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,36-BEN313I2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,36-COU013I2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,36-COU013I2-16F-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,83-BEN313I2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,83-COU013I2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,104-BEN313I2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,104-COU013I2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,104-COU013I2-16F-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,83-BEN413I2-16D-4,VC-9 Northwest Assembly,301 SW UNITY BLVD Bentonville AR 72712,polling_location
AR,2018-11-06,county,,720-050 Spg 05,Youth Center,1000 Watson Ave Springdale AR 72764,polling_location
AR,2018-11-06,county,,749-050 Spg 16,Youth Center,1000 Watson Ave Springdale AR 72764,polling_location
AR,2018-11-06,county,,H1-1 JP5 Rep13 Hsz07,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H1-2 JP5 Rep13 Hsz02,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H2-1 JP6 Rep13 Hsz02,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H2-2 JP6 Rep 13 Hsz02,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H2-3 JP6 Rep 13 Hsz04,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H3-1 JP5 Rep13 Hsz07,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H3-2 JP5 Rep13 Hsz04,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H3-3 JP5 Rep13 Hsz02,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,HC-1 JP6 Rep13 Hsz01,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,HC-2 JP6 Rep13 Hsz02,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,HC-3 JP6 Rep13 Hsz04,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,HC-4 JP6 Rep13 Carlisle SD,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,HC-5 JP9 Rep13 Hsz02,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,H2-4 JP5 Rep13 Hsz04,Hazen Community Center,986 East Front St Hazen AR 72064,polling_location
AR,2018-11-06,county,,06-1,Witt Springs School/Welcome Home Fire Station,10751 Hwy 377 Witts Springs AR 72686,polling_location
AR,2018-11-06,county,,06-2,Witt Springs School/Welcome Home Fire Station,10751 Hwy 377 Witts Springs AR 72686,polling_location
AR,2018-11-06,county,,06-3,Witt Springs School/Welcome Home Fire Station,10751 Hwy 377 Witts Springs AR 72686,polling_location
AR,2018-11-06,county,,10-1,Rock Creek Fire Station,3511 W. Hwy 14 Harriet AR 72639,polling_location
AR,2018-11-06,county,,10-2,Rock Creek Fire Station,3511 W. Hwy 14 Harriet AR 72639,polling_location
AR,2018-11-06,county,,10-3,Rock Creek Fire Station,3511 W. Hwy 14 Harriet AR 72639,polling_location
AR,2018-11-06,county,,Bright Star 1,Vcc 4 Doddridge Comm Ctr Or Any Vote Center,9542 State Highway 160 Doddridge AR 71834,polling_location
AR,2018-11-06,county,,Dod-1,Vcc 4 Doddridge Comm Ctr Or Any Vote Center,9542 State Highway 160 Doddridge AR 71834,polling_location
AR,2018-11-06,county,,Dod-2,Vcc 4 Doddridge Comm Ctr Or Any Vote Center,9542 State Highway 160 Doddridge AR 71834,polling_location
AR,2018-11-06,county,,024-1 LG98 SN5 JP10 GFSD Z1,Oak Grove Freewill Baptist Church,74 CR 624 Oak Grove AR 72660,polling_location
AR,2018-11-06,county,,024-2 LG98 SN5 JP10 BVSD Z2,Oak Grove Freewill Baptist Church,74 CR 624 Oak Grove AR 72660,polling_location
