state,election_date,jurisdiction_type,jurisdiction,precinct_name,precinct_id,name,address,polling_place_type
CT,2016-11-08,town,Andover,Andover Town Hall,001-00,Andover Town Hall,"17 School Road, Andover, CT 06232",polling_place
CT,2016-11-08,town,Ansonia,Ward 1 Ansonia Armory,001-00,Ward 1 Ansonia Armory,"5 State Street, Ansonia, CT 06401",polling_place
CT,2016-11-08,town,Ansonia,Ward 2 Ansonia Armory,002-01,Ward 2 Ansonia Armory,"5 State Street, Ansonia, CT 06401",polling_place
CT,2016-11-08,town,Ansonia,Ward 3 Holy Rosary Church 01,003-01,Ward 3 Holy Rosary Church 01,"3 Father Salemi Drive, Ansonia, CT 06401",polling_place
CT,2016-11-08,town,Ansonia,Ward 4 Ansonia Middle School Gym,004-00,Ward 4 Ansonia Middle School Gym,"115 Howard Avenue Gym, Ansonia, CT 06401",polling_place
CT,2016-11-08,town,Ansonia,Ward 5 Ansonia Middle School Gym,005-00,Ward 5 Ansonia Middle School Gym,"115 Howard Avenue Gym, Ansonia, CT 06401",polling_place
CT,2016-11-08,town,Ansonia,Ward 6 Prendergast School,006-00,Ward 6 Prendergast School,"59 Finney Street, Ansonia, CT 06401",polling_place
CT,2016-11-08,town,Ansonia,Ward 7 Mead School,007-00,Ward 7 Mead School,"75 Ford Street, Ansonia, CT 06401",polling_place
CT,2016-11-08,town,Ashford,Knowlton Memorial Hall,001-00,Knowlton Memorial Hall,"25 Pompey Hollow Road, Ashford, CT 06278",polling_place
CT,2016-11-08,town,Avon,Avon High School - Gymnasium,001-00,Avon High School - Gymnasium,"510 West Avon Road, Avon, CT 06001",polling_place
CT,2016-11-08,town,Avon,Firehouse Company #1,002-00,Firehouse Company #1,"25 Darling Drive, Avon, CT 06001",polling_place
CT,2016-11-08,town,Avon,Roaring Brook School,003-00,Roaring Brook School,"30 Old Wheeler Lane, Avon, CT 06001",polling_place
CT,2016-11-08,town,Barkhamsted,Barkhamsted Elementary School,001-00,Barkhamsted Elementary School,"65 Ripley Hill Road, Barkhamsted, CT 06063",polling_place
CT,2016-11-08,town,Beacon Falls,Laurel Ledge School,001-00,Laurel Ledge School,"30 Highland Avenue, Beacon Falls, CT 06403",polling_place
CT,2016-11-08,town,Berlin,American Legion,002-00,American Legion,"154 Porters Pass, Kensington, CT 06037",polling_place
CT,2016-11-08,town,Berlin,Griswold School,005-00,Griswold School,"133 Heather Lane, Kensington, CT 06037",polling_place
CT,2016-11-08,town,Berlin,Hubbard School,003-00,Hubbard School,"135 Grove Street, East Berlin, CT 06023",polling_place
CT,2016-11-08,town,Berlin,Senior Center,004-00,Senior Center,"31 Colonial Drive, Kensington, CT 06037",polling_place
CT,2016-11-08,town,Berlin,Willard School,001-00,Willard School,"1088 Norton Road, Berlin, CT 06037",polling_place
CT,2016-11-08,town,Bethany,Town Hall,001-00,Town Hall,"40 Peck Road, Bethany, CT 06524",polling_place
CT,2016-11-08,town,Bethel,Bethel Municipal Center 1,001-00,Bethel Municipal Center 1,"1 School Street, Bethel, CT 06801",polling_place
CT,2016-11-08,town,Bethel,Bethel Municipal Center 4,004-00,Bethel Municipal Center 4,"1 School Street, Bethel, CT 06801",polling_place
CT,2016-11-08,town,Bethel,Frank A. Berry School - 3,003-00,Frank A. Berry School - 3,"Whittlesey Drive, Bethel, CT 06801",polling_place
CT,2016-11-08,town,Bethel,Frank A. Berry School - 5,005-00,Frank A. Berry School - 5,"Whittlesey Drive, Bethel, CT 06801",polling_place
CT,2016-11-08,town,Bethel,Stony Hill Fire House -2,002-00,Stony Hill Fire House -2,"59 Stony Hill Road, Bethel, CT 06801",polling_place
CT,2016-11-08,town,Bethlehem,Bethlehem Town Office Building,001-00,Bethlehem Town Office Building,"36 Main Street South, Bethlehem, CT 06751",polling_place
CT,2016-11-08,town,Bloomfield,Bloomfield High School,002-00,Bloomfield High School,"Huckleberry Lane, Bloomfield, CT 06002",polling_place
CT,2016-11-08,town,Bloomfield,Carmen Arace Middle School,003-00,Carmen Arace Middle School,"390 Park Avenue, Bloomfield, CT 06002",polling_place
CT,2016-11-08,town,Bloomfield,Leisure Services Gym,001-00,Leisure Services Gym,"330 Park Avenue, Bloomfield, CT 06002",polling_place
CT,2016-11-08,town,Bloomfield,Laurel Elementary School,005-00,Laurel Elementary School,"1 Filley Street, Bloomfield, CT 06002",polling_place
CT,2016-11-08,town,Bloomfield,Laurel School,006-00,Laurel School,"1 Filley Street, Bloomfield, CT 06002",polling_place
CT,2016-11-08,town,Bloomfield,Metacomet Elementary School,004-00,Metacomet Elementary School,"185 School Street, Bloomfield, CT 06002",polling_place
CT,2016-11-08,town,Bolton,Town Hall,001-00,Town Hall,"222 Bolton Center Road, Bolton, CT 06043",polling_place
CT,2016-11-08,town,Bozrah,Fields Memorial School,001-00,Fields Memorial School,"Bozrah Street Ext, Bozrah, CT 06334",polling_place
CT,2016-11-08,town,Branford,Branford Fire Headquarters,004-00,Branford Fire Headquarters,"45 North Main Street, Branford, CT 06405",polling_place
CT,2016-11-08,town,Branford,Community House,001-00,Community House,"46 Church Street, Branford, CT 06405",polling_place
CT,2016-11-08,town,Branford,Indian Neck School,005-00,Indian Neck School,"12 Melrose Avenue, Branford, CT 06405",polling_place
CT,2016-11-08,town,Branford,Mary T. Murphy School,006-00,Mary T. Murphy School,"14 Brushy Plain Road, Branford, CT 06405",polling_place
CT,2016-11-08,town,Branford,Orchard House,003-00,Orchard House,"421 Shore Drive, Branford, CT 06405",polling_place
CT,2016-11-08,town,Branford,St. Therese Church Hall,002-00,St. Therese Church Hall,"105 Leetes Island Road, Branford, CT 06405",polling_place
CT,2016-11-08,town,Branford,Walsh Intermediate School,007-00,Walsh Intermediate School,"185 Damascus Road, Branford, CT 06405",polling_place
CT,2016-11-08,town,Bridgeport,Beardsley School,124-01,Beardsley School,"500 Huntington Road, Bridgeport, CT 06610",polling_place
CT,2016-11-08,town,Bridgeport,Beardsley School,124-05,Beardsley School,"500 Huntington Road, Bridgeport, CT 06610",polling_place
CT,2016-11-08,town,Bridgeport,Beardsley School,126-01,Beardsley School,"500 Huntington Road, Bridgeport, CT 06610",polling_place
CT,2016-11-08,town,Bridgeport,Blackham School,127-01,Blackham School,"425 Thorme Street, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Black Rock School,129-01,Black Rock School,"545 Brewster Street, Bridgeport, CT 06605",polling_place
CT,2016-11-08,town,Bridgeport,Bassick High School,130-01,Bassick High School,"1181 Fairfield Avenue, Bridgeport, CT 06605",polling_place
CT,2016-11-08,town,Bridgeport,Bassick High School,130-02,Bassick High School,"1181 Fairfield Avenue, Bridgeport, CT 06605",polling_place
CT,2016-11-08,town,Bridgeport,Barnum School,130-05,Barnum School,"495 Waterview, Bridgeport, CT 06608",polling_place
CT,2016-11-08,town,Bridgeport,City Hall,130-03,City Hall,"45 Lyon Terrace, Bridgeport, CT 06604",polling_place
CT,2016-11-08,town,Bridgeport,Cesar Batalla School,130-04,Cesar Batalla School,"606 Howard Ave., Bridgeport, CT 06605",polling_place
CT,2016-11-08,town,Bridgeport,Dunbar School,124-03,Dunbar School,"445 Union Avenue, Bridgeport, CT 06607",polling_place
CT,2016-11-08,town,Bridgeport,Geraldine Johnson School,128-01,Geraldine Johnson School,"475 Lexington Avenue, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Geraldine Johnson School,128-03,Geraldine Johnson School,"475 Lexington Avenue, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Harding High School,124-04,Harding High School,"1734 Central Avenue, Bridgeport, CT 06610",polling_place
CT,2016-11-08,town,Bridgeport,Hallen School,126-02,Hallen School,"51 Omega Avenue, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,John F. Kennedy Campus,124-02,John F. Kennedy Campus,"700 Palisade Avenue, Bridgeport, CT 06610",polling_place
CT,2016-11-08,town,Bridgeport,John Winthrop School,127-03,John Winthrop School,"85 Eckart Street, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Luis Munoz Marin School,128-02,Luis Munoz Marin School,"479 Helen Street, Bridgeport, CT 06608",polling_place
CT,2016-11-08,town,Bridgeport,Madison School,129-02,Madison School,"376 Wayne Street, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Madison School,129-03,Madison School,"376 Wayne Street, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Park City Magnet School,126-03,Park City Magnet School,"1526 Chopsey Hill Road, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Read Middle School,126-04,Read Middle School,"130 Ezra Street, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Read Middle School,127-02,Read Middle School,"130 Ezra Street, Bridgeport, CT 06606",polling_place
CT,2016-11-08,town,Bridgeport,Thomas Hooker School,126-05,Thomas Hooker School,"138 Roger Williams Road, Bridgeport, CT 06610",polling_place
CT,2016-11-08,town,Bridgeport,The Aquaculture Center,129-04,The Aquaculture Center,"60 St. Stephens Road, Bridgeport, CT 06605",polling_place
