election_date,state,jurisdiction_type,county_name,polling_place_id,precinct_id,name,address
2018-11-06,GA,county,APPLING,001012,2,LIONS CLUB BLDG/ AT FAIR GROUNDS,"245 INDUSTRIAL DR, BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001018,1C,1ST ASSEMBLY OF GOD CHURCH,"3397 HATCH PKY N, BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001001,1B,ALTAMAHA FIRE STATION,"392 ALTAMAHA SCHOOL RD, BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001006,4D,BAX CH OF GOD/FELLOWSHIP HALL,"353 BLACKSHEAR HWY, BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001002,5A,BAXLEY CITY GYM,"252 W. PARKER ST., BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001024,5B,BIG OAKS CH. OF GOD (SOCIAL HALL),"5274 LAKE MAYERS RD., BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001008,3C,EXTENSION EDUCATION BLDG/ 4H,"83 S OAK ST, BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001022,3A1,ZION BAPTIST CH,"525 ZION BAPTIST CH. RD., BAXLEY, GA 31513"
2018-11-06,GA,county,APPLING,001010,4B,ZION CH OF GOD,"16 PRATT HUTTO RD SE, SURRENCY, GA 31563"
2018-11-06,GA,county,ATKINSON,002001,0001,ATKINSON CO. ELECTION OFFICE,"636 AUSTIN AVENUE E, PEARSON, GA 31642"
2018-11-06,GA,county,ATKINSON,002002,0002,AXSON FIRE DEPT.,"7191 ATKINSON BLVD. E., AXSON, GA 31624"
2018-11-06,GA,county,ATKINSON,002012,0004,PEARSON CIVIC CENTER,"786 AUSTIN AVENUE EAST, PEARSON, GA 31642"
2018-11-06,GA,county,ATKINSON,002005,0003,WILLACOOCHEE CITY HALL,"33 FLEETWOOD AVENUE, WILLACOOCHEE, GA 31650"
2018-11-06,GA,county,BACON,003002,DOUGL,BACON COUNTY ELECTIONS OFFICE,"232 WEST 12TH STREET, ALMA, GA 31510"
2018-11-06,GA,county,BAKER,004001,A,ANNA COURT HOUSE," HWY 200, BAKER COUTY, GA "
2018-11-06,GA,county,BAKER,004004,E,ELMODEL COURT HOUSE," HIGHWAY 37, BAKER COUNTY, GA "
2018-11-06,GA,county,BAKER,004002,N,HISTORICAL COURT HOUSE," MAIN STREET OLD DOWNTOWN, NEWTON, GA 39870"
2018-11-06,GA,county,BAKER,004005,H,HOGGARDS MILL COURT HOUSE," HIGHWAY 91, BAKER COUNTY, GA "
2018-11-06,GA,county,BAKER,004006,M,MILFORD COURT HOUSE," HIGHWAY 216, BAKER COUNTY, GA "
2018-11-06,GA,county,BALDWIN,005001,CTY4,BALDWIN COUNTY COURTHOUSE,"121 N WILKINSON ST, MILLEDGEVILLE, GA 31061"
2018-11-06,GA,county,BALDWIN,005002,CTY2,CITY HALL ANNEX,"127 E HANCOCK ST, MILLEDGEVILLE, GA 31061"
2018-11-06,GA,county,BALDWIN,005003,322,COOPERS FIRE DEPT,"252 COOPERS RD SW, MILLEDGEVILLE, GA 31061"
2018-11-06,GA,county,BALDWIN,005015,CTY6,DUNLAP ROAD FIRE STATION,"751 DUNLAP RD NE, MILLEDGEVILLE, GA 31061"
2018-11-06,GA,county,BALDWIN,005006,MONT,EAST BALDWIN FIRE DEPARTMENT,"207 LOVERS LN NE, MILLEDGEVILLE, GA 31061"
2018-11-06,GA,county,BALDWIN,005005,CTY5,FIRE DEPARTMENT,"201 W THOMAS ST, MILLEDGEVILLE, GA 31061"
2018-11-06,GA,county,BALDWIN,005009,CTY3,FORMERLY BODDIE MIDDLE SCHOOL,"1340 ORCHARD HILL RD, MILLEDGEVILLE, GA 31061"
