state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
IL,Adams,Adams County,city/county,100001,CONCORD 1,CONCORD TOWN HALL,"2718 N 1503RD LN, CLAYTON, IL"
IL,Adams,Adams County,city/county,10001,CLAYTON 1,CLAYTON AMERICAN LEGION,"111 S PARK ST, CLAYTON, IL"
IL,Adams,Adams County,city/county,110001,MCKEE 1,MCKEE TOWN HALL,"2980 N. 1200TH ST, CLAYTON, IL"
IL,Adams,Adams County,city/county,120001,BEVERLY 1,BEVERLY TOWN HALL,"2690 N. 250TH AVE, LIBERTY, IL"
IL,Adams,Adams County,city/county,130001,COLUMBUS 1,COLUMBUS SHELTER HOUSE,"113 E LIBERTY ST, COLUMBUS, IL"
IL,Adams,Adams County,city/county,140001,LIBERTY 1,LIBERTY TOWNSHIP HALL,"600 DUDLEY ST., LIBERTY, IL"
IL,Adams,Adams County,city/county,150001,RICHFIELD 1,RICHFIELD METHODIST CH,"397 E. 2050TH ST., PLAINVILLE, IL"
IL,Adams,Adams County,city/county,160001,GILMER 1,GILMER TOWN HALL,"1350 E. 1600TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,170001,BURTON 1,RICHARD MINNICK BUILDING,"873 E 1450TH ST LOT 2, LIBERTY, IL"
IL,Adams,Adams County,city/county,180001,PAYSON 1,PAYSON VILLAGE HALL,"114 N. MAIN ST., PAYSON, IL"
IL,Adams,Adams County,city/county,180002,PAYSON 2,PLAINVILLE VILLAGE HALL,"550 PARK ST., PLAINVILLE, IL"
IL,Adams,Adams County,city/county,190001,ELLINGTON 1,COLUMBUS RD BAPTIST CHURCH,"3601 COLUMBUS RD., QUINCY, IL"
IL,Adams,Adams County,city/county,190002,ELLINGTON 2,COLUMBUS RD BAPTIST CHURCH,"3601 COLUMBUS RD., QUINCY, IL"
IL,Adams,Adams County,city/county,190003,ELLINGTON 3,COLUMBUS RD BAPTIST CHURCH,"3601 COLUMBUS RD., QUINCY, IL"
IL,Adams,Adams County,city/county,200001,MELROSE 1,ST ANTHONY SCHOOL HALL,"2307 ST. ANTHONY RD., QUINCY, IL"
IL,Adams,Adams County,city/county,200002,MELROSE 2,MELROSE CHAPEL,"3600 PAYSON RD., QUINCY, IL"
IL,Adams,Adams County,city/county,200003,MELROSE 3,MELROSE CHAPEL,"3600 PAYSON RD., QUINCY, IL"
IL,Adams,Adams County,city/county,200004,MELROSE 4,MELROSE CHAPEL,"3600 PAYSON RD., QUINCY, IL"
IL,Adams,Adams County,city/county,200005,MELROSE 5,ST ANTHONY SCHOOL HALL,"2307 ST. ANTHONY RD., QUINCY, IL"
IL,Adams,Adams County,city/county,200006,MELROSE 6,ST ANTHONY SCHOOL HALL,"2307 ST. ANTHONY RD., QUINCY, IL"
IL,Adams,Adams County,city/county,20001,NORTHEAST 1,GOLDEN COMMUNITY CENTER,"307 QUINCY ST., GOLDEN, IL"
IL,Adams,Adams County,city/county,210001,FALL CREEK 1,FALL CREEK TOWN HALL,"408 N. 453RD LN., QUINCY, IL"
IL,Adams,Adams County,city/county,220001,RIVERSIDE 1,FAITH CHRISTIAN CHURCH,"4115 N. 12TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,220002,RIVERSIDE 2,FAITH CHRISTIAN CHURCH,"4115 N. 12TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,220003,RIVERSIDE 3,FAITH CHRISTIAN CHURCH,"4115 N. 12TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230001,QUINCY 1,IL VETERANS HOME-LIPPINCOTT HALL,"1707 N. 12TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230002,QUINCY 2,IL VETERANS HOME-LIPPINCOTT HALL,"1707 N. 12TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230003,QUINCY 3,ST VINCENTS HOME-COMMUNITY CENTER,"1440 N. 10TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230004,QUINCY 4,ST VINCENTS HOME-COMMUNITY CENTER,"1440 N. 10TH ST., QUINCY, IL"
