state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
IA,2012-11-06,county,Adair,2NE,2NE STUART,STUART RECREATIONAL CENTER,"323 SW 2ND ST, STUART IA 50250"
IA,2012-11-06,county,Adair,4SE,4SE ORIENT,ORIENT UNITED METHODIST CHURCH,"124 S MAPLE ST, ORIENT IA 50858"
IA,2012-11-06,county,Adair,5GF,5GF GREENFIELD,ADAIR CO HEALTH & FITNESS CENTER,"202 N TOWNLINE RD, GREENFIELD IA 50849"
IA,2012-11-06,county,Adair,3SW,3SW FONTANELLE,FONTANELLE COMMUNITY BUILDING,"224 3RD ST, FONTANELLE IA 50846"
IA,2012-11-06,county,Adair,1NW,1NW ADAIR,ADAIR COMMUNITY CENTRE,"103 S 5TH ST, ADAIR IA 50002"
IA,2012-11-06,county,Adams,AD1,ADAMS 1,CORNING COMMUNITY CENTER,"606 6TH STREET, CORNING IA 50841"
IA,2012-11-06,county,Adams,AD3,ADAMS 3,REDEEMER LUTHERAN CHURCH,"800 17TH ST, CORNING IA 50841"
IA,2012-11-06,county,Adams,AD5,ADAMS 5,PRESCOTT CITY HALL,"607 2ND ST, PRESCOTT IA 50859"
IA,2012-11-06,county,Adams,AD2,ADAMS 2,CORNING CITY LIBRARY,"603 9TH STREET, CORNING IA 50841"
IA,2012-11-06,county,Adams,AD4,ADAMS 4,NODAWAY COMMUNITY BUILDING,"300 7TH AVE, NODAWAY IA 50857"
IA,2012-11-06,county,Allamakee,PCT 1,WL/HV,ST. MARY'S CHURCH DORCHESTER,"590 WATERLOO CREEK DR, DORCHESTER IA 52140"
IA,2012-11-06,county,Allamakee,PCT 3,PO/FK,TURNER HALL,"119 E GREENE ST, POSTVILLE IA 52162"
IA,2012-11-06,county,Allamakee,PCT 5,PC/LT/WV CITY,WATERVILLE CITY HALL,"115 MAIN ST, WATERVILLE IA 52170"
IA,2012-11-06,county,Allamakee,PCT 6,FV/TL/HF CITY,HARPERS FERRY COMMUNITY CENTER,"238 N 4, HARPERS FERRY IA 52146"
IA,2012-11-06,county,Allamakee,PCT 8,UC/IA/NA CITY,NEW ALBIN COMMUNITY CENTER,"137 RAILROAD AVE SW, NEW ALBIN IA 52160"
IA,2012-11-06,county,Allamakee,PCT 4,PV CITY,TURNER HALL,"119 E GREENE ST, POSTVILLE IA 52162"
IA,2012-11-06,county,Allamakee,PCT 11,WK 3 CITY,ALLAMAKEE COURTHOUSE,"110 ALLAMAKEE ST, WAUKON IA 52172"
IA,2012-11-06,county,Allamakee,PCT 10,WK 2 CITY,ST. JOHN'S LUTHERAN CHURCH,"8 5 ST SW, WAUKON IA 52172"
IA,2012-11-06,county,Allamakee,PCT 9,WK 1 CITY,NICC CENTER,"101 ALLAMAKEE ST, WAUKON IA 52172"
IA,2012-11-06,county,Allamakee,PCT 7,LF/CN/LS/LS CITY,KBSB COMMUNITY CENTER,"391 MAIN ST, LANSING IA 52151"
IA,2012-11-06,county,Allamakee,PCT 2,UP/MK/FC/JF/LL,WAUKON BANQUET CENTER,"612 ROSSVILLE RD, WAUKON IA 52146"
IA,2012-11-06,county,Appanoose,UN,Union,TOWNSHIP HALL,"313TH AVE, MORAVIA IA 52571"
IA,2012-11-06,county,Appanoose,UD,Udell,UNIONVILLE AMERICAN LEGION,"MAIN ST, UNIONVILLE IA 52594"
IA,2012-11-06,county,Appanoose,CW,Caldwell,EXLINE COMMUNITY BUILDING,"MAIN ST, EXLINE IA 52555"
IA,2012-11-06,county,Appanoose,JO,Johns Independence,CHRISTIAN CHURCH FELLOWSHIP HALL,"2ND ST, PLANO IA 52581"
IA,2012-11-06,county,Appanoose,BL,Bellair Lincoln,NUMA COMMUNITY CENTER,"104 WALNUT ST, NUMA IA 52544"
IA,2012-11-06,county,Appanoose,PS,Pleasant Franklin,CINCINNATI CITY HALL,"W PLEASANT ST, CINCINNATI IA 52549"
IA,2012-11-06,county,Appanoose,WS,Washington Wells,MOULTON CITY HALL,"MAIN ST, MOULTON IA 52572"
IA,2012-11-06,county,Appanoose,WA,Walnut,MYSTIC CITY HALL,"MAIN ST, MYSTIC IA 52574"
IA,2012-11-06,county,Appanoose,TY,Taylor Chariton,MORAVIA CITY HALL,"116 S WILLIAM, MORAVIA IA 52571"
IA,2012-11-06,county,Appanoose,VM,Vermillion Douglas Sharon,COURTHOUSE-1ST FLOOR,"201 N 12TH, CENTERVILLE IA 52544"
IA,2012-11-06,county,Appanoose,CV3,Centerville W3,LAKEVIEW SCHOOL,"W COTTAGE, CENTERVILLE IA 52544"
IA,2012-11-06,county,Appanoose,CV2,Centerville W2,CENTERVILLE CITY HALL,"312 E MAPLE, CENTERVILLE IA 52544"
IA,2012-11-06,county,Appanoose,CV1,Centerville W1,BUS BARN,"10TH & FRANKLIN, CENTERVILLE IA 52544"
IA,2012-11-06,county,Audubon,02,Precinct 2,EXIRA REC CENTER,"106 N JEFFERSON, EXIRA IA 50076"
IA,2012-11-06,county,Audubon,01,Precinct 1,AHS ACTIVITY CENTER,"800 3RD AVE, AUDUBON IA 50025"
IA,2012-11-06,county,Benton,BP2,Precinct Bp2,BELLE PLAINE COMMUNITY CENTER DINING ROOM,"1309 5TH AVENUE, BELLE PLAINE IA 52208"
IA,2012-11-06,county,Benton,BP3,Precinct Bp3,BELLE PLAINE FIRE STATION,"504 13TH STREET, BELLE PLAINE IA 52208"
IA,2012-11-06,county,Benton,BR,Precinct Br,CEDAR-MT AUBURN HALL,"203 2ND STREET, MT. AUBURN IA 52313"
IA,2012-11-06,county,Benton,KA,Precinct Ka,KEYSTONE CITY HALL,"208 1ST STREET, KEYSTONE IA 52249"
IA,2012-11-06,county,Benton,BP1,Precinct Bp1,BELLE PLAINE COMMUNITY CENTER RSVP RM,"1309 5TH AVE, BELLE PLAINE IA 52208"
IA,2012-11-06,county,Benton,WA,Precinct Wa,WALFORD COMMUNITY CENTER,"120 5TH STREET N, WALFORD IA 52351"
IA,2012-11-06,county,Benton,VT2,Precinct Vt2,VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON IA 52349"
IA,2012-11-06,county,Benton,HO,Precinct Ho,GARRISON FIRE STATION,"204 N SYCAMORE STREET, GARRISON IA 52229"
IA,2012-11-06,county,Benton,VT4,Precinct Vt4,VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON IA 52349"
IA,2012-11-06,county,Benton,EL,Precinct El,NEWHALL CITY HALL,"220 1ST STREET, NEWHALL IA 52315"
IA,2012-11-06,county,Benton,VT1,Precinct Vt1,VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON IA 52349"
IA,2012-11-06,county,Benton,BG,Precinct Bg,VAN HORNE EMERGENCY STATION,"95 MAIN STREET, VAN HORNE IA 52346"
IA,2012-11-06,county,Benton,VT3,Precinct Vt3,VINTON SKATE & ACTIVITY CENTER,"1703 C AVE, VINTON IA 52349"
IA,2012-11-06,county,Benton,ED,Precinct Ed,BENTON COUNTY COURTHOUSE,"111 E 4TH STREET, VINTON IA 52349"
IA,2012-11-06,county,Benton,IA,Precinct Ia,BLAIRSTOWN COMMUNITY CENTER,"305 LOCUST STREET NW, BLAIRSTOWN IA 52209"
IA,2012-11-06,county,Benton,FL,Precinct Fl,ST. MICHAEL'S PARISH CENTER,"512 EVERGREEN STREET, NORWAY IA 52318"
IA,2012-11-06,county,Benton,PO,Precinct Po,URBANA COMMUNITY CENTER,"906 W MAIN STREET, URBANA IA 52345"
IA,2012-11-06,county,Benton,FR,Precinct Fr,ATKINS CITY HALL/LIBRARY,"480 3RD AVE, ATKINS IA 52206"
IA,2012-11-06,county,Benton,BN,Precinct Bn,SHELLSBURG LEGION HALL,"114 MAIN STREET SW, SHELLSBURG IA 52332"
IA,2012-11-06,county,Black Hawk,Q000,Spring Creek,Q000 UNION HIGH SCHOOL,"200 ADAMS ST, LA PORTE CITY IA 50651"
IA,2012-11-06,county,Black Hawk,B000,Bennington,B000  ST JOHN'S LUTHERAN CHURCH,"4110 E MT VERNON RD, WATERLOO IA 50703"
IA,2012-11-06,county,Black Hawk,G000,Eagle,G000  ST MARY OF MOUNT CARMEL CHURCH,"1435 E EAGLE RD, WATERLOO IA 50701"
IA,2012-11-06,county,Black Hawk,X201,Precinct X201,X201 UNITED CHURCH OF CHRIST,"9204 UNIVERSITY AVE, CEDAR FALLS IA 50613"
