state,jurisdiction_type,county_name,precinct_name,name,address
KY,county,,HESLER,HESLER ASSEMBLY OF GOD CHURCH,25 BRECK RD OWENTON KY 40359
KY,county,,WEST HAWESVILLE,HAWESVILLE CITY HALL,395 MAIN ST HAWESVILLE KY 42348
KY,county,,UTILITY,NORTH HANCOCK ELEMENTARY SCHOOL,330 FRANK LUTTRELL RD LEWISPORT KY 42351
KY,county,,PRECINCT 115 46 DISTRICT,BELIEVERS CHURCH GYM,7905 SMYRNA PKWY LOUISVILLE KY 40228
KY,county,,PRECINCT 132 46 DISTRICT,BELIEVERS CHURCH GYM,7905 SMYRNA PKWY LOUISVILLE KY 40228
KY,county,,MEETING CREEK,84 FIRE DEPT,21120 SONORA HARDIN SPRINGS RD BIG CLIFTY KY 42712
KY,county,,COURTHOUSE,COURTHOUSE,210 MAIN ST WILLIAMSBURG KY 40769
KY,county,,CITY FIRE STATION #2,HARRISON COUNTY HIGH SCHOOL,320 WEBSTER AVE CYNTHIANA KY 41031
KY,county,,LIBRARY,HARRISON COUNTY HIGH SCHOOL,320 WEBSTER AVE CYNTHIANA KY 41031
KY,county,,RIVER,HARRISON COUNTY HIGH SCHOOL,320 WEBSTER AVE CYNTHIANA KY 41031
KY,county,,STEVENSON ELEMENTARY SCHL,STEVENSON ELEMENTARY SCHOOL,1000 N MAIN ST RUSSELLVILLE KY 42276
KY,county,,RADCLIFF NORTH,COLVIN COMMUNITY CENTER,230 FREEDOMS WAY RADCLIFF KY 40160
KY,county,,RADCLIFF WEST,COLVIN COMMUNITY CENTER,230 FREEDOMS WAY RADCLIFF KY 40160
KY,county,,CALLOWAY,CALLOWAY HIGH SCHOOL - ATRIUM,2108 COLLEGE FARM RD MURRAY KY 42071
KY,county,,MOUTHCARD,MOUTHCARD SENIOR CITIZEN CENTER,234 N LEVISA RD MOUTHCARD KY 41548
KY,county,,SADIEVILLE,SADIEVILLE CITY CLERKS OFFICE,605 PIKE STREET SADIEVILLE KY 40370
KY,county,,WEST GREENSBURG,COURTHOUSE,203 WEST COURT ST GREENSBURG KY 42743
KY,county,,PRECINCT 184 29 DISTRICT,LIFE BRIDGE CHRISTIAN CHURCH,8001 DAMASCUS RD LOUISVILLE KY 40228
KY,county,,PRECINCT 169 29 DISTRICT,LIFE BRIDGE CHRISTIAN CHURCH,8001 DAMASCUS RD LOUISVILLE KY 40228
KY,county,,SOUTH PROVIDENCE,PROV MUNICIPAL BLDG COUNCIL CHAM,200 N WILLOW PROVIDENCE KY 42450
KY,county,,"EAST ""A"" LEITCHFIELD",GRAYSON CO MIDDLE SCHOOL BLDG,726 JOHN HILL TAYLOR DR LEITCHFIELD KY 42754
KY,county,,NORTH LEITCHFIELD,GRAYSON CO MIDDLE SCHOOL BLDG,726 JOHN HILL TAYLOR DR LEITCHFIELD KY 42754
KY,county,,"NORTH ""A"" LEITCHFIELD",GRAYSON CO MIDDLE SCHOOL BLDG,726 JOHN HILL TAYLOR DR LEITCHFIELD KY 42754
KY,county,,STEPHENSBURG,LAKEWOOD ELEMENTARY SCHOOL,265 LEARNING PLACE LN STEPHENSBURG KY 42732
KY,county,,PRECINCT 104 41 DISTRICT,ROOSEVELT PERRY ELEMENTARY SCHOOL GYM,1615 W BROADWAY LOUISVILLE KY 40203
KY,county,,VINE GROVE WEST,VINE GROVE ELEMENTARY SCHOOL,309 FIRST STREET CAFETERIA VINE GROVE KY 40175
KY,county,,CHRISTIAN CO MI SCHOOL #1,CHRISTIAN CO MIDDLE SCHOOL,215 GLASS AVE HOPKINSVILLE KY 42240
KY,county,,CHRISTIAN CO MI SCHOOL #2,CHRISTIAN CO MIDDLE SCHOOL,215 GLASS AVE HOPKINSVILLE KY 42240
KY,county,,MURRAY #13,WESTSIDE BAPTIST CHURCH,207 ROBERTSON RD S MURRAY KY 42071
KY,county,,N. WICKLIFFE,WICKLIFFE CITY HALL,321 COURT ST WICKLIFFE KY 42087
KY,county,,S. WICKLIFFE,WICKLIFFE CITY HALL,321 COURT ST WICKLIFFE KY 42087
KY,county,,HINKLEVILLE,ANTIOCH BAPTIST CHURCH ANNEX,315 ANTIOCH CHURCH RD BARLOW KY 42024
KY,county,,WARD 1 PRECINCT 5,MAYFIELD HIGH SCHOOL,700 DOUTHITT ST MAYFIELD KY 42066
KY,county,,MUNICIPAL HOUSING COMM.,MUNICIPAL HOUSING COMM OFFICE,940 HICK ST RUSSELLVILLE KY 42276
KY,county,,TAYLOR MILL #4,ST ANTHONY CHURCH UNDERCROFT,485 GRAND AVE TAYLOR MILL KY 41015
KY,county,,SACRAMENTO,SACRAMENTO METHODIST CHURCH,60 MAIN ST SACRAMENTO KY 42372
KY,county,,FT THOMAS R,WOODFILL ELEMENTARY SCHOOL,1025 ALEXANDRIA PK FORT THOMAS KY 41075
KY,county,,LOVELACEVILLE,LOVELACEVILLE BAPTIST CHURCH,253 N BROADWAY LOVELACEVILLE KY 42060
KY,county,,OWENSBORO #39,CENTURY CHRISTIAN CHURCH,1301 TAMARACK RD OWENSBORO KY 42301
KY,county,,SOM 5C MALL,SOMERSET MALL,4150 S HWY 27 SOMERSET KY 42501
KY,county,,BURNSIDE COUNTY 36A,SOMERSET MALL,4150 S HWY 27 SOMERSET KY 42501
KY,county,,BOURBON WEST 10 W,SOMERSET MALL,4150 S HWY 27 SOMERSET KY 42501
KY,county,,WEST LEWISPORT,LEWISPORT FIRE STATION,590 OLD MILL RD LEWISPORT KY 42351
KY,county,,BILOXI,CRAWFORD MIDDLE SCHOOL,1813 CHARLESTON DR LEXINGTON KY 40505
KY,county,,KIRKSEY,KIRKSEY UNITED METHODIST CHURCH,3691 KIRKSEY RD MURRAY KY 42054
KY,county,,RADCLIFF SOUTH,RADCLIFF ELEMENTARY SCHOOL,1145 S DIXIE IN CAFETERIA RADCLIFF KY 40160
KY,county,,RADCLIFF SOUTHEAST,RADCLIFF ELEMENTARY SCHOOL,1145 S DIXIE IN CAFETERIA RADCLIFF KY 40160
KY,county,,CRESCENT SPRINGS #2,CLUBHOUSE EMERALD SPRINGS CONDO,2201 EDENDERRY DR CRESCENT SPRINGS KY 41017
KY,county,,THIRTEEN,CEDAR SPRINGS FIRE HALL,51 CEDAR SPRINGS RD SCOTTSVILLE KY 42164
KY,county,,LIVING HOPE BAPTIST,LIVING HOPE BAPTIST CHURCH,6305 EAGLE WAY HOPKINSVILLE KY 42240
KY,county,,OAKLEY,CROSS ROADS FIRE DEPARTMENT,7400 HWY 490 EAST BERNSTADT KY 40729
KY,county,,CROSS ROADS,CROSS ROADS FIRE DEPARTMENT,7400 HWY 490 EAST BERNSTADT KY 40729
KY,county,,WORTHINGTON ,CHURCH OF THE NAZARENE FELLOWSHIP,920 KENTUCKY AVE WORTHINGTON KY 41183
KY,county,,CENTRAL,WARREN CENTRAL HIGH SCHOOL,559 MORGANTOWN RD BOWLING GREEN KY 42101
