state,jurisdiction_type,jurisdiction,county_name,county_fips,municipality,ward,precinct_id,name,address,ghost_precinct
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,01,MIRE FIRE STATION,"5248 MIRE HWY, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,02A,RAYNE CITY COURTROOM,"301 E LOUISIANA AVE, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,02B,RAYNE CITY COURTROOM,"301 E LOUISIANA AVE, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,03A,RAYNE HIGH SCHOOL GYM,"1020 N POLK ST, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,03B,RAYNE HIGH SCHOOL GYM,"1020 N POLK ST, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,04A,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,04B,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,05A,SOUTH SIDE COMMUNITY CENTER,"403 4TH ST, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,05B,SOUTH SIDE COMMUNITY CENTER,"403 4TH ST, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,06,NORTH SIDE COMMUNITY CENTER,"608 MARTIN LUTHER KING DR, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,07,RAYNE FEDERAL HOUSING,"403 WEST OAK ST, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,08,B&C SELF-STORAGE,"1931 E JEFF DAVIS AVE, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,01,09,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,02,01,MIRE FIRE STATION,"5248 MIRE HWY, RAYNE",
LA,parish,ACADIA,ACADIA,22001,RAYNE,02,02,CRAMER DRYERS,"1190 WABASH RD, RAYNE",
LA,parish,ACADIA,ACADIA,22001,BRANCH,02,03,BRANCH FIRE STATION,"173 DR PARROT RD, BRANCH",
LA,parish,ACADIA,ACADIA,22001,CROWLEY/EUNICE,02,04,MOWATA CATHOLIC CHURCH HALL,"29057 CROWLEY EUNICE HWY, CROWLEY/EUNICE",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,02,05,CROWLEY HIGH SCH COMMONS AREA,"263 HENSGENS RD, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,01,CHURCH POINT CITY HALL,"102 CHURCH BLVD, COUNCIL RM, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,02,RICHARD ELEMENTARY SCHOOL,"1616 CHARLENE HWY, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,03A,CHURCH POINT HIGH & ELEM SCH CAFETERIA,"415 E LOUGARE ST, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,03B,CHURCH POINT HIGH & ELEM SCH CAFETERIA,"415 E LOUGARE ST, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,04,CHURCH POINT JR HIGH SCHOOL,"340 W MARTIN LUTHER KING DR, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,05,RICHARD ELEMENTARY SCHOOL,"1616 CHARLENE HWY, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,06,CHURCH POINT CITY HALL,"102 CHURCH BLVD, COUNCIL RM, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,CHURCH POINT,03,07,VAUTROTS STORE,"1338 PEACH BLOOM HWY, CHURCH POINT",
LA,parish,ACADIA,ACADIA,22001,BASILE,04,01,TE-MAMOU KC COUNCIL 4906,"4998 EVANGELINE HWY, BASILE",
LA,parish,ACADIA,ACADIA,22001,IOTA,04,02,IOTA HIGH SCHOOL LOBBY,"474 S 5TH ST, IOTA",
LA,parish,ACADIA,ACADIA,22001,EGAN,04,04,EGAN ELEMENTARY SCHOOL,"2166 EGAN HWY, EGAN",
LA,parish,ACADIA,ACADIA,22001,EVANGELINE,04,05,EVANGELINE ELEMENTARY SCHOOL,"1448 OLD EVANGELINE HWY, EVANGELINE",
LA,parish,ACADIA,ACADIA,22001,IOTA,04,06,IOTA HIGH SCHOOL LOBBY,"474 S 5TH ST, IOTA",
LA,parish,ACADIA,ACADIA,22001,MERMENTAU,05,01A,MERMENTAU TOWN HALL,"104 7TH ST, MERMENTAU",
LA,parish,ACADIA,ACADIA,22001,ESTHERWOOD,05,02A,ESTHERWOOD TOWN HALL,"124 N LEBLANC ST, ESTHERWOOD",
LA,parish,ACADIA,ACADIA,22001,MORSE,05,03,MORSE ELEMENTARY SCHOOL,"200 WISCONSIN ST, MORSE",
LA,parish,ACADIA,ACADIA,22001,MORSE,05,04,MORSE ELEMENTARY SCHOOL,"200 WISCONSIN ST, MORSE",
LA,parish,ACADIA,ACADIA,22001,MIDLAND,05,05,MIDLAND CATHOLIC CHURCH HALL,"214 2ND ST, MIDLAND",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,01,NORTH CROWLEY MIDDLE SCHOOL,"401 W NORTHERN AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,02,NOTRE DAME HIGH SCHOOL,"910 N EASTERN AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,03A,NORTH CROWLEY KINDERGARTEN,"1119 N PARKERSON AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,03B,NORTH CROWLEY KINDERGARTEN,"1119 N PARKERSON AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,04,ST MICHAEL CATHOLIC CHURCH HALL,"211 W HUTCHINSON, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,06,OLD ROSS HIGH SCHOOL,"800 N WESTERN AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,07,RICE FESTIVAL BUILDING,"717 W MILL ST, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,08,IMMACULATE HEART OF MARY HALL,"616 S AVENUE M, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,09,SOUTH CROWLEY ELEM SCHOOL,"1102 S PARKERSON AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,10,LYONS POINT COMMUNITY CENTER,"8006 LYONS POINT HWY, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,11,MARTIN LUTHER KING JR CENTER,"1725 W HUTCHINSON AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,12,SCHOOL BOARD MEDIA CENTER,"2402 N PARKERSON AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,13,SCHOOL BOARD MEDIA CENTER,"2402 N PARKERSON AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,14,ACADIA ANIMAL CLINIC,"7433 S LA 13, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,15,SOUTH CROWLEY ELEM SCHOOL,"1102 S PARKERSON AVE, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,CROWLEY,06,16,LSU RICE EXPERIMENTAL STATION,"1373 CAFFEY RD, CROWLEY",
LA,parish,ACADIA,ACADIA,22001,EUNICE,07,02,TEPETATE FIRE STATION,"1404 REDICH RD, EUNICE",
LA,parish,ACADIA,ACADIA,22001,EUNICE,07,03,LSU-E HEALTH & PHYSICAL ED BLD,"2048 JOHNSON HWY, EUNICE",
LA,parish,ACADIA,ACADIA,22001,EUNICE,07,04,LSU-E HEALTH & PHYSICAL ED BLD,"2048 JOHNSON HWY, EUNICE",
LA,parish,ALLEN,ALLEN,22003,OBERLIN,01,01,PARISH PJ ADM BLDG,"602 COURT ST, OBERLIN",
LA,parish,ALLEN,ALLEN,22003,SOILEAU COMMUNITY,01,02,SOILEAU COMMUNITY CENTER BLDG,"744 HWY 104, SOILEAU ",
LA,parish,ALLEN,ALLEN,22003,OBERLIN,01,03,OBERLIN SENIOR CITIZENS BLDG,"314 S SIXTH ST, OBERLIN",
LA,parish,ALLEN,ALLEN,22003,OBERLIN,01,04,PRECINCT BUILDING,"205 WEST MARTIN LUTHER KING DR, OBERLIN",
LA,parish,ALLEN,ALLEN,22003,OBERLIN,01,05,OBERLIN SENIOR CITIZENS BLDG,"314 S SIXTH ST, OBERLIN",
LA,parish,ALLEN,ALLEN,22003,OBERLIN,01,06,PARISH PJ ADM BLDG,"602 COURT ST, OBERLIN",
LA,parish,ALLEN,ALLEN,22003,ELTON,02,01,COUSHATTA MULTIPURPOSE COMPLEX,"1974 C C BEL RD, ELTON",
LA,parish,ALLEN,ALLEN,22003,KINDER,02,02,KINDER CITY HALL,"333 N EIGHTH ST, KINDER",
LA,parish,ALLEN,ALLEN,22003,KINDER,02,02A,KINDER CITY HALL,"333 N EIGHTH ST, KINDER",
LA,parish,ALLEN,ALLEN,22003,INDIAN VILLAGE COMM,02,03,INDIAN VILLAGE FIRE STATION,"3970 HWY 383, INDIAN VILLAGE COMM",
LA,parish,ALLEN,ALLEN,22003,KINDER,02,04-C,AMERICAN LEGION HALL,"219 N NINTH ST, KINDER",
LA,parish,ALLEN,ALLEN,22003,KINDER,02,04-O,AMERICAN LEGION HALL,"219 N NINTH ST, KINDER",
LA,parish,ALLEN,ALLEN,22003,KINDER,02,05,MASONIC HALL,"1309 KING'S DR, KINDER",
LA,parish,ALLEN,ALLEN,22003,KINDER,02,06,ALLEN HOSP ANX CONF ROOM,"208 SIXTH AVE, KINDER",
LA,parish,ALLEN,ALLEN,22003,LEBLANC,03,01,LEBLANC FIRE STATION,"15217 HWY 190, LEBLANC",
LA,parish,ALLEN,ALLEN,22003,REEVES,03,02,REEVES CITY HALL,"18370 HWY 190, REEVES",
LA,parish,ALLEN,ALLEN,22003,GRANT,04,02,FIRE DIST #3 TRAINING CENTER,"4357 HWY 377, GRANT",
LA,parish,ALLEN,ALLEN,22003,MITTIE,04,03,FIRE DIST #3 FIRE STATION,"1628 N CARPENTERS BRIDGE RD, MITTIE",
LA,parish,ALLEN,ALLEN,22003,ELIZABETH,05,02,ELIZABETH CITY HALL,"230 POPLAR ST, ELIZABETH",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,03,OAKDALE WESTSIDE PRECINCT BLDG,"102 W ERWIN ST, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,04-C,OAKDALE CITY HALL,"333 E SIXTH AVE, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,04-O,OAKDALE CITY HALL,"333 E SIXTH AVE, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,05,FIRE DIST #6 FIRE STATION,"244 CHERRYWINCHE RD, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,07,OAKDALE BALLARD RD COMM CTR,"821 HWY 372, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,08A,OAKDALE COMMUNITY CENTER,"709 E SEVENTH AVE, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,09,OAKDALE COMMUNITY CENTER,"709 E SEVENTH AVE, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,10,NORTH OAKDALE PRECINCT BLDG,"1215 HWY 1153, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,12,OAKDALE BALLARD RD COMM CTR,"821 HWY 372, OAKDALE",
LA,parish,ALLEN,ALLEN,22003,OAKDALE,05,13   *,OAKDALE COMMUNITY CENTER,"709 E SEVENTH AVE, OAKDALE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,01 A,OAK GROVE COMMUNITY CENTER,"37433 HWY 42, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,01 B,OAK GROVE COMMUNITY CENTER,"37433 HWY 42, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,02 A,OAK GROVE PRIMARY SCHOOL,"17550 OLD JEFFERSON HWY, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,02 B,OAK GROVE PRIMARY SCHOOL,"17550 OLD JEFFERSON HWY, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,03,PRAIRIEVILLE PRIMARY SCHOOL,"40228 PARKER RD, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,04,GALVEZ MIDDLE SCHOOL,"42018 HWY 933, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,05,GALVEZ MIDDLE SCHOOL,"42018 HWY 933, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,GEISMAR,00,06 A,SPANISH LAKE ELEMENTARY SCHOOL,"13323 BLUFF RD, GEISMAR",
LA,parish,ASCENSION,ASCENSION,22005,GEISMAR,00,06 B,SPANISH LAKE ELEMENTARY SCHOOL,"13323 BLUFF RD, GEISMAR",
LA,parish,ASCENSION,ASCENSION,22005,GEISMAR,00,06 C,SPANISH LAKE ELEMENTARY SCHOOL,"13323 BLUFF RD, GEISMAR",
LA,parish,ASCENSION,ASCENSION,22005,GEISMAR,00,07 A,DUTCHTOWN HIGH SCHOOL GYM #2,"13165 HWY 73, GEISMAR",
LA,parish,ASCENSION,ASCENSION,22005,GEISMAR,00,07 B,DUTCHTOWN HIGH SCHOOL GYM #2,"13165 HWY 73, GEISMAR",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,08 A,OAK GROVE PRIMARY SCHOOL,"17550 OLD JEFFERSON HWY, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,08 B,OAK GROVE PRIMARY SCHOOL,"17550 OLD JEFFERSON HWY, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,09,PRAIRIEVILLE MIDDLE SCHOOL,"16200 HWY 930, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,10,PRAIRIEVILLE PRIMARY SCHOOL,"40228 PARKER RD, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,11 A,PRAIRIEVILLE MIDDLE SCHOOL,"16200 HWY 930, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,11 B,PRAIRIEVILLE MIDDLE SCHOOL,"16200 HWY 930, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,12,GALVEZ LAKE FIRE DEPARTMENT,"16288 JOE SEVARIO RD, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,13,GALVEZ PRIMARY SCHOOL,"16093 HENDERSON BAYOU RD, PRAIRIEVILLE",
LA,parish,ASCENSION,ASCENSION,22005,ST AMANT,00,14,LAKE ELEMENTARY SCHOOL,"14185 HWY 431, ST AMANT",
LA,parish,ASCENSION,ASCENSION,22005,PRAIRIEVILLE,00,15,LAKESIDE PRIMARY SCHOOL,"16500 LA HWY 431, PRAIRIEVILLE",
