state,jurisdiction_type,county_name,municipality,precinct_id,name,address
ME,county,Piscataquis,ABBOT ,1-1,Abbot Town Hall ,"133 Main Road, Abbot "
ME,county,York,ACTON,1-1,Acton Town Hall ,"35 H Road, Acton "
ME,county,Washington,ADDISON,1-1,Addison Town Hall ,"334 Water Street, Addison "
ME,county,Oxford,ALBANY TWP ,1-1,Albany Twp. Town House,"1581 Hunts Corner Road, Albany Twp "
ME,county,Kennebec,ALBION,1-1,Besse Building ,"22 Main Street, Albion "
ME,county,Washington,ALEXANDER,1-1,Alexander Municipal Building ,"50 Cooper Road, Alexander "
ME,county,York,ALFRED,All,Conant Chapel ,"8 Kennebunk Road, Alfred "
ME,county,Aroostook,ALLAGASH,1-1,Allagash Community Center,"1063 Allagash Road, Allagash"
ME,county,Lincoln,ALNA,1-1,Alna Fire Station,"1579 Alna Road, Alna "
ME,county,Penobscot,ALTON,1-1,Alton Municipal Building ,"3352 Bennoch Road, Alton "
ME,county,Hancock,AMHERST,1-1,Amherst Town Hall ,"572 Airline Road, Amherst "
ME,county,Aroostook,AMITY,1-1,Amity Town Office ,"1143 US Route 1, Amity "
ME,county,Oxford,ANDOVER,1-1,Andover Town Hall ,"24 Elm Street, Andover "
ME,county,Somerset,ANSON,1-1,Anson Town Hall ,"62 Main Street, Anson "
ME,county,Knox,APPLETON,1-1,Appleton Town Hall ,"2915 Sennebec Road, Appleton "
ME,county,Sagadahoc,ARROWSIC,1-1,Arrowsic Town Hall ,"340 Arrowsic Road, Arrowsic "
ME,county,York,ARUNDEL,1-1,Arundel Fire Station ,"468 Limerick Road, Arundel "
ME,county,Aroostook,ASHLAND,1-1,Ashland Municipal Building,"17 Bridgham Street, Ashland "
ME,county,Somerset,ATHENS,1-1,Somerset Academy Building,"26 Academy Street, Athens"
ME,county,Piscataquis,ATKINSON ,1-1,Atkinson Town Hall ,"102 No. Stagecoach Road, Atkinson "
ME,county,Androscoggin,AUBURN,1-1,Washburn School ,"35 Lake Auburn Avenue, Auburn "
ME,county,Androscoggin,AUBURN,2-1,Auburn Middle School ,"38 Falcon Drive, Auburn "
ME,county,Androscoggin,AUBURN,3-1,Auburn Hall ,"60 Court Street, Auburn "
ME,county,Androscoggin,AUBURN,4-1,Fairview School ,"397 Minot Avenue, Auburn "
ME,county,Androscoggin,AUBURN,5-1,Sherwood Heights School ,"32 Sherwood Drive, Auburn "
ME,county,Kennebec,AUGUSTA,1-1,Augusta Armory,"179 Western Avenue, Augusta "
ME,county,Kennebec,AUGUSTA,2-1,Augusta City Center,"16 Cony Street, Augusta "
ME,county,Kennebec,AUGUSTA,3-1,Augusta Civic Center,"76 Community Drive, Augusta "
ME,county,Kennebec,AUGUSTA,4-1,Cony High School,"60 Pierce Drive, Augusta "
ME,county,Hancock,AURORA,1-1,Aurora Town Hall ,"Old Route 9, Aurora "
ME,county,Franklin,AVON,1-1,Avon Municipal Building ,"1116 Rangeley Road, Avon "
ME,county,Washington,BAILEYVILLE,1-1,F. Doug Jones Memorial Municipal Building ,"63 Broadway Street, Baileyville "
ME,county,Cumberland,BALDWIN,1-1,Baldwin Consolidated School ,"536 Pequawket Trail, West Baldwin "
ME,county,Aroostook,BANCROFT ,1-1,Bancroft Town Office ,"18 Schoolhouse Road, Bancroft "
ME,county,Penobscot,BANGOR,All,Cross Insurance Center Arena,"515 Main Street, Bangor "
ME,county,Hancock,BAR HARBOR,1-1,Municipal Building Auditorium ,"93 Cottage Street, Bar Harbor "
ME,county,Washington,BARING PLT,1-1,Baring Baptist Church ,"47 Front Street, Baring Plt "
ME,county,Sagadahoc,BATH,All,Bath Middle School ,"6 Old Brunswick Road, Bath "
ME,county,Washington,BEALS ,1-1,Beals Town Office ,"11 Big Pond Road, Beals "
ME,county,Piscataquis,BEAVER COVE,1-1,Beaver Cove Town Office,"795 Lily Bay Road, Beaver Cove"
ME,county,Washington,BEDDINGTON,1-1,Beddington Community Building ,"1982 State Highway 193, Beddington "
ME,county,Waldo,BELFAST,"1-1, 2-1, 3-1, 4-1",Belfast Boathouse ,"34 Commercial Street, Belfast "
ME,county,Waldo,BELFAST,5-1,United Methodist Church ,"23 Mill Lane, Belfast "
ME,county,Kennebec,BELGRADE,1-1,Center For All Seasons ,"1 Center Drive, Belgrade "
ME,county,Waldo,BELMONT,1-1,Belmont Community Building ,"613 Back Belmont Road, Belmont "
ME,county,Aroostook,BENEDICTA TWP (with Sherman),1-1,Sherman Town Office ,"36 School Street, Sherman"
ME,county,Kennebec,BENTON,All,Benton Town Office ,"1279 Clinton Avenue, Benton "
ME,county,York,BERWICK,All,Berwick Town Hall ,"11 Sullivan Square, Berwick "
ME,county,Oxford,BETHEL,1-1,Crescent Park School Gymnasium,"19 Crescent Lane, Bethel "
ME,county,York,BIDDEFORD,All,Tiger Gym Biddeford High School,"10-20 Maplewood Avenue, Biddeford "
ME,county,Washington,BIG LAKE TWP (with Princeton),1-1,Princeton Town Office ,"15 Depot Street, Princeton "
ME,county,Somerset,BINGHAM,1-1,Quimby Middle School Gymnasium ,"263 Main Street, Bingham "
ME,county,Aroostook,BLAINE,1-1,Blaine Town Office ,"52 Military Road, Blaine "
ME,county,Hancock,BLUE HILL,1-1,Blue Hill Town Hall ,"18 Union Street, Blue Hill "
ME,county,Lincoln,BOOTHBAY ,1-1,Boothbay Town Office ,"1011 Wiscasset Road, Boothbay "
ME,county,Lincoln,BOOTHBAY HARBOR,1-1,Boothbay Harbor Municipal Building,"11 Howard Street, Boothbay Harbor "
ME,county,Sagadahoc,BOWDOIN ,1-1,Bowdoin Central School ,"1460 Main Street, Bowdoin "
ME,county,Sagadahoc,BOWDOINHAM,1-1,Bowdoinham Town Hall ,"13 School Street, Bowdoinham "
ME,county,Piscataquis,BOWERBANK ,1-1,Bowerbank Fire Station,"650 Bowerbank Road, Bowerbank"
ME,county,Penobscot,BRADFORD,1-1,Bradford Town Office ,"345 East Road, Bradford"
ME,county,Penobscot,BRADLEY,1-1,Bradley Municipal Building ,"165B Main Street, Bradley "
ME,county,Lincoln,BREMEN,1-1,Bremen Town Center ,"208 Waldoboro Road, Bremen "
ME,county,Penobscot,BREWER,All,Brewer Auditorium ,"203 State Street, Brewer "
ME,county,Aroostook,BRIDGEWATER,1-1,Bridgewater Town Office ,"11 Bootfoot Road, Bridgewater "
ME,county,Cumberland,BRIDGTON,1-1,Bridgton Town Hall ,"26 North High Street, Bridgton "
ME,county,Somerset,BRIGHTON PLT ,1-1,Brighton Town Office,"Stagecoach Road, Brighton Plt"
ME,county,Lincoln,BRISTOL,1-1,Bristol Town Hall,"1268 Bristol Road, Bristol"
ME,county,Hancock,BROOKLIN,1-1,Brooklin Town Office ,"23 Bay Road, Brooklin "
ME,county,Waldo,BROOKS,1-1,Brooks Fire House,"19 Purple Heart Highway, Brooks "
ME,county,Hancock,BROOKSVILLE,1-1,Brooksville Municipal Building,"1 Townhouse Road, Brooksville "
ME,county,Washington,BROOKTON TWP (with Danforth),1-1,Danforth Town Hall ,"52 Depot Street, Brookton Twp w/ Danforth"
ME,county,Oxford,BROWNFIELD ,1-1,Brownfield Municipal Building ,"82 Main Street, Brownfield "
ME,county,Piscataquis,BROWNVILLE,1-1,Brownville Elementary School ,"774 Main Road, Brownville "
ME,county,Cumberland,BRUNSWICK,All,Brunswick Junior High School,"65 Columbia Avenue, Brunswick "
ME,county,Oxford,BUCKFIELD,1-1,Buckfield Municipal Center ,"34 Turner Street, Buckfield "
ME,county,Hancock,BUCKSPORT,1-1,G. H. Jewett School Gymnasium,"66 Bridge Street, Bucksport "
ME,county,Penobscot,BURLINGTON,1-1,Burlington Municipal Building ,"1523 Long Ridge Road, Burlington "
ME,county,Waldo,BURNHAM,1-1,Reynolds Corner Municipal Building,"247 South Horseback Road, Burnham"
ME,county,York,BUXTON,All,Buxton Municipal Complex/Town Hall ,"185 Portland Road, Buxton "
ME,county,Oxford,BYRON,1-1,Byron Town Hall ,"1 Byron Village Road, Byron "
ME,county,Washington,CALAIS,1-1,Calais Elementary School,"53 Garfield Street, Calais "
ME,county,Somerset,CAMBRIDGE,1-1,Cambridge Municipal Building ,"202 Ripley Road, Cambridge "
ME,county,Knox,CAMDEN,1-1,Camden Public Safety Building ,"31 Washington Street, Camden "
ME,county,Somerset,CANAAN,1-1,Canaan Town Office ,"277 Main Street, Canaan "
ME,county,Oxford,CANTON,1-1,Canton Town Office,"9 Staples Hill Road, Canton"
ME,county,Cumberland,CAPE ELIZABETH,All,Cape Elizabeth High School Gymnasium,"Ocean House Road, Cape Elizabeth "
ME,county,Somerset,CARATUNK,1-1,Caratunk Town Office ,"11 School Street, Caratunk "
ME,county,Aroostook,CARIBOU,1-1,Caribou Wellness & Recreation Center ,"55 Bennett Drive, Caribou "
ME,county,Penobscot,CARMEL ,1-1,Golden Harvest Grange Hall,"928 Main Road, Carmel"
ME,county,Franklin,CARRABASSETT VALLEY,1-1,Carrabassett Valley Town Office ,"1001 Carriage Road, Carrabassett Valley "
ME,county,Penobscot,CARROLL PLT ,1-1,Carroll Plantation Office ,"644 Brown Road, Carroll Plt "
ME,county,Franklin,CARTHAGE,1-1,Carthage Town Office ,"703A Carthage Road, Carthage "
ME,county,Aroostook,CARY PLT  ,1-1,Town Clerk's Office,"1846 US Highway 1, Cary Plantation"
ME,county,Cumberland,CASCO ,All,Casco Community Center,"940 Meadow Road, Casco "
ME,county,Hancock,CASTINE,1-1,Emerson Hall ,"67 Court Street, Castine "
ME,county,Aroostook,CASTLE HILL,1-1,Castle Hill Grange Hall ,"1953 State Road, Castle Hill "
ME,county,Aroostook,CASWELL,1-1,Dawn F. Barnes Elementary ,"1025 Van Buren Road, Caswell "
ME,county,Aroostook,CHAPMAN,1-1,Chapman Ridge Runners Snowmobile Club,"94 Town Hall Road, Chapman"
ME,county,Penobscot,CHARLESTON,1-1,Charleston Community Center ,"125 School Road, Charleston "
ME,county,Washington,CHARLOTTE,1-1,Charlotte Town Hall,"1092 Ayers Junction Road, Charlotte"
ME,county,Cumberland,CHEBEAGUE ISLAND,1-1,Chebeague Island Hall & Community Center ,"247 South Road, Chebeague Island "
ME,county,Kennebec,CHELSEA,1-1,Chelsea Elementary School,"566 Togus Road, Chelsea "
ME,county,Washington,CHERRYFIELD ,1-1,Cherryfield Town Office Meeting Room ,"12 Municipal Way, Cherryfield "
ME,county,Penobscot,CHESTER,1-1,Marianne Municipal Building ,"43 South Chester Road, Chester "
ME,county,Franklin,CHESTERVILLE,1-1,Chesterville Town Hall ,"409 Dutch Gap Road, Chesterville "
ME,county,Kennebec,CHINA,1-1,China Middle School,"773 Lakeview Drive, China "
ME,county,Penobscot,CLIFTON,1-1,Clifton Municipal Building,"135 Airline Road, Clifton "
ME,county,Kennebec,CLINTON,1-1,Clinton Town Office (Banquet Hall),"27 Baker Street, Clinton "
ME,county,Washington,CODYVILLE PLT (with Topsfield),1-1,Topsfield Municipal Building ,"48 North Road, Topsfield "
ME,county,Washington,COLUMBIA,1-1,Columbia Town Hall ,"106 Epping Road, Columbia "
ME,county,Washington,COLUMBIA FALLS,1-1,Columbia Falls Municipal Building,"8 Point Street, Columbia Falls "
ME,county,Aroostook,CONNOR TWP,1-1,Caribou Wellness & Recreation Center ,"55 Bennett Drive, Caribou "
ME,county,Washington,COOPER ,1-1,Cathance Grange Hall,"Route 191-Cooper Highway, Cooper"
ME,county,Franklin,COPLIN PLT ,1-1,Town Office ,"5 Currie Street, Coplin Plt"
