state,jurisdiction_type,county_name,jurisdiction,precinct_id,name,address
MA,town,Plymouth,ABINGTON,0-01 ,ABINGTON HIGH SCHOOL,201 GLINIEWICZ WAY
MA,town,Plymouth,ABINGTON,0-02 ,ABINGTON HIGH SCHOOL,201 GLINIEWICZ WAY
MA,town,Plymouth,ABINGTON,0-03 ,ABINGTON HIGH SCHOOL,201 GLINIEWICZ WAY
MA,town,Plymouth,ABINGTON,0-04 ,ABINGTON HIGH SCHOOL,201 GLINIEWICZ WAY
MA,town,Plymouth,ABINGTON,0-05 ,ABINGTON HIGH SCHOOL,201 GLINIEWICZ WAY
MA,town,Middlesex,ACTON,0-1  ,CONANT SCHOOL,80 TAYLOR ROAD
MA,town,Middlesex,ACTON,0-2  ,CONANT SCHOOL,80 TAYLOR ROAD
MA,town,Middlesex,ACTON,0-3  ,BLANCHARD AUDITORIUM,12 CHARTER ROAD
MA,town,Middlesex,ACTON,0-4  ,BLANCHARD AUDITORIUM,12 CHARTER ROAD
MA,town,Middlesex,ACTON,0-5  ,BLANCHARD AUDITORIUM,12 CHARTER ROAD
MA,town,Middlesex,ACTON,0-6  ,CONANT SCHOOL,80 TAYLOR ROAD
MA,town,Bristol,ACUSHNET,0-1  ,COUNCIL ON AGING BUILDING,59 1/2 SOUTH MAIN STREET
MA,town,Bristol,ACUSHNET,0-2  ,ACUSHNET COMMUNITY CENTER,232 MIDDLE ROAD
MA,town,Bristol,ACUSHNET,0-3  ,ACUSHNET COMMUNITY CENTER,232 MIDDLE ROAD
MA,town,Berkshire,ADAMS,0-1  ,ADAMS DPW GARAGE,92 NORTH SUMMER STREET
MA,town,Berkshire,ADAMS,0-2  ,ADAMS DPW GARAGE,92 NORTH SUMMER STREET
MA,town,Berkshire,ADAMS,0-3  ,ADAMS DPW GARAGE,92 NORTH SUMMER STREET
MA,town,Berkshire,ADAMS,0-4  ,ADAMS DPW GARAGE,92 NORTH SUMMER STREET
MA,town,Berkshire,ADAMS,0-5  ,ADAMS DPW GARAGE,92 NORTH SUMMER STREET
MA,town,Hampden,AGAWAM,0-1  ,ROBINSON SCHOOL,65 BEGLEY ST
MA,town,Hampden,AGAWAM,0-2  ,GRANGER SCHOOL,31 SOUTH WESTFIELD ST
MA,town,Hampden,AGAWAM,0-3  ,HIGH SCHOOL,760 COOPER ST
MA,town,Hampden,AGAWAM,0-4  ,ROBERTA.G.DOERING,68 MAIN ST
MA,town,Hampden,AGAWAM,0-5  ,PHELPS SCHOOL,689 MAIN ST
MA,town,Hampden,AGAWAM,0-6  ,JAMES CLARK SCHOOL,65 OXFORD ST-OFF SOUTH ST
MA,town,Hampden,AGAWAM,0-7  ,JUNIOR HIGH SCHOOL,1305 SPRINGFIELD ST
MA,town,Hampden,AGAWAM,0-8  ,JAMES CLARK SCHOOL,65 OXFORD ST-OFF SOUTH ST
MA,town,Berkshire,ALFORD,0-1  ,TOWN HALL,5 ALFORD CENTER RD
MA,town,Essex,AMESBURY,0-1  ,AMESBURY HIGH CAFETERIA,5 HIGHLAND STREET
MA,town,Essex,AMESBURY,0-2  ,AMESBURY HIGH CAFETERIA,5 HIGHLAND STREET
MA,town,Essex,AMESBURY,0-3  ,AMESBURY HIGH CAFETERIA,5 HIGHLAND STREET
MA,town,Essex,AMESBURY,0-4  ,AMESBURY HIGH CAFETERIA,5 HIGHLAND STREET
MA,town,Essex,AMESBURY,0-5  ,AMESBURY HIGH CAFETERIA,5 HIGHLAND STREET
MA,town,Essex,AMESBURY,0-6  ,AMESBURY HIGH CAFETERIA,5 HIGHLAND STREET
MA,town,Hampshire,AMHERST,0-1  ,NORTH CONGREGATIONAL,CHURCH HALL 1199 N PLEASANT ST
MA,town,Hampshire,AMHERST,0-2  ,NORTH FIRE STATION,EAST PLEASANT STREET
MA,town,Hampshire,AMHERST,0-3  ,IMMANUEL LUTHERAN,CHURCH LOUNGE - 867 N PLEASANT ST
MA,town,Hampshire,AMHERST,0-4  ,BANGS COMMUNITY CENTER,70 BOLTWOOD WALK
MA,town,Hampshire,AMHERST,0-5  ,BANGS COMMUNITY CENTER,70 BOLTWOOD WALK
MA,town,Hampshire,AMHERST,0-6  ,FORT RIVER SCHOOL,70 SOUTH EAST STREET
MA,town,Hampshire,AMHERST,0-7  ,CROCKER FARM SCHOOL,280 WEST STREET (RTE. 116)
MA,town,Hampshire,AMHERST,0-8  ,MUNSON MEMORIAL LIBRARY,SOUTH EAST STREET
MA,town,Hampshire,AMHERST,0-9  ,WILDWOOD SCHOOL,71 STRONG STREET
MA,town,Hampshire,AMHERST,0-10 ,BANGS COMMUNITY CENTER,70 BOLTWOOD AVENUE
MA,town,Essex,ANDOVER,0-1  ,SENIOR CENTER,20 WHITTIER COURT
MA,town,Essex,ANDOVER,0-2  ,A.H.S. FIELD HOUSE,80 SHAWSHEEN ROAD
MA,town,Essex,ANDOVER,0-3  ,A.H.S. FIELD HOUSE,80 SHAWSHEEN ROAD
MA,town,Essex,ANDOVER,0-4  ,A.H.S. FIELD HOUSE,80 SHAWSHEEN ROAD
MA,town,Essex,ANDOVER,0-5  ,A.H.S. FIELD HOUSE,80 SHAWSHEEN ROAD
MA,town,Essex,ANDOVER,0-6  ,A.H.S. FIELD HOUSE,80 SHAWSHEEN ROAD
MA,town,Essex,ANDOVER,0-7  ,SENIOR CENTER,20 WHITTIER COURT
MA,town,Essex,ANDOVER,0-7A ,SENIOR CENTER,20 WHITTIER COURT
MA,town,Essex,ANDOVER,0-8  ,SENIOR CENTER,20 WHITTIER COURT
MA,town,Essex,ANDOVER,0-9  ,A.H.S. FIELD HOUSE,80 SHAWSHEEN ROAD
MA,town,Essex,ANDOVER,0-9A ,A.H.S. FIELD HOUSE,80 SHAWSHEEN ROAD
MA,town,Dukes,AQUINNAH,0-1  ,TOWN HALL,65 STATE RD
MA,town,Middlesex,ARLINGTON,0-01 ,FOX LIBRARY ,175 MASS. AVE. (CORNER OF CLEVELAND ST. & MASS. AVE.)
MA,town,Middlesex,ARLINGTON,0-02 ,HARDY SCHOOL,52 LAKE STREET-(ENTRANCE BROOKS AVE)
MA,town,Middlesex,ARLINGTON,0-03 ,FOX LIBRARY,175 MASS. AVE.(CORNER OF CLEVELAND ST. & MASS. AVE.)
MA,town,Middlesex,ARLINGTON,0-04 ,HARDY SCHOOL,52 LAKE STREET-(ENTRANCE BROOKS AVE)
MA,town,Middlesex,ARLINGTON,0-05 ,BISHOP SCHOOL,25 COLUMBIA ROAD
MA,town,Middlesex,ARLINGTON,0-06 ,HARDY SCHOOL,52 LAKE STREET (ENTRANCE ON BROOKS AVENUE)
MA,town,Middlesex,ARLINGTON,0-07 ,CHESTNUT MANOR,54 MEDFORD STREET (ENTRANCE ON CHESTNUT TERRACE)
MA,town,Middlesex,ARLINGTON,0-08 ,TOWN HALL,730 MASSACHUSETTS AVENUE (BESIDE ROBBINS LIBRARY)
MA,town,Middlesex,ARLINGTON,0-09 ,CHESTNUT MANOR,54 MEDFORD STREET- (ENTRANCE ON CHESTNUT TERRACE)
MA,town,Middlesex,ARLINGTON,0-10 ,TOWN HALL,730 MASSACHUSETTS AVE (BESIDE ROBBINS LIBRARY)
MA,town,Middlesex,ARLINGTON,0-11 ,BISHOP SCHOOL,25 COLUMBIA ROAD
MA,town,Middlesex,ARLINGTON,0-12 ,BRACKETT SCHOOL,66 EASTERN AVENUE (LEFT @ WATER TOWER @ TOP OF PARK AVENUE)
MA,town,Middlesex,ARLINGTON,0-13 ,STRATTON SCHOOL,180 MOUNTAIN AVENUE (OFF OVERLOOK ROAD)
MA,town,Middlesex,ARLINGTON,0-14 ,BRACKETT SCHOOL,66 EASTERN AVENUE (LEFT @ WATER TOWER @ TOP OF PARK AVENUE)
MA,town,Middlesex,ARLINGTON,0-15 ,STRATTON SCHOOL,180 MOUNTAIN AVENUE (OFF OVERLOOK ROAD)
MA,town,Middlesex,ARLINGTON,0-16 ,DALLIN SCHOOL,185 FLORENCE AVE.(OFF PARK AVE.)
MA,town,Middlesex,ARLINGTON,0-17 ,STRATTON SCHOOL,180 MOUNTAIN AVENUE (OFF OVERLOOK ROAD)
MA,town,Middlesex,ARLINGTON,0-18 ,DALLIN SCHOOL,185 FLORENCE AVE.(OFF PARK AVE.)
MA,town,Middlesex,ARLINGTON,0-19 ,PEIRCE ELEMENTARY SCHOOL,85 PARK AVENUE EXT. (USE NEWLAND RD. ENTRANCE)
MA,town,Middlesex,ARLINGTON,0-20 ,PARK AVE. CONGREG. CHURCH,50 PAUL REVERE ROAD(CORNER OF PARK AVE.& WOLLASTON AVE.)
MA,town,Middlesex,ARLINGTON,0-21 ,PEIRCE ELEMENTARY SCHOOL,85 PARK AVENUE EXT. (USE NEWLAND RD.ENTRANCE)
MA,town,Worcester,ASHBURNHAM,0-1  ,JR BRIGGS ELEMENTARY SCH,96 WILLIAMS RD
MA,town,Middlesex,ASHBY,0-1  ,ASHBY ELEMENTARY SCHOOL,"911 MAIN STREET, ASHBY, MA"
MA,town,Franklin,ASHFIELD,0-1  ,TOWN HALL,412 MAIN ST
MA,town,Middlesex,ASHLAND,0-1  ,"ASHLAND HIGH SCHOOL, GYM",65 EAST UNION STREET
