state,election_date,jurisdiction_type,county_name,precinct_name,name,address
MI,2012-11-06,county,,PRECINCT 1,WHITE PIGEON TWP HAL,16975 US 12 WHITE PIGEON MI 49099
MI,2012-11-06,county,,PRECINCT 1,ARGYLE TWP. HALL,ARGYLE ROAD AND M-19 ARGYLE MI 48410
MI,2012-11-06,county,,PRECINCT 1,SHERIDAN TWP. HALL,15020 30TH AVE BARRYTON MI 49305
MI,2012-11-06,county,,PRECINCT 1,LYNN TWP HALL,7499 STERLING ROAD YALE MI 48097
MI,2012-11-06,county,,PRECINCT 11,TONDA ELEMENTARY,46501 WARREN CANTON MI 48187
MI,2012-11-06,county,,PRECINCT 1,SOLON TOWNSHIP HALL,2305 19-MILE RD CEDAR SPRINGS MI 49319
MI,2012-11-06,county,,PRECINCT 1,KURTZ ELEMENTARY,1350 KURTZ DRIVE MILFORD MI 48381
MI,2012-11-06,county,,PRECINCT 14,SOUTH ARM TWP HALL,02811 S M-66 HWY EAST JORDAN MI 49727
MI,2012-11-06,county,,PRECINCT 1,GANIARD SCHL,101 S ADAMS ST MT. PLEASANT MI 48858
MI,2012-11-06,county,,PRECINCT 13,BUNKER SCHOOL,2313 DENMARK MUSKEGON MI 49441
MI,2012-11-06,county,,PRECINCT 34C,GRANT SCHOOL,9300 HUBBARD LIVONIA MI 48150
MI,2012-11-06,county,,PRECINCT 6,VANDENBERG SCHOOL,16100 EDWARDS SOUTHFIELD MI 48076
MI,2012-11-06,county,,PRECINCT 21,ST. CATHERINE CATHOL,1150 WEST CENTRE AVENUE PORTAGE MI 49024
MI,2012-11-06,county,,PRECINCT 1,GROGAN SCHOOL,13300 BURNS SOUTHGATE MI 48195
MI,2012-11-06,county,,PRECINCT 2,MARQUETTE TWP HALL,161 COUNTY ROAD 492 MARQUETTE MI 49855
MI,2012-11-06,county,,PRECINCT 2,ROSCOMMON TWP HALL,8555 KNAPP ROAD HOUGHTON LAKE MI 48629
MI,2012-11-06,county,,PRECINCT 9,BIRNEY MIDDLE SCHOOL,27225 EVERGREEN RD SOUTHFIELD MI 48076
