state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_place_type
MN,2014-11-04,county,,BROOKLYN PARK W-C P-3,FAMILY OF GOD LUTHERAN CHURCH,8625 ZANE AVE N BROOKLYN PARK MN 55443,polling_location
MN,2014-11-04,county,,BUNGO TWP,BUNGO - BUNGO TWP HALL,3422 54TH AVE SW PINE RIVER MN 56474,polling_location
MN,2014-11-04,county,,RICHFIELD W-2 P-07,HOPE PRESBYTERIAN EDUCATION BLDG,7132 PORTLAND AVE S RICHFIELD MN 55423,polling_location
MN,2014-11-04,county,,BOY LAKE TWP,BOY LAKE - BOY LAKE TWP HALL,1737 92ND ST NE BOY RIVER MN 56672,polling_location
MN,2014-11-04,county,,BOY LAKE TWP,BOY LAKE - BOY LAKE TWP HALL,1737 92ND ST NE BOY RIVER MN 56672,polling_location
MN,2014-11-04,county,,WINGER TWP.,WINGER COMMUNITY CENTER,652 MAIN AVE WINGER MN 56592,polling_location
MN,2014-11-04,county,,HANSONVILLE TWP,HANSONVILLE TOWN HALL,3558 CO HWY 1 HENDICKS MN 56136,polling_location
MN,2014-11-04,county,,HANSONVILLE TWP,HANSONVILLE TOWN HALL,3558 CO HWY 1 HENDICKS MN 56136,polling_location
MN,2014-11-04,county,,BIRD ISLAND,Bird Island Community Center- 0020,660 Birch AVE S BIRD ISLAND MN 55310,polling_location
MN,2014-11-04,county,,WILLMAR W-1 P-1,WILLMAR COMMUNITY CENTER(WILLMAR W1-P1),624 US HIGHWAY 71 N WILLMAR MN 56201,polling_location
MN,2014-11-04,county,,ASH LAKE TWP,VFW HALL-IVANHOE,319 N HAROLD ST IVANHOE MN 56142,polling_location
MN,2014-11-04,county,,ASH LAKE TWP,VFW HALL-IVANHOE,319 N HAROLD ST IVANHOE MN 56142,polling_location
MN,2014-11-04,county,,ASH LAKE TWP,VFW HALL-IVANHOE,319 N HAROLD ST IVANHOE MN 56142,polling_location
MN,2014-11-04,county,,ALTA VISTA TWP,ALTA VISTA TOWN HALL,3570 260TH AVE TAUNTON MN 56291,polling_location
MN,2014-11-04,county,,ALTA VISTA TWP,ALTA VISTA TOWN HALL,3570 260TH AVE TAUNTON MN 56291,polling_location
MN,2014-11-04,county,,ALTA VISTA TWP,ALTA VISTA TOWN HALL,3570 260TH AVE TAUNTON MN 56291,polling_location
