state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
MS,2018-11-06,county,Adams,AP,"Dist. 5, Airport Precinct",AIRPORT TERMINAL,434 AIRPORT RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,BF,"Dist. 1, By-Pass Fire Precinct",NATCHEZ MALL,350 JOHN R JUNKIN DR. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,BL,"Dist. 1, Bellemont Precinct",CROSSPOINT CHURCH,285 HIGHLAND BLVD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,BP,"Dist. 2, Beau Pre Precinct",CALVARY BAPTIST CHURCH,522 HIGHWAY 61 SO. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,CD,"Dist. 3, Concord Precinct",CHRISTIAN HOPE BAPTIST,301 LASALLE ST NATCHEZ MS 39120
MS,2018-11-06,county,Adams,CH,"Dist. 1, Courthouse Precinct",COURTHOUSE,115 S. WALL ST. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,CR,"Dist. 4, Carpenter Precinct",ROSE HILL BAPTIST CHURCH,607 1/2 MADISON ST. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,DP,"Dist. 2, Duncan Park Precinct",DUNCAN PARK CANTEEN,57 DUNCAN PARK RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,FM,"Dist. 5, Foster Mound Precinct",DISTRICT 5 FIRE STATION,228 FOSTER MOUND RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,KG,"Dist. 2, Kingston Precinct",KINGSTON FIRE STATION,575 KINGSTON RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,LP,"Dist. 2, Liberty Park Precinct",ADAMS CO SAFE ROOM,323 LIBERTY RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,MG,"Dist. 4, Morgantown Precinct",MORGANTOWN SCHOOL,101 COTTAGE HOME DR. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,MH,"Dist. 3, Maryland Hgts. Precinct",MARYLAND HEIGHTS REC BLDG,111 DUMAS DR. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,NPS,"Dist. 3, Nps Multi Purpose Bldg.",DAVID R STECKLER MULTI PUR.,311 LIBERTY RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,NS,"Dist. 4, Northside Precinct",FRAZIER SCHOOL,1445 GEORGE F WEST BLVD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,OK,"Dist. 5, Oakland Precinct",LOVELY LANE METHODIST,65 MORGANTOWN RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,PL,"Dist. 3, Palestine Precinct",LIBERTY RD VOLUNTEER FIRE,1196 LIBERTY RD. NATCHEZ MS 39120
MS,2018-11-06,county,Adams,"Precinct
Code",Precinct Name,Polling Place,Address
MS,2018-11-06,county,Adams,,,NATCHEZ MS 39120,
MS,2018-11-06,county,Adams,PR,"Dist. 4, Pine Ridge Precinct",DISTRICT 4 BARN,176 FOSTER MOUND RD NATCHEZ MS 39120
MS,2018-11-06,county,Alcorn,2BET,,PHIL CRUM'S SHOP,HWY 2 WEST CORINTH MS 38834
MS,2018-11-06,county,Alcorn,2BIG,,BIGGERSVILLE FIRE STATION,531 CR 513 RIENZI MS 38865
MS,2018-11-06,county,Alcorn,2CEN,2nd District Central Precinct,W. O. W. BUILDING,72 CR 253 GLEN MS 38846
MS,2018-11-06,county,Alcorn,2CH,,AMERICAN LEGION BUILDING,511 S TATE ST CORINTH MS 38834
MS,2018-11-06,county,Alcorn,2EC,,FIRST PRESBYTERIAN CHURCH,8TH STREET CORINTH MS 38834
