state,jurisdiction_type,county_name,municipality,precinct_name,precinct_id,name,address
MT,county,Beaverhead,DILLON,PRECINCT 01,PREC_01,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,DILLON,PRECINCT 02,PREC_02,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,DILLON,PRECINCT 03,PREC_03,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,LIMA,PRECINCT 04,PREC_04,LIMA FIRE HALL,"5 WEST SECTION CORNER ST, LIMA, MT 59739"
MT,county,Beaverhead,LIMA,PRECINCT 05,PREC_05,LIMA COMM FIRE HALL,"5 W SEC CORNER ST, LIMA, MT 59739"
MT,county,Beaverhead,DILLON,PRECINCT 06,PREC_06,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,DILLON,PRECINCT 07,PREC_07,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,DILLON,PRECINCT 08,PREC_08,GRANT SCHOOL,"1240 HIGHWAY 324, DILLON, MT 59725"
MT,county,Beaverhead,DILLON,PRECINCT 09,PREC_09,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,DILLON,PRECINCT 12,PREC_12,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,DILLON,PRECINCT 14,PREC_14,LUTHERAN CHURCH,"715 E BANNACK, DILLON, MT 59725"
MT,county,Beaverhead,GLEN,PRECINCT 17,PREC_17,REICHLE SCHOOL 1,"6715 SCHOOLHOUSE RD, GLEN, MT 59732"
MT,county,Beaverhead,POLARIS,PRECINCT 19,PREC_19,POLARIS SCHOOL,"4210 PIONEER MOUNTAINS BYWAY, POLARIS, MT 59746"
MT,county,Beaverhead,JACKSON,PRECINCT 20,PREC_20,JACKSON SCHOOL,"415 JARDINE, JACKSON, MT 59736"
MT,county,Beaverhead,WISDOM,PRECINCT 21,PREC_21,WISDOM COMMUNITY HALL,"411 COUNTY ROAD, WISDOM, MT 59761"
MT,county,Beaverhead,WISE RIVER,PRECINCT 23,PREC_23,WISE RIVER FIRE HALL,"64845 HIGHWAY, WISE RIVER, MT 59762"
MT,county,Big Horn,HARDIN,PRECINCT #1,1,PERITSA- SR CENTER,"317 N CUSTER AVE, HARDIN, MT 59034"
MT,county,Big Horn,FORT SMITH,PRECINCT #2,2,NAT'L PARK SERV BLDG - FORT,"5 AVE B, FORT SMITH, MT 59035"
MT,county,Big Horn,HARDIN,PRECINCT #3,3,FOSTER -3 SR CENTER,"317 N CUSTER AVE, HARDIN, MT 59034"
MT,county,Big Horn,HARDIN,PRECINCT #4,4,WHITMAN - SR CENTER,"317 N CUSTER AVE, HARDIN, MT 59034"
MT,county,Big Horn,CROW AGENCY,PRECINCT #5,5,CROW SCHOOL -  RENO,"8470 S CHILD STREET, CROW AGENCY, MT 59022"
MT,county,Big Horn,BIG HORN,PRECINCT #6,6,SPRING CRK SCHL -  SARPY,"22997 E SARPY ROAD, BIG HORN, MT 59010"
MT,county,Big Horn,CROW AGENCY,PRECINCT #7,7,CROW SCHL -  CROW AGNCY,"8470 S. CHILD STREET, CROW AGENCY, MT 59022"
MT,county,Big Horn,SAINT XAVIER,PRECINCT #8,8,PRETTY EAGLE SCHL -  ST X,"18348 S MISSION ROAD, SAINT XAVIER, MT 59075"
MT,county,Big Horn,LODGE GRASS,PRECINCT #9,9,LG SENIOR CENTER,"119 HARDING AVE, LODGE GRASS, MT 59050"
MT,county,Big Horn,DECKER,PRECINCT #10,10,DECKER SCHOOL -  DECKER,"38966 E. TONGUE LANE, DECKER, MT 59025"
MT,county,Big Horn,WYOLA,PRECINCT #14,14,WYOLA SCHOOL - WYOLA,"41220 S. MONDEL AVE., WYOLA, MT 59089"
MT,county,Big Horn,PRYOR,PRECINCT #15,15,PRYOR ELEM SCH - PRYOR,"45089 W. SCHOOL YARD STREET, PRYOR, MT 59066"
MT,county,Big Horn,HARDIN,PRECINCT #17,17,AUDITORIUM - HARDIN,"611 WEST 5TH, HARDIN, MT 59034"
MT,county,Big Horn,HARDIN,PRECINCT #18,18,AUDITORIUM - HARDIN,"611 WEST 5TH, HARDIN, MT 59034"
MT,county,Big Horn,HARDIN,PRECINCT #19,19,AUDITORIUM - HARDIN,"611 WEST 5TH, HARDIN, MT 59034"
MT,county,Big Horn,LODGE GRASS,PRECINCT #21,21,LG HIGH SCHOOL,"11448 E. LODGE GRASS SCHOOL ROAD, LODGE GRASS, MT 59050"
MT,county,Big Horn,LODGE GRASS,PRECINCT #25,25,LG HIGH SCHOOL,"11448 E. LODGE GRASS SCHOOL ROAD, LODGE GRASS, MT 59050"
MT,county,Big Horn,BUSBY,PRECINCT #26,26,BUSBY SCHOOL -  BUSBY,"13152 S. B STREET, BUSBY, MT 59016"
MT,county,Big Horn,HARDIN,PRECINCT #4N,4N,NORTH WHITMAN- 4N SR CENTER,"317 N CUSTER AVE, HARDIN, MT 59034"
MT,county,Blaine,TURNER,TURNER 1-33,PREC_01,TURNER SCHOOL #1,"190 1ST ST E, TURNER, MT 59542"
