state,election_date,jurisdiction_type,municipality,precinct_name,name,address
NH,2014-11-04,municipality,ACWORTH,,Acworth Town Hall,13 Town Hall Rd Acworth NH 03601
NH,2014-11-04,municipality,ALBANY,,Albany Town Hall,1972 Route 16 Albany NH 03818
NH,2014-11-04,municipality,ALEXANDRIA,,Old Town Hall,45 Washburn Rd Alexandria NH 03222
NH,2014-11-04,municipality,ALLENSTOWN,,St Jean The Baptist Parish,Hall 10 School St Allenstown NH 03275
NH,2014-11-04,municipality,ALSTEAD,,Town Hall,9 Main St Alstead NH 03602
NH,2014-11-04,municipality,ALTON,,Prospect Mtn. High School,242 Suncook Valley Rd Alton NH 03809
NH,2014-11-04,municipality,AMHERST,,Souhegan High School,412 Boston Post Rd Amherst NH 03031
NH,2014-11-04,municipality,ANDOVER,,Andover Elementary Middle,School 20 School St Andover NH 03216
NH,2014-11-04,municipality,ANTRIM,,Antrim Town Hall,66 Main St Antrim NH 03440
NH,2014-11-04,municipality,ASHLAND,,William J. Tirone Gymnasium,27 Highland St Ashland NH 03217
NH,2014-11-04,municipality,ATKINSON,,Atkinson Community Center,4 Main St Atkinson NH 03811
NH,2014-11-04,municipality,AUBURN,,Auburn Village School,11 Eaton Hill Rd Auburn NH 03032
NH,2014-11-04,municipality,BARNSTEAD,,Barnstead Town Hall,108 S Barnstead Rd Barnstead NH 03225
NH,2014-11-04,municipality,BARRINGTON,,Barrington Middle School,51 Haley Dr Barrington NH 03825
NH,2014-11-04,municipality,BARTLETT,,Bartlett Town Hall,56 Town Hall Rd Bartlett NH 03845
NH,2014-11-04,municipality,BATH,,Bath Village School,61 Lisbon Rd Bath NH 03740
NH,2014-11-04,municipality,BEDFORD,,Bedford High School,47 Nashua Rd Bedford NH 03110
NH,2014-11-04,municipality,BELMONT,,Belmont High School,255 Seavey Rd Belmont NH 03220
NH,2014-11-04,municipality,BENNINGTON,,Pierce School,19 Main St Bennington NH 03442
NH,2014-11-04,municipality,BENTON,,Benton Town Building,221 Coventry Rd Benton NH 03785
NH,2014-11-04,municipality,BERLIN ,WARD 01,WARD 01 - Precinct 1 - Berlin,Recreation Center - First Avenue Entrance 672 First Ave Berlin NH 03570
NH,2014-11-04,municipality,BERLIN ,WARD 02,WARD 02 - Precinct 2 - Berlin,Junior High School - High Street Entrance 200 State St Berlin NH 03570
