state,jurisdiction_type,county_name,precinct_name,name,address
NJ,county,,CLIFTON-04-05,SCHOOL #17  ,361 LEXINGTON AVE   CLIFTON NJ 07011
NJ,county,,MARLBORO-00-22,MARLBORO RECREATION CENTER ARTS   CRAFTS ROOM  ,1996 RECREATION WAY   MARLBORO NJ 07746
NJ,county,,MARLBORO-00-23,MARLBORO MIDDLE SCHOOL MAIN ENTRANCE  ,355 RT 520   MARLBORO NJ 07746
NJ,county,,SOUTH AMBOY-02-03,PROTECTION FIRE HOUSE  ,102 N FELTUS ST   SOUTH AMBOY NJ 08879
NJ,county,,MARLBORO-00-24,MARLBORO MUNICIPAL BUILDING  ,1979 TOWNSHIP DR   MARLBORO NJ 07746
NJ,county,,MARLBORO-00-25,MARLBORO FIRE COMPANY  ,3 N MAIN ST   MARLBORO NJ 07746
NJ,county,,WASHINGTON-00-10,GRENLOCH COMMUNITY CENTER  ,463 HURFVL-GRENLOCH RD   WASHINGTON NJ 08080
NJ,county,,MARLBORO-00-26,MORGANVILLE VOLUNTEER FIRE COMPANY REAR ENTRANCE  ,78 TENNENT RD   MARLBORO NJ 07751
NJ,county,,MARLBORO-00-27,ST GABRIEL'S CHURCH REAR ENTRANCE  ,100 ROUTE 79   MARLBORO NJ 07751
NJ,county,,EWING-00-20,GILMORE J FISHER JR. HIGH SCHOOL  ,1325 LOWER FERRY ROAD   EWING NJ 08618
NJ,county,,MARLBORO-00-28,FRANK J DUGAN SCHOOL  ,48 TOPANEMUS RD   MARLBORO NJ 07746
NJ,county,,MATAWAN-00-01,MATAWAN MUNICIPAL AND COMMUNITY CENTER  ,201 BROAD ST   MATAWAN NJ 07747
NJ,county,,SOUTH AMBOY-03-01,PROGRESSIVE FIRE HOUSE  ,427 BORDENTOWN AVE   SOUTH AMBOY NJ 08879
NJ,county,,MATAWAN-00-02,MATAWAN MUNICIPAL AND COMMUNITY CENTER  ,201 BROAD ST   MATAWAN NJ 07747
NJ,county,,MATAWAN-00-03,MATAWAN MUNICIPAL AND COMMUNITY CENTER  ,201 BROAD ST   MATAWAN NJ 07747
NJ,county,,BERNARDS TWP-00-02,BASKING RIDGE FIREHOUSE  ,30 WASHINGTON AVE   BERNARDS TWP NJ 07920
NJ,county,,PLAINFIELD-02-09,COOK SCHOOL  ,739 LELAND AVE   PLAINFIELD NJ 07062
NJ,county,,MATAWAN-00-04,FRENEAU VOLUNTEER FIRE COMPANY FIRE HOUSE  ,109 FRENEAU AVENUE   MATAWAN NJ 07747
NJ,county,,HOBOKEN-04-04,JACKSON GARDENS COMMUNITY ROOM  ,411 MARSHALL DR   HOBOKEN NJ 07030
NJ,county,,MATAWAN-00-05,MATAWAN MUNICIPAL AND COMMUNITY CENTER  ,201 BROAD ST   MATAWAN NJ 07747
NJ,county,,EWING-00-21,GILMORE J FISHER JR. HIGH SCHOOL  ,1325 LOWER FERRY ROAD   EWING NJ 08618
NJ,county,,MATAWAN-00-06,MATAWAN MUNICIPAL AND COMMUNITY CENTER  ,201 BROAD ST   MATAWAN NJ 07747
NJ,county,,MATAWAN-00-07,MATAWAN MUNICIPAL AND COMMUNITY CENTER  ,201 BROAD ST   MATAWAN NJ 07747
NJ,county,,LIVINGSTON-00-18,LIVINGSTON COMMUNITY SENIOR CENTER (H)  ,204 HILLSIDE AVE   LIVINGSTON NJ 07039
NJ,county,,MIDDLETOWN-00-01,MIDDLETOWN VILLAGE SCHOOL ALL PURPOSE ROOM  ,147 KINGS HWY   MIDDLETOWN NJ 07748
NJ,county,,OAKLYN-00-03,ST. ALOYSIUS SOCIAL HALL  ,37 W HADDON AVE   OAKLYN NJ 08107
NJ,county,,MIDDLETOWN-00-02,CROYDON HALL GYMNASIUM  ,900 LEONARDVILLE RD   MIDDLETOWN NJ 07748
NJ,county,,BERNARDS TWP-00-03,RIDGE OAK II  ,35 LINDBERGH LN   BERNARDS TWP NJ 07920
NJ,county,,MIDDLETOWN-00-03,BAYVIEW SCHOOL ALL PURPOSE ROOM  ,300 LEONARDVILLE RD   MIDDLETOWN NJ 07718
NJ,county,,MIDDLETOWN-00-04,CROYDON HALL GYMNASIUM  ,900 LEONARDVILLE RD   MIDDLETOWN NJ 07748
NJ,county,,SUMMIT-01-05,SENIOR HIGH SCHOOL  ,125 KENT PLACE BLVD   SUMMIT NJ 07901
NJ,county,,MIDDLETOWN-00-05,LINCROFT SCHOOL ALL PURPOSE ROOM  ,729 NEWMAN SPRINGS RD   MIDDLETOWN NJ 07738
NJ,county,,MIDDLETOWN-00-06,PORT MONMOUTH SCHOOL LOBBY AT RT 36 ENTRANCE  ,202 MAIN ST   MIDDLETOWN NJ 07758
NJ,county,,LIVINGSTON-00-19,RIKER HILL SCHOOL (H)  ,31 BLACKSTONE DR   LIVINGSTON NJ 07039
NJ,county,,MIDDLETOWN-00-07,THORNE MIDDLE SCHOOL TEACHERS LOUNGE  ,70 MURPHY ROAD   MIDDLETOWN NJ 07758
NJ,county,,LUMBERTON TOWNSHIP-00-08,MUNICIPAL BUILDING COURT ROOM ,35 MUNICIPAL DR   LUMBERTON TOWNSHIP NJ 08048
NJ,county,,MIDDLETOWN-00-08,FAIRVIEW SCHOOL ALL PURPOSE ROOM  ,230 COOPER RD   MIDDLETOWN NJ 07701
NJ,county,,BERNARDS TWP-00-04,HILLS RECREATION CENTER  ,75 HANSOM RD   BERNARDS TWP NJ 07920
NJ,county,,MIDDLETOWN-00-09,CROYDON HALL GYMNASIUM  ,900 LEONARDVILLE RD   MIDDLETOWN NJ 07748
NJ,county,,FRANKLIN TWP-03-30,FRANKLIN PARK FIREHOUSE  ,2 CLAREMONT RD   FRANKLIN TWP NJ 08823
NJ,county,,MIDDLETOWN-00-10,SHADOW LAKE VILLAGE CLUB HOUSE  ,1 LOCH ARBOR WAY   RED BANK NJ 07701
NJ,county,,SUMMIT-01-06,SENIOR HIGH SCHOOL  ,125 KENT PLACE BLVD   SUMMIT NJ 07901
NJ,county,,TEANECK-00-08,LOWELL SCHOOL AUDITORIUM  ,1025 LINCOLN PL   TEANECK NJ 07666
NJ,county,,MIDDLETOWN-00-11,MIDDLETOWN HIGH SCHOOL NORTH AUDITORIUM LOBBY  ,63 TINDALL RD   MIDDLETOWN NJ 07748
NJ,county,,MIDDLETOWN-00-12,MIDDLETOWN HIGH SCHOOL SOUTH MAIN LOBBY  ,900 NUTSWAMP RD   MIDDLETOWN NJ 07748
NJ,county,,LIVINGSTON-00-20,MT. PLEASANT ELEMENTARY SCHOOL (H)  ,11 BROADLAWN DR   LIVINGSTON NJ 07039
NJ,county,,MIDDLETOWN-00-13,BAYVIEW SCHOOL ALL PURPOSE ROOM  ,300 LEONARDVILLE RD   MIDDLETOWN NJ 07718
NJ,county,,MORRIS TOWNSHIP-00-22,SUSSEX AVENUE SCHOOL  HALLWAY,125 SUSSEX AVE   MORRIS TOWNSHIP NJ 07960
NJ,county,,MIDDLETOWN-00-14,MIDDLETOWN HIGH SCHOOL NORTH AUDITORIUM LOBBY  ,63 TINDALL RD   MIDDLETOWN NJ 07748
NJ,county,,WASHINGTON-00-14,BELLS ELEMENTARY SCHOOL  ,227 GREENTREE RD   WASHINGTON NJ 08012
NJ,county,,MIDDLETOWN-00-15,THORNE MIDDLE SCHOOL TEACHERS LOUNGE  ,70 MURPHY ROAD   MIDDLETOWN NJ 07758
NJ,county,,WILLINGBORO TOWNSHIP-00-05,LEVITT JUNIOR HIGH SCHOOL ALL PURPOSE ROOM ,50 REV DR M L KING JR DR   WILLINGBORO TOWNSHIP NJ 08046
NJ,county,,MIDDLETOWN-00-16,PORT MONMOUTH SCHOOL LOBBY AT RT 36 ENTRANCE  ,202 MAIN ST   MIDDLETOWN NJ 07758
NJ,county,,SUMMIT-01-07,WASHINGTON SCHOOL  ,507 MORRIS AVE   SUMMIT NJ 07901
NJ,county,,MIDDLETOWN-00-17,THORNE MIDDLE SCHOOL TEACHERS LOUNGE  ,70 MURPHY ROAD   MIDDLETOWN NJ 07758
NJ,county,,MIDDLETOWN-00-18,FAIRVIEW SCHOOL ALL PURPOSE ROOM  ,230 COOPER RD   MIDDLETOWN NJ 07701
