state,jurisdiction_type,county_name,municipality,name,address,polling_place_type,election_date
NM,county,Bernalillo,Albuquerque,VCC 28 - Del Norte High School,"5323 Montgomery Blvd NE, Albuquerque, NM, 87110",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 46 - Madison Middle School,"3501 Moon St NE, Albuquerque, NM, 87111",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 60 - Truman Middle School,"9400 Benavides Rd SW, Albuquerque, NM, 87121",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 05 - Central Mercado,"301 San Pedro Dr SE, Suite B C D E, Albuquerque, NM, 87121",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,ED - SPARE 10,"SPARE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 36 - Herman Sanchez Community Center,"1830 William St SE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 04 - Caracol Plaza,"12500 Montgomery Blvd NE, Suite 101 , Albuquerque, NM, 87111",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 58 - Sandia High School,"7801 Candelaria Rd NE, Albuquerque, NM, 87110",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 10 - Holly Plaza,"6600 Holly Ave NE, Suite B-6, Albuquerque, NM, 87113",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 63 - Van Buren Middle School,"700 Louisiana Blvd SE, Albuquerque, NM, 87108",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 16 - The Shoppes at 6001 San Mateo,"6001 San Mateo Blvd NE, Suite B-3, Albuquerque, NM, 87109",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 42 - Kennedy Middle School,"721 Tomasita St NE, Albuquerque, NM, 87123",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,ED - SPARE 07,"SPARE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 30 - Duranes Elementary School,"2436 Zickert Rd NW, Albuquerque, NM, 87104",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 43 - La Cueva High School,"7801 Wilshire Ave NE, Albuquerque, NM, 87122",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 67 - Washington Middle School,"1101 Park Ave SW, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 23 - Arroyo Del Oso Elementary School,"6504 Harper Dr NE, Albuquerque, NM, 87109",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 03 - Bernalillo County Visitor and Cultural Center,"6080 Isleta Blvd SW, Albuquerque, NM, 87105",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,ED - SPARE 03,"SPARE, Albuquerque, NM, 87102",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 44 - La Mesa Elementary School,"7500 Cooper Ave NE, Albuquerque, NM, 87108",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 32 - Eldorado High School,"11300 Montgomery Blvd NE, Albuquerque, NM, 87111",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 55 - Raymond G Sanchez Community Center,"9800 4th St NW, Albuquerque, NM, 87114",vote_center,11/06/2018
NM,county,Bernalillo,Albuquerque,VCC 66 - Volcano Vista High School,"8100 Rainbow Blvd NW, Albuquerque, NM, 87114",vote_center,11/06/2018
