election_date,state,jurisdiction_type,municipality,county_name,precinct_name,name,address
2018-11-06,NC,county,BURLINGTON,ALAMANCE,COBLE,ALAMANCE CIVITAN CLUB HOUSE,"3328 DOCTOR PICKETT RD, BURLINGTON, NC 27215"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,BURLINGTON 7,ELMIRA COMMUNITY CENTER,"810 WICKER ST, BURLINGTON, NC 27217"
2018-11-06,NC,county,ELON,ALAMANCE,BOONE 5,ANTIOCH COMMUNITY CHURCH,"1600 POWER LINE RD, ELON, NC 27244"
2018-11-06,NC,county,ELON,ALAMANCE,NORTH BOONE,FIRST BAPTIST CHURCH OF ELON,"621 HAGGARD AVE, ELON, NC 27244"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,FAUCETTE,LAKEVIEW COMMUNITY CHURCH,"101 BOONE RD, BURLINGTON, NC 27217"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,GRAHAM 4,FELLOWSHIP BAPTIST CHURCH,"2744 MAPLE AVE, BURLINGTON, NC 27215"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,WEST BURLINGTON,FIRST PRESBYTERIAN CHURCH,"508 DAVIS ST, BURLINGTON, NC 27215"
2018-11-06,NC,county,GRAHAM,ALAMANCE,EAST GRAHAM,GRAHAM CIVIC CENTER,"503 MCGEE ST, GRAHAM, NC 27253"
2018-11-06,NC,county,GRAHAM,ALAMANCE,NORTH GRAHAM,GRAHAM RECREATION CENTER,"311 COLLEGE ST, GRAHAM, NC 27253"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,BURLINGTON 5,GROVE PARK BAPTIST CHURCH,"108 TRAIL ONE, BURLINGTON, NC 27215"
2018-11-06,NC,county,HAW RIVER,ALAMANCE,HAW RIVER,HAW RIVER CIVIC CENTER,"110 STONE ST, HAW RIVER, NC 27258"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,EAST BURLINGTON,FAIRCHILD COMMUNITY CENTER,"827 GRAHAM-HOPEDALE RD, BURLINGTON, NC 27217"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,BURLINGTON 4,HILLCREST ELEMENTARY SCHOOL,"1714 DAVIS ST, BURLINGTON, NC 27215"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,CENTRAL BOONE,HOLLY HILL BAPTIST CHURCH,"2818 EDGEWOOD AVE, BURLINGTON, NC 27215"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,BURLINGTON 8,KERNODLE SENIOR ACTIVITIES CEN,"1535 MEBANE ST, BURLINGTON, NC 27215"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,NORTH BURLINGTON,MAYCO BIGELO CENTER,"849 SHARPE RD, BURLINGTON, NC 27217"
2018-11-06,NC,county,MEBANE,ALAMANCE,SOUTH MELVILLE,MEBANE ARTS COMMUNITY CENTER,"622 CORREGIDOR ST, MEBANE, NC 27302"
2018-11-06,NC,county,MEBANE,ALAMANCE,NORTH MELVILLE,MEBANE FIRE STATION,"405 FIRST ST, MEBANE, NC 27302"
2018-11-06,NC,county,SNOW CAMP,ALAMANCE,PATTERSON,SYLVAN ELEMENTARY SCHOOL,"7718 SYLVAN RD, SNOW CAMP, NC 27349"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,GRAHAM 3,R HOMER ANDREWS ELEMENTARY SCH,"2630 BUCKINGHAM RD, BURLINGTON, NC 27217"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,SOUTH BURLINGTON,NEW BIRTH BAPTISH CHURCH,"424 FLANNER ST, BURLINGTON, NC 27215"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,WEST GRAHAM,HARVEY R NEWLIN ELEMENTARY SCH,"316 CARDEN ST, BURLINGTON, NC 27215"
2018-11-06,NC,county,ELON,ALAMANCE,MORTON,ALTAMAHAW OSSIPEE COMMUNITY CE,"3211 OSCEOLA RD, ELON, NC 27244"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,PLEASANT GROVE,PLEASANT GROVE ELEMENTARY SCHO,"2847 PLEASANT GROVE UNION SCHOOL RD, BURLINGTON, NC 27217"
2018-11-06,NC,county,HAW RIVER,ALAMANCE,SOUTH THOMPSON,SALEM UNITED METHODIST CHURCH,"4924 SALEM CHURCH RD, HAW RIVER, NC 27258"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,SOUTH BOONE,MARVIN B SMITH ELEMENTARY SCHO,"2235 DELANEY DR, BURLINGTON, NC 27215"
2018-11-06,NC,county,GRAHAM,ALAMANCE,ALBRIGHT,MT HERMON COMMUNITY CENTER,"3735 BASS MOUNTAIN RD, GRAHAM, NC 27253"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,BURLINGTON 10,ST PAUL'S UNITED METHODIST CHU,"609 TRAIL TWO, BURLINGTON, NC 27215"
2018-11-06,NC,county,GRAHAM,ALAMANCE,NORTH THOMPSON,SWEPSONVILLE FIRE STATION,"2744 DARRELL NEWTON DR, GRAHAM, NC 27253"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,BURLINGTON 6,TURRENTINE MIDDLE SCHOOL,"1710 EDGEWOOD AVE, BURLINGTON, NC 27215"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,NORTH BOONE 2,TWIN LAKES CENTER- THE CHAPEL,"3801 WADE COBLE DR, BURLINGTON, NC 27215"
2018-11-06,NC,county,MEBANE,ALAMANCE,MELVILLE 3,HAWFIELDS MIDDLE SCHOOL,"1951 NC HWY 119, MEBANE, NC 27302"
2018-11-06,NC,county,BURLINGTON,ALAMANCE,BURLINGTON 9,BAPTIST TEMPLE,"2224 ANTHONY RD, BURLINGTON, NC 27215"
2018-11-06,NC,county,GRAHAM,ALAMANCE,SOUTH GRAHAM,BETHANY PRESBYTERIAN CHURCH,"1500 MAIN ST, GRAHAM, NC 27253"
2018-11-06,NC,county,SNOW CAMP,ALAMANCE,SOUTH NEWLIN,CHATHAM FRIENDS MEETING,"4507 GREENHILL RD, SNOW CAMP, NC 27349"
2018-11-06,NC,county,GIBSONVILLE,ALAMANCE,WEST BOONE,CHURCH OF GOD,"1106 JOYNER ST, GIBSONVILLE, NC 27249"
2018-11-06,NC,county,GRAHAM,ALAMANCE,NORTH NEWLIN,ELI WHITNEY RECREATION CENTER,"4110 GREENSBORO CHAPEL HILL RD, GRAHAM, NC 27253"
2018-11-06,NC,county,TAYLORSVILLE,ALEXANDER,LITTLE RIVER AND SUGAR LOAF,LITTLE RIVER COMMUNITY BUILDIN,"2141 LITTLE RIVER CHURCH RD, TAYLORSVILLE, NC 28681"
2018-11-06,NC,county,TAYLORSVILLE,ALEXANDER,MILLERS,DRUMSTAND COMMUNITY BLDG,"7830 PAUL PAYNE STORE RD, TAYLORSVILLE, NC 28681"
2018-11-06,NC,county,TAYLORSVILLE,ALEXANDER,TAYLORSVILLE #1 #4 #5,ALEXANDER SENIOR CENTER,"730 7TH ST, TAYLORSVILLE, NC 28681"
2018-11-06,NC,county,TAYLORSVILLE,ALEXANDER,BETHLEHEM #2,BETHLEHEM COMMUNITY FIRE & RES,"7373 NC HWY 127, TAYLORSVILLE, NC 28681"
2018-11-06,NC,county,HIDDENITE,ALEXANDER,GWALTNEY #1 #2,GWALTNEY COMMUNITY BUILDING,"2218 SHARPE MILL RD, HIDDENITE, NC 28636"
2018-11-06,NC,county,TAYLORSVILLE,ALEXANDER,TAYLORSVILLE #2 #3,ALEXANDER COUNTY YMCA,"260 BLACK OAK RIDGE RD, TAYLORSVILLE, NC 28681"
2018-11-06,NC,county,TAYLORSVILLE,ALEXANDER,ELLENDALE,ST LUKE LUTHERAN CHURCH,"1364 CHURCH RD, TAYLORSVILLE, NC 28681"
2018-11-06,NC,county,TAYLORSVILLE,ALEXANDER,WITTENBURG,FRIENDSHIP LUTHERAN CHURCH,"5300 CHURCH RD, TAYLORSVILLE, NC 28681"
2018-11-06,NC,county,STONY POINT,ALEXANDER,SHARPES #1 #2,FMR ENERGY UNITED BUILDING-STO,"431 RURITAN PARK RD, STONY POINT, NC 28678"
2018-11-06,NC,county,HICKORY,ALEXANDER,BETHLEHEM #1,SHILOH LUTHERAN CHURCH,"1011 SHILOH CHURCH RD, HICKORY, NC 28601"
2018-11-06,NC,county,GLADE VALLEY,ALLEGHANY,CHERRY LANE,CHERRY LANE VOLUNTEER FIRE DEP,"8378 US HIGHWAY 21 SOUTH, GLADE VALLEY, NC 28627"
2018-11-06,NC,county,ENNICE,ALLEGHANY,GLADE CREEK,GLADE CREEK VOLUNTEER FIRE DEP,"6374 GLADE VALLEY RD, ENNICE, NC 28623"
2018-11-06,NC,county,SPARTA,ALLEGHANY,GAP CIVIL,SPARTA UNITED METHODIST CHURCH,"190 MAIN ST, SPARTA, NC 28675"
2018-11-06,NC,county,PINEY CREEK,ALLEGHANY,PRATHERS CREEK,MOUNT ZION UNITED METHODIST CH,"3128 MOUNT ZION CHURCH RD, PINEY CREEK, NC 28663"
