state,election_date,jurisdiction_type,county_name,precinct_id,municipality,name,address
OH,2014-11-04,county,ADAMS,01AAA,PEEBLES,BRATTON TWP BLDG,"2535 LOUDEN RD, PEEBLES, OH, 45660"
OH,2014-11-04,county,ADAMS,01AAB,WEST UNION,LYNX OLD SCHOOL BLDG,"505 LYNX DRIVE, WEST UNION, OH, 45693"
OH,2014-11-04,county,ADAMS,01AAD,PEEBLES,FRANKLIN TWP FIREHOUSE,"29670 SR 41, PEEBLES, OH, 45660"
OH,2014-11-04,county,ADAMS,01AAE,STOUT,GREEN TWP FIREHOUSE,"2243 BLUE CREEK RD, STOUT, OH, 45684"
OH,2014-11-04,county,ADAMS,01AAG,BLUE CREEK,JEFFERSON SCHOOL GYM,"8990 BLUE CREEK RD, BLUE CREEK, OH, 45616"
OH,2014-11-04,county,ADAMS,01AAI,WEST UNION,LIBERTY TWP BLDG,"8632 SR 136, WEST UNION, OH, 45693"
OH,2014-11-04,county,ADAMS,01AAK,MANCHESTER,MANCHESTER COMMUNITY BLDG,"400 PIKE STREET, MANCHESTER, OH, 45144"
OH,2014-11-04,county,ADAMS,01AAN,PEEBLES,PEEBLES FIREHOUSE,"182 ELM ST., PEEBLES, OH, 45660"
OH,2014-11-04,county,ADAMS,01AAP,PEEBLES,PEEBLES FIREHOUSE,"182 ELM ST., PEEBLES, OH, 45660"
OH,2014-11-04,county,ADAMS,01AAQ,PEEBLES,PEEBLES FIREHOUSE,"182 ELM ST., PEEBLES, OH, 45660"
OH,2014-11-04,county,ADAMS,01AAR,MANCHESTER,MONROE TWP. BLDG.,"2416 SR 247, MANCHESTER, OH, 45144"
OH,2014-11-04,county,ADAMS,01AAS,WEST UNION,OLIVER TWP FIRE STATION,"4613 UNITY RD., WEST UNION, OH, 45693"
OH,2014-11-04,county,ADAMS,01AAT,SEAMAN,SEAMAN FIRE STATION,"6493 TRI-COUNTY RD, SEAMAN, OH, 45679"
OH,2014-11-04,county,ADAMS,01AAU,SEAMAN,SEAMAN COMMUNITY BLDG,"17806 SR 247, SEAMAN, OH, 45679"
OH,2014-11-04,county,ADAMS,01AAW,WEST UNION,SPRIGG TWP BLDG,"315 POPLAR FLAT RD, WEST UNION, OH, 45693"
OH,2014-11-04,county,ADAMS,01AAY,WEST UNION,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH, 45693"
OH,2014-11-04,county,ADAMS,01AAZ,WEST UNION,ADAMS CO FAIRGROUNDS,"836 BOYD AVE, WEST UNION, OH, 45693"
