state,county_name,jurisdiction_type,precinct_name,name,address,polling_location_type
OK,,county,ADAIR COUNTY PRECINCT 010018,WESTVILLE UTILITY BUILDING, WESTVILLE OK 74965,polling_location
OK,,county,CHOCTAW COUNTY PRECINCT 120316,KIAMICHI TECHNOLOGY CENTER,105 S 15TH ST - HWY 70 E HUGO OK 74743,polling_location
OK,,county,McCURTAIN COUNTY PRECINCT 450034,MILLERTON COMMUNITY BUILDING,MILLERTON COMMUNITY MILLERTON OK 74750,polling_location
OK,,county,BRYAN COUNTY PRECINCT 070027,SEVENTH DAY ADVENTIST CHURCH,225 SUNNY MEADOW DRIVE DURANT OK 74701,polling_location
OK,,county,CIMARRON COUNTY PRECINCT 130003,CITY HALL,23 N. LOGAN BOISE CITY OK 73933,polling_location
OK,,county,TULSA COUNTY PRECINCT 720754,FIRST PRESBYTER CH OF OWASSO,12800 E 85 ST N OWASSO OK 74055,polling_location
OK,,county,TULSA COUNTY PRECINCT 720161,JAMES INHOFE PLAZA,6565 S NEWPORT AVE TULSA OK 74136,polling_location
OK,,county,COAL COUNTY PRECINCT 150011,LEHIGH FIRE STATION,2ND STREET LEHIGH OK 74556,polling_location
OK,,county,DEWEY COUNTY PRECINCT 220010,FAY SCHOOL,-- FAY OK 73646,polling_location
OK,,county,MAJOR COUNTY PRECINCT 470015,AMES CITY HALL,106 E. CORP. DR. AMES OK 73718,polling_location
OK,,county,CHEROKEE COUNTY PRECINCT 110019,CRESCENT VALLEY CHURCH,25641 S CRESCENT VALLEY RD TAHLEQUAH OK 74464,polling_location
OK,,county,TULSA COUNTY PRECINCT 720751,FAITH LUTHERAN CHURCH,9222 N GARNETT RD OWASSO OK 74055,polling_location
OK,,county,LEFLORE COUNTY PRECINCT 400113,VICTORY WORSHIP CENTER,23725 US HWY 271-SPIRO SPIRO OK 74959,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550120,EMMANUEL TABERNACLE CHURCH,9700 N WESTERN AVENUE OKLAHOMA CITY OK 73114,polling_location
OK,,county,CARTER COUNTY PRECINCT 100039,STOBTOWN CHURCH,11001 MERIDIAN RD. LONE GROVE OK 73443,polling_location
OK,,county,WAGONER COUNTY PRECINCT 730106,COUNTY LINE BAPTIST CHURCH,4575 S 193 E AVE BROKEN ARROW OK 74014,polling_location
OK,,county,CARTER COUNTY PRECINCT 100061,MARANATHA CHURCH,1906 MYALL ROAD ARDMORE OK 73401,polling_location
OK,,county,TULSA COUNTY PRECINCT 720167,ST JAMES UNITED METH CHURCH,5050 E 111 ST TULSA OK 74137,polling_location
OK,,county,HUGHES COUNTY PRECINCT 320021,CATHOLIC CHURCH,517 E HIGHWAY HOLDENVILLE OK 74848,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550025,FIRST BAPTIST CHURCH OF NCP,1931 NICHOLS DR NICOMA PARK OK 73066,polling_location
OK,,county,CHOCTAW COUNTY PRECINCT 120104,SOPER SENIOR CITIZENS,HWY 70 W - 1BLK N ON MAIN ST. SOPER OK 74759,polling_location
OK,,county,BLAINE COUNTY PRECINCT 060016,GREENFIELD BAPTIST CHURCH,GREENFIELD GREENFIELD OK 73043,polling_location
OK,,county,CARTER COUNTY PRECINCT 100032,JEHOVAH MISSIONARY BAPTIST,6277 JEHOVAH BAPTIST CHURCH ARDMORE OK 73401,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550156,N MACARTHUR CHURCH OF CHRIST,9300 N MACARTHUR BLVD OKLAHOMA CITY OK 73132,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090217,COVENANT COMMUNITY CHURCH,2250 N MUSTANG ROAD YUKON OK 73099,polling_location
OK,,county,CARTER COUNTY PRECINCT 100025,MASONIC LODGE,7380 N. MERIDIAN RD. LONE GROVE OK 73443,polling_location
OK,,county,TILLMAN COUNTY PRECINCT 710004,FIRST UNITED METHODIST CHURCH,12TH & GRAND AVE FREDERICK OK 73542,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160007,BLVD CHRISTIAN CHURCH,55TH & GORE BLVD LAWTON OK 73505,polling_location
OK,,county,GRADY COUNTY PRECINCT 260008,COLLEGE HEIGHTS BAPTIST CHURCH,"FELLOWSHIP HALL, 1202 W GRAND CHICKASHA OK 73018",polling_location
OK,,county,TULSA COUNTY PRECINCT 720082,ZARROW INTERNATIONAL SCHOOL,3613 S HUDSON AVE TULSA OK 74135,polling_location
OK,,county,LEFLORE COUNTY PRECINCT 400102,SPIRO TOWN HALL,510 S. MAIN ST SPIRO OK 74959,polling_location
OK,,county,LINCOLN COUNTY PRECINCT 410006,TRYON SCHOOL CAFETERIA,25 N. OKLAHOMA TRYON OK 74875,polling_location
OK,,county,ATOKA COUNTY PRECINCT 030003,VETERAN'S CENTER,203 E 1 STREET ATOKA OK 74525,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550121,BRIDGEWAY CHURCH,228 W HEFNER RD OKLAHOMA CITY OK 73114,polling_location
OK,,county,MARSHALL COUNTY PRECINCT 480101,OAKLAND CITY HALL,P.O. BOX 541 MADILL OK 73446,polling_location
OK,,county,CADDO COUNTY PRECINCT 080511,APACHE HOUSING AUTHORITY,402 NORTH OAK STREET APACHE OK 73006,polling_location
OK,,county,TULSA COUNTY PRECINCT 720172,WOODLAND TERRACE,9524 E 71 ST TULSA OK 74133,polling_location
OK,,county,BRYAN COUNTY PRECINCT 070021,COBB COMMUNITY BUILDING,3825 BRYAN ROAD (TAKE HWY 78 DURANT OK 74701,polling_location
OK,,county,CREEK COUNTY PRECINCT 190418,CHURCH OF GOD OF PROPHECY,811 LEXINGTON RD SAPULPA OK 74066,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090107,BAYMONT INN & SUITES,1707 SW 27TH ST EL RENO OK 73036,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090109,BAYMONT INN & SUITES,1707 SW 27TH ST EL RENO OK 73036,polling_location
OK,,county,TULSA COUNTY PRECINCT 720110,RIVERSIDE BAPTIST CHURCH,6363 S PEORIA AVE TULSA OK 74136,polling_location
OK,,county,CADDO COUNTY PRECINCT 080041,PHYSICIANS HOSP. CONFERENCE RM,1002 E. CENTRAL BLVD. ANADARKO OK 73005,polling_location
OK,,county,CARTER COUNTY PRECINCT 100051,RATLIFF CITY HALL, RATLIFF CITY OK 73481,polling_location
OK,,county,TULSA COUNTY PRECINCT 720504,COLLINSVILLE CHRISTIAN CHURCH,1825 W UNION ST COLLINSVILLE OK 74021,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160049,LETITIA BAPTIST CHURCH,1 MI S OF HWY 7 ON HWY 65 LAWTON OK 73501,polling_location
OK,,county,HASKELL COUNTY PRECINCT 310009,LEQUIRE FIREHOUSE,"SOUTH SIDE, HWY. 31 LEQUIRE OK 74943",polling_location
OK,,county,MARSHALL COUNTY PRECINCT 480105,LEBANON CHURCH OF CHRIST,21763 HWY 32 LEBANON OK 73440,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090224,CANADIAN VALLEY BAPTIST CHURCH,11500 SW 15TH STREET YUKON OK 73099,polling_location
OK,,county,CHOCTAW COUNTY PRECINCT 120318,MESSER COMMUNITY CENTER,6 MI N ON HWY 93 .2 MI HUGO OK 74743,polling_location
OK,,county,WASHINGTON COUNTY PRECINCT 740015,SPRUCE AVENUE BAPTIST CHURCH,300 NE SPRUCE AVE BARTLESVILLE OK 74006,polling_location
OK,,county,CADDO COUNTY PRECINCT 080510,CYRIL BAPTIST CHURCH,213 WEST MAIN CYRIL OK 73029,polling_location
OK,,county,JEFFERSON COUNTY PRECINCT 340004,ADDINGTON BAPTIST CHURCH,PURDY STREET ADDINGTON OK 73520,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160041,SR CITIZENS ROOM,900 POST OAK PLAZA INDIAHOMA OK 73552,polling_location
OK,,county,POTTAWATOMIE COUNTY PRECINCT 630007,UNIVERSITY BAPTIST CHURCH,2500 N KICKAPOO SHAWNEE OK 74804,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160014,GOODWILL ADULT DAY CARE,923 HILLTOP DR LAWTON OK 73507,polling_location
OK,,county,TULSA COUNTY PRECINCT 720551,O'BRIEN RECREATION CENTER,6230 N BIRMINGHAM AVE TULSA OK 74130,polling_location
OK,,county,ELLIS COUNTY PRECINCT 230007,GAGE LIBRARY,515 N MAIN ST GAGE OK 73843,polling_location
OK,,county,KINGFISHER COUNTY PRECINCT 370106,ERVIN/JANET YOUNG RESIDENCE,"81/CRESCENT BLKTOP  1-1/2 E, DOVER OK 73734",polling_location
OK,,county,BECKHAM COUNTY PRECINCT 050111,BM BAPTIST ASSOCIATION,1906 N WATTS SAYRE OK 73662,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090202,RICHLAND NAZARENE CHURCH,10825 N 6TH ST YUKON OK 73099,polling_location
OK,,county,TULSA COUNTY PRECINCT 720145,TULSA TECH ALLIANCE & CONF CTR,801 E 91 ST TULSA OK 74132,polling_location
OK,,county,TULSA COUNTY PRECINCT 720753,OWASSO COMMUNITY CENTER,301 S CEDAR ST OWASSO OK 74055,polling_location
OK,,county,ADAIR COUNTY PRECINCT 010013,FAITH TABERNACLE CHURCH, STILWELL OK 74960,polling_location
OK,,county,CADDO COUNTY PRECINCT 080022,ANADARKO COMMUNITY LIBRARY,215 W BROADWAY ANADARKO OK 73005,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160048,CITY HALL,100 MAIN ST GERONIMO OK 73543,polling_location
OK,,county,ALFALFA COUNTY PRECINCT 020330,JET COMMUNITY BUILDING, JET OK 73749,polling_location
OK,,county,PITTSBURG COUNTY PRECINCT 610003,FIRST BAPTIST CHURCH,100 E WASHINGTON MC ALESTER OK 74501,polling_location
OK,,county,CARTER COUNTY PRECINCT 100002,HEARTLAND PLAZA ASSISTED LIV.,"HEARTLAND PLAZA,ACTIV. DIREC. ARDMORE OK 73401",polling_location
OK,,county,CARTER COUNTY PRECINCT 100019,CHICKASAW LIBRARY,601 RAILWAY EXPRESS ARDMORE OK 73401,polling_location
OK,,county,CADDO COUNTY PRECINCT 080715,ALDEN FIRE DEPARTMENT,40030 STATE HIGHWAY #58 CARNEGIE OK 73015,polling_location
OK,,county,CARTER COUNTY PRECINCT 100062,MARY NIBLACK BAPTIST CHURCH,898 MARY NIBLACK RD ARDMORE OK 73401,polling_location
OK,,county,TULSA COUNTY PRECINCT 720706,SOUTH COUNTY RECREATION CENTER,13800 S PEORIA AVE BIXBY OK 74008,polling_location
OK,,county,DEWEY COUNTY PRECINCT 220005,VICI FIRST CHRISTIAN CHURCH,124 S. MAIN ST. VICI OK 73859,polling_location
OK,,county,COMANCHE COUNTY PRECINCT 160050,HOLY FAMILY CATHOLIC CHURCH,1010 NW 82 ST LAWTON OK 73505,polling_location
OK,,county,OKLAHOMA COUNTY PRECINCT 550043,WATERLOO ROAD BAPTIST CHURCH,3100 E WATERLOO RD EDMOND OK 73034,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240204,FIRST ASSEMBLY OF GOD CHURCH,905 N OAKWOOD RD ENID OK 73703,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240101,FIRST MISSIONARY BAPTIST,467 E GARRIOTT RD ENID OK 73701,polling_location
OK,,county,OSAGE COUNTY PRECINCT 570101,BOWRING SCHOOL,87 CR 3304 RD PAWHUSKA OK 74056,polling_location
OK,,county,TULSA COUNTY PRECINCT 720353,LEONARD FIRST BAPTIST CHURCH,15711 E 168 ST S LEONARD OK 74043,polling_location
OK,,county,GARFIELD COUNTY PRECINCT 240104,GANTZ CENTER ROOM #100,100 S UNIVERSITY AVE ENID OK 73701,polling_location
OK,,county,DELAWARE COUNTY PRECINCT 210003,MONKEY ISLAND FIRE DEPT.,"56298 E. 295 RD,IN PORT DUNCAN MONKEY ISLAND OK 74331",polling_location
OK,,county,TULSA COUNTY PRECINCT 720049,CHURCH OF CHRIST,829 S ROCKFORD AVE TULSA OK 74120,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090308,LAKEHOMA CHURCH OF CHRIST,2124 W STATE HWY 152 MUSTANG OK 73064,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090309,LAKEHOMA CHURCH OF CHRIST,2124 W STATE HWY 152 MUSTANG OK 73064,polling_location
OK,,county,CARTER COUNTY PRECINCT 100015,SO TECH CENTER,2610 SAN NOBLE PKWY ARDMORE OK 73401,polling_location
OK,,county,PONTOTOC COUNTY PRECINCT 620064,HAPPYLAND FREEWILL BAPT CHURCH,22787 HIGHWAY 1E ADA OK 74820,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090214,TOWN & COUNTRY CHRISTIAN CHURC,2200 S CORNWELL DR YUKON OK 73099,polling_location
OK,,county,LOGAN COUNTY PRECINCT 420308,FIRST ASSEMBLY OF GOD CHURCH,1900 S. DIVISION GUTHRIE OK 73044,polling_location
OK,,county,CANADIAN COUNTY PRECINCT 090403,SCOTT BAPTIST CHURCH,24550 STATE HIGHWAY 37 HINTON OK 73047,polling_location
