county_name,jurisdiction,precinct_id,precinct,name,address
ADAIR,ADAIR,010001,ADAIR COUNTY PRECINCT 010001,DAHLONEGAH SCHOOL,"DAHLONEGAH SCHOOL, RT 1 BOX 351, STILWELL, OK 74960"
ADAIR,ADAIR,010004,ADAIR COUNTY PRECINCT 010004,PENTECOSTAL HOLINESS CHURCH,"PENTECOSTAL HOLINESS CHURCH, 102 N 6TH STREET, STILWELL, OK 74960"
ADAIR,ADAIR,010011,ADAIR COUNTY PRECINCT 010011,BELL SCHOOL,"BELL SCHOOL, P O BOX  346, STILWELL, OK 74960"
ADAIR,ADAIR,010012,ADAIR COUNTY PRECINCT 010012,FOUR CORNER CHURCH OF CHRIST,"FOUR CORNERS CHURCH OF CHRIST, HWY 100 EAST, STILWELL, OK 74960"
ADAIR,ADAIR,010017,ADAIR COUNTY PRECINCT 010017,WATTS BAPTIST CHURCH,"WATTS BAPTIST CHURCH, WATTS, OK 74964"
ALFALFA,ALFALFA,020110,ALFALFA COUNTY PRECINCT 020110,BURLINGTON FIREHOUSE,"BURLINGTON FIREHOUSE OFFICE, 410 MAPLE, BURLINGTON, OK 73722"
BECKHAM,BECKHAM,050111,BECKHAM COUNTY PRECINCT 050111,BM BAPTIST ASSOCIATION,"1906 N WATTS, SAYRE, OK 73662"
BLAINE,BLAINE,060007,BLAINE COUNTY PRECINCT 060007,CANTON COMMUNITY CENTER,"301 NORTH GARFIELD, CANTON, OK 73724"
BLAINE,BLAINE,060016,BLAINE COUNTY PRECINCT 060016,GREENFIELD BAPTIST CHURCH,"GREENFIELD, GREENFIELD, OK 73043"
BRYAN,BRYAN,070025,BRYAN COUNTY PRECINCT 070025,MEAD BAPTIST CHURCH,"321 SOUTH CHURCH STREET, MEAD, OK 73449"
CADDO,CADDO,080051,CADDO COUNTY PRECINCT 080051,FIRST BAPTIST CHURCH,"700 W. PETREE ROAD, PETREE AND MISSION, ANADARKO, OK 73005"
CANADIAN,CANADIAN,090302,CANADIAN COUNTY PRECINCT 090302,MUSTANG NAZARENE CHURCH,"700 E HIGHWAY 152, MUSTANG, OK 73064"
CANADIAN,CANADIAN,090504,CANADIAN COUNTY PRECINCT 090504,PIEDMONT UNITED METHODIST CHUR,"2525 N PIEDMONT ROAD, PIEDMONT, OK 73078"
CANADIAN,CANADIAN,090506,CANADIAN COUNTY PRECINCT 090506,PIEDMONT FIRST BAPTIST CHURCH ,"15 JACKSON AVE NW, PIEDMONT, OK 73078"
CARTER,CARTER,100007,CARTER COUNTY PRECINCT 100007,HFV WILSON COMMUNITY CENTER,"625 E. MAIN, ARDMORE, OK 73401"
CARTER,CARTER,100034,CARTER COUNTY PRECINCT 100034,NEW HOPE F.W. BAPTIST CHURCH,"9003 PRAIRIE VALLEY ROAD, LONE GROVE, OK 73443"
CARTER,CARTER,100051,CARTER COUNTY PRECINCT 100051,RATLIFF CITY HALL,"RATLIFF CITY HALL, PO BOX 142, RATLIFF CITY, OK 73481"
CHEROKEE,CHEROKEE,110005,CHEROKEE COUNTY PRECINCT 110005,ARMORY MUNICIPAL CENTER,"100 N WATER AVE, TAHLEQUAH, OK 74464"
CHOCTAW,CHOCTAW,120105,CHOCTAW COUNTY PRECINCT 120105,WESLEY UNITED METHODIST CHURCH,"504 SOUTH F ST., HUGO, OK 74743"
CIMARRON,CIMARRON,130004,CIMARRON COUNTY PRECINCT 130004,LIBRARY,"102 S.ELLIS AVE, BOISE CITY, OK 73933"
CLEVELAND,CLEVELAND,140008,CLEVELAND COUNTY PRECINCT 140008,ST. JOHN'S EPISCOPAL CHURCH,"235 W DUFFY, NORMAN, OK 73069"
CLEVELAND,CLEVELAND,140011,CLEVELAND COUNTY PRECINCT 140011,CALVARY CHAPEL OF NORMAN,"1401 W BOYD ST, NORMAN, OK 73069"
CLEVELAND,CLEVELAND,140017,CLEVELAND COUNTY PRECINCT 140017,HEAVENLY HEIGHTS BAPT. CHURCH,"3600 SE 89 ST, OKLAHOMA CITY, OK 73135"
CLEVELAND,CLEVELAND,140018,CLEVELAND COUNTY PRECINCT 140018,GOODRICH MEM UNITED METHODIST ,"200 W HAYES, NORMAN, OK 73069"
CLEVELAND,CLEVELAND,140041,CLEVELAND COUNTY PRECINCT 140041,SOUTHWEST MANSIONS,"9900 S WESTERN, OKLAHOMA CITY, OK 73139"
CLEVELAND,CLEVELAND,140045,CLEVELAND COUNTY PRECINCT 140045,ENTERPRISE BAPTIST CHURCH,"2425 SE 84TH, NORMAN, OK 73026"
CLEVELAND,CLEVELAND,140059,CLEVELAND COUNTY PRECINCT 140059,MEMORIAL PRESBYTERIAN CHURCH,"601 24TH AVE SW., NORMAN, OK 73069"
CLEVELAND,CLEVELAND,140060,CLEVELAND COUNTY PRECINCT 140060,ST. JOHN'S LUTHERAN CHURCH,"1032 NW 12TH ST., MOORE, OK 73160"
CLEVELAND,CLEVELAND,140073,CLEVELAND COUNTY PRECINCT 140073,FAITHPOINTE CHURCH,"3404 36TH AVE NW, NORMAN, OK 73072"
CLEVELAND,CLEVELAND,140094,CLEVELAND COUNTY PRECINCT 140094,LAKESIDE CHURCH OF GOD,"4400 E ALAMEDA, NORMAN, OK 73026"
