state,county_name,jurisdiction_type,precinct_id,precinct_name,name,address,polling_location_type
OK,ADAIR,county,010001,ADAIR COUNTY PRECINCT 010001,DAHLONEGAH SCHOOL,"DAHLONEGAH SCHOOL, RT 1 BOX 351, STILWELL, OK 74960",polling_location
OK,ADAIR,county,010003,ADAIR COUNTY PRECINCT 010003,PROCTOR COMMUNITY BUILDING,"PROCTOR COMMUNITY BUILDING, P.O. BOX 193, PROCTOR, OK 74457",polling_location
OK,ADAIR,county,010012,ADAIR COUNTY PRECINCT 010012,FOUR CORNER CHURCH OF CHRIST,"FOUR CORNERS CHURCH OF CHRIST, HWY 100 EAST, STILWELL, OK 74960",polling_location
OK,ATOKA,county,030010,ATOKA COUNTY PRECINCT 030010,WARDVILLE COMMUNITY CENTER,"100 N. MAIN STREET, WARDVILLE, OK 74576",polling_location
OK,BLAINE,county,060007,BLAINE COUNTY PRECINCT 060007,CANTON COMMUNITY CENTER,"301 NORTH GARFIELD, CANTON, OK 73724",polling_location
OK,BRYAN,county,070025,BRYAN COUNTY PRECINCT 070025,MEAD BAPTIST CHURCH,"321 SOUTH CHURCH STREET, MEAD, OK 73449",polling_location
OK,CADDO,county,080051,CADDO COUNTY PRECINCT 080051,FIRST BAPTIST CHURCH,"700 W. PETREE ROAD, PETREE AND MISSION, ANADARKO, OK 73005",polling_location
OK,CANADIAN,county,090211,CANADIAN COUNTY PRECINCT 090211,TRINITY BAPTIST CHURCH YUKON,"620 N CEMETERY RD, (NORTH ENTRANCE), YUKON, OK 73099",polling_location
OK,CANADIAN,county,090302,CANADIAN COUNTY PRECINCT 090302,MUSTANG NAZARENE CHURCH,"700 E HIGHWAY 152, MUSTANG, OK 73064",polling_location
OK,CANADIAN,county,090504,CANADIAN COUNTY PRECINCT 090504,PIEDMONT UNITED METHODIST CHUR,"2525 N PIEDMONT ROAD, PIEDMONT, OK 73078",polling_location
OK,CANADIAN,county,090506,CANADIAN COUNTY PRECINCT 090506,PIEDMONT FIRST BAPTIST CHURCH ,"15 JACKSON AVE NW, PIEDMONT, OK 73078",polling_location
OK,CARTER,county,100007,CARTER COUNTY PRECINCT 100007,HFV WILSON COMMUNITY CENTER,"625 E. MAIN, ARDMORE, OK 73401",polling_location
OK,CARTER,county,100034,CARTER COUNTY PRECINCT 100034,LONE GROVE COMMUNITY CENTER,"32 LILAC STREET, LONE GROVE, OK 73443",polling_location
OK,CHEROKEE,county,110004,CHEROKEE COUNTY PRECINCT 110004,ARMORY MUNICIPAL CENTER,"100 N WATER AVE, TAHLEQUAH, OK 74464",polling_location
OK,CHEROKEE,county,110005,CHEROKEE COUNTY PRECINCT 110005,ARMORY MUNICIPAL CENTER,"100 N WATER AVE, TAHLEQUAH, OK 74464",polling_location
OK,CHEROKEE,county,110007,CHEROKEE COUNTY PRECINCT 110007,ARMORY MUNICIPAL CENTER,"100 N WATER AVE, TAHLEQUAH, OK 74464",polling_location
OK,CHOCTAW,county,120105,CHOCTAW COUNTY PRECINCT 120105,WESLEY UNITED METHODIST CHURCH,"504 SOUTH F ST., HUGO, OK 74743",polling_location
OK,CHOCTAW,county,120321,CHOCTAW COUNTY PRECINCT 120321,FORT TOWSON CITY HALL,"112 E VALLIANT, US-70 HWY & SE 1ST ST, FORT TOWSON, OK 74735",polling_location
OK,CIMARRON,county,130004,CIMARRON COUNTY PRECINCT 130004,LIBRARY,"102 S.ELLIS AVE, BOISE CITY, OK 73933",polling_location
OK,CLEVELAND,county,140001,CLEVELAND COUNTY PRECINCT 140001,CALVARY FWB CHURCH,"3730 N PORTER, NORMAN, OK 73069",polling_location
OK,CLEVELAND,county,140091,CLEVELAND COUNTY PRECINCT 140091,CALVARY FWB CHURCH,"3730 N PORTER, NORMAN, OK 73069",polling_location
OK,CLEVELAND,county,140008,CLEVELAND COUNTY PRECINCT 140008,ST. JOHN'S EPISCOPAL CHURCH,"235 W DUFFY, NORMAN, OK 73069",polling_location
OK,CLEVELAND,county,140011,CLEVELAND COUNTY PRECINCT 140011,CALVARY CHAPEL OF NORMAN,"1401 W BOYD ST, NORMAN, OK 73069",polling_location
OK,CLEVELAND,county,140017,CLEVELAND COUNTY PRECINCT 140017,HEAVENLY HEIGHTS BAPT. CHURCH,"3600 SE 89 ST, OKLAHOMA CITY, OK 73135",polling_location
OK,CLEVELAND,county,140018,CLEVELAND COUNTY PRECINCT 140018,GOODRICH MEM UNITED METHODIST ,"200 W HAYES, NORMAN, OK 73069",polling_location
OK,CLEVELAND,county,140041,CLEVELAND COUNTY PRECINCT 140041,SOUTHWEST MANSIONS,"9900 S WESTERN, OKLAHOMA CITY, OK 73139",polling_location
OK,CLEVELAND,county,140045,CLEVELAND COUNTY PRECINCT 140045,ENTERPRISE BAPTIST CHURCH,"2425 SE 84TH, NORMAN, OK 73026",polling_location
OK,CLEVELAND,county,140059,CLEVELAND COUNTY PRECINCT 140059,MEMORIAL PRESBYTERIAN CHURCH,"601 24TH AVE SW., NORMAN, OK 73069",polling_location
OK,CLEVELAND,county,140060,CLEVELAND COUNTY PRECINCT 140060,ST. JOHN'S LUTHERAN CHURCH,"1032 NW 12TH ST., MOORE, OK 73160",polling_location
OK,CLEVELAND,county,140094,CLEVELAND COUNTY PRECINCT 140094,LAKESIDE CHURCH OF GOD,"4400 E ALAMEDA, NORMAN, OK 73026",polling_location
OK,COAL,county,150006,COAL COUNTY PRECINCT 150006,VALLEY INSURANCE BUILDING,"17 N MAIN STREET, COALGATE, OK 74538",polling_location
