state,election_date,jurisdiction_type,county_name,precinct_name,name,address,polling_location_type
PA,2012-11-06,county,,HORSHAM 1-3,HORSHAM BATTALION #1,315 MEETINGHOUSE RD HORSHAM PA 19044,polling_location
PA,2012-11-06,county,,JOHNSTOWN 17TH W2,ST. PATRICK'S CHURCH HALL,609 PARK AVE JOHNSTOWN PA,polling_location
PA,2012-11-06,county,,CUMRU TWP - 7TH PRECINCT,GOVERNOR MIFFLIN INTERM SHL(LEFT DOOR),GOVERNOR DR &amp;amp; ELKINS AVE READING PA 19607,polling_location
PA,2012-11-06,county,,CHELTENHAM 1-2,GLENSIDE FIRE COMPANY,210 W GLENSIDE AVE GLENSIDE PA 19038,polling_location
PA,2012-11-06,county,,ONTELAUNEE TWP,ONTELAUNEE TOWNSHIP BLDG,35 ONTELAUNEE DR READING PA 19605,polling_location
PA,2012-11-06,county,,PENN TWP 2ND WARD 2ND PCT,HARRISON CITY V.F.D.HARRISON ROOM SOCIAL HALL,1010 MILL ST HARRISON CITY PA 15636,polling_location
PA,2012-11-06,county,,CHELTENHAM 3-2,CHELTENHAM TOWNSHIP ADMIN BUILDING,8230 OLD YORK RD ELKINS PARK PA 19027,polling_location
PA,2012-11-06,county,,BLAIRSVILLE 2,BLAIRSVILLE 2/OLD AMERICAN LEGION BLDG.,101 E NORTH LANE BLAIRSVILLE PA 15717,polling_location
PA,2012-11-06,county,,PLYMOUTH 3-3,CHURCH ON THE MALL,500 W GERMANTOWN PIKE PLYMOUTH MEETING PA 19462,polling_location
PA,2012-11-06,county,,TINICUM TOWNSHIP 3RD WARD,TINICUM MUNICIPAL BLDG,629 N GOVERNOR PRINTZ BLVD ESSINGTON PA 19029,polling_location
PA,2012-11-06,county,,MAHONING TOWNSHIP 1P,MAHONING TOWNSHIP FIRE DEPT,570 JACKSON ST EDINBURG PA 16116,polling_location
PA,2012-11-06,county,,EAST NORRITON 2-2,COLE MANOR ELEMENTARY SCHOOL,2350 SPRINGVIEW RD NORRISTOWN PA 19401,polling_location
PA,2012-11-06,county,,TINICUM TOWNSHIP 1ST WARD,TINICUM FIRE COMPANY STATION 48,99 WANAMAKER AVE ESSINGTON PA 19029,polling_location
PA,2012-11-06,county,,DICKSON CITY W-03 P-1,EAGLE HOSE COMPANY #1,1 EAGLE LN  PA,polling_location
PA,2012-11-06,county,,HATFIELD 5-1,OAK PARK ELEMENTARY SCHOOL,500 SQUIRREL LN LANSDALE PA 19446,polling_location
PA,2012-11-06,county,,PORTER TWP - 2100,2100 - PORTER  - PORTER TWP COMMUNITY CTR,2081 FAIRVIEW RD DAYTON PA 16222,polling_location
PA,2012-11-06,county,,CHELTENHAM 5-2,MYERS ELEMENTARY SCHOOL,7609 MONTGOMERY AVE ELKINS PARK PA 19027,polling_location
