state,election_date,jurisdiction_type,county_name,precinct_id,precinct_name,name,address
PA,2018-11-06,county,ADAMS,01,ABBOTTSTOWN,ABBOTTSTOWN BOROUGH OFFICE,"241 HIGH ST, ABBOTTSTOWN, PA 17301"
PA,2018-11-06,county,ADAMS,02,ARENDTSVILLE,ARENDTSVILLE FIRE COMPANY BLDG,"48 PEARL ST, ARENDTSVILLE, PA 17303"
PA,2018-11-06,county,ADAMS,03,BENDERSVILLE,BENDERSVILLE COMMUNITY BLDG,"144 PARK ST, BENDERSVILLE, PA 17306"
PA,2018-11-06,county,ADAMS,04,BERWICK,BERWICK TWP MUNIC BLDG,"85 MUNICIPAL RD, HANOVER, PA 17331"
PA,2018-11-06,county,ADAMS,05,BIGLERVILLE,TRINITY UNITED CHURCH FELLOWSHIP HALL,"300 E YORK ST, BIGLERVILLE, PA 17307"
PA,2018-11-06,county,ADAMS,06,BONNEAUVILLE,BONNEAUVILLE MUNIC BLDG,"46 E HANOVER ST, GETTYSBURG, PA 17325"
PA,2018-11-06,county,ADAMS,07,BUTLER,OAKSIDE COMMUNITY PARK,"2880 TABLE ROCK RD, BIGLERVILLE, PA 17307"
PA,2018-11-06,county,ADAMS,08,CARROLL VALLEY #1,CARROLL VALLEY BOROUGH OFFICE,"5685 FAIRFIELD RD, FAIRFIELD, PA 17320"
PA,2018-11-06,county,ADAMS,09,CONEWAGO #1,SAVES STATION,"5865 HANOVER RD, HANOVER, PA 17331"
PA,2018-11-06,county,ADAMS,10,CONEWAGO #2,SAVES STATION,"5865 HANOVER RD, HANOVER, PA 17331"
PA,2018-11-06,county,ADAMS,11,CUMBERLAND #1,GETTYSBURG SCHOOL ADMINISTRATION BLDG,"900 BIGLERVILLE RD, GETTYSBURG, PA 17325"
PA,2018-11-06,county,ADAMS,12,CUMBERLAND #2,BARLOW FIRE HALL,"2005 TANEYTOWN RD, GETTYSBURG, PA 17325"
PA,2018-11-06,county,ADAMS,13,CUMBERLAND #3,CUMBERLAND TWP MUNIC BLDG,"1370 FAIRFIELD RD, GETTYSBURG, PA 17325"
PA,2018-11-06,county,ADAMS,14,CUMBERLAND #4,CUMBERLAND TWP MUNIC BLDG,"1370 FAIRFIELD RD, GETTYSBURG, PA 17325"
PA,2018-11-06,county,ADAMS,15,EAST BERLIN,COMMUNITY CENTER,"405 NORTH AVE, EAST BERLIN, PA 17316"
PA,2018-11-06,county,ADAMS,16,FAIRFIELD,VILLAGE HALL,"108 W MAIN ST, FAIRFIELD, PA 17320"
