state,county_name,municipality,precinct_id,name,address
RI,,BARRINGTON,0101,BARRINGTON HIGH SCHOOL,"220 LINCOLN AVE, BARRINGTON, RI 00000"
RI,,BARRINGTON,0102,MIDDLE SCHOOL,"261 MIDDLE HWY, BARRINGTON, RI 00000"
RI,,BARRINGTON,0103,NAYATT SCHOOL,"400 NAYATT RD, BARRINGTON, RI 00000"
RI,,BARRINGTON,0104,HAMPDEN MEADOWS SCHOOL,"297 NEW MEADOW RD, BARRINGTON, RI 00000"
RI,,BARRINGTON,0105,SOWAMS SCHOOL,"364 SOWAMS RD, BARRINGTON, RI 00000"
RI,,BARRINGTON,0106,TOWN HALL - LIMITED,"283 COUNTY RD, BARRINGTON, RI 00000"
RI,,BRISTOL,0201,ROCKWELL SCHOOL,"1225 HOPE ST, BRISTOL, RI 00000"
RI,,BRISTOL,0202,BURNSIDE BUILDING,"400 HOPE ST, BRISTOL, RI 00000"
RI,,BRISTOL,0203,QUINTA-GAMELIN CENTER,"101 ASYLUM RD, BRISTOL, RI 00000"
RI,,BRISTOL,0204,MOUNT HOPE HIGH SCHOOL,"199 CHESTNUT ST, BRISTOL, RI 00000"
RI,,BRISTOL,0205,FIRE DEPARTMENT HEADQUARTERS,"4 ANNAWAMSCUTT DR, BRISTOL, RI 00000"
RI,,BRISTOL,0206,RHODE ISLAND VETERANS HOME,"480 METACOM AVE, BRISTOL, RI 00000"
RI,,BRISTOL,0207,ROGER WILLIAMS UNIVERSITY NORTH DORMITORY,"1 OLD FERRY RD, BRISTOL, RI 00000"
RI,,BRISTOL,0208,FRANKLIN COURT,"150 FRANKLIN ST, BRISTOL, RI 00000"
RI,,BRISTOL,0209,ST. ELIZABETH AUDITORIUM,"577 WOOD ST, BRISTOL, RI 00000"
RI,,BRISTOL,0210,TOWN HALL - LIMITED,"10 COURT ST, BRISTOL, RI 00000"
RI,,BURRILLVILLE,0301,PASCOAG UTILITY DISTRICT,"253 PASCOAG MAIN ST, BURRILLVILLE, RI 00000"
RI,,BURRILLVILLE,0302,BECKWITH-BRUCKSHAW MEMORIAL LODGE,"50 LODGE RD, BURRILLVILLE, RI 00000"
RI,,BURRILLVILLE,0303,BURRILLVILLE HIGH SCHOOL,"425 EAST AVE, BURRILLVILLE, RI 00000"
RI,,BURRILLVILLE,0304,WILLIAM L CALLAHAN SCHOOL,"75 CALLAHAN SCHOOL ST, BURRILLVILLE, RI 00000"
RI,,BURRILLVILLE,0305,OAKLAND-MAPLEVILLE FIRE STATION,"46 OAKLAND SCHOOL ST, BURRILLVILLE, RI 00000"
RI,,BURRILLVILLE,0306,BURRILLVILLE MIDDLE SCHOOL,"2220 BRONCOS HWY, BURRILLVILLE, RI 00000"
RI,,BURRILLVILLE,0307,TOWN HALL - LIMITED,"105 HARRISVILLE MAIN ST, BURRILLVILLE, RI 00000"
RI,,CENTRAL FALLS,0401,CALCUTT MIDDLE SCHOOL - ROOM A,"112 WASHINGTON ST, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0402,M.I. ROBERTSON SCHOOL - ROOM A,"135 HUNT ST, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0403,CENTRAL FALLS HIGH SCHOOL,"24 SUMMER ST, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0404,VETERANS MEMORIAL ELEMENTARY SCHOOL,"150 FULLER AVE, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0405,CAPT. G.H. HUNT SCHOOL - ROOM A,"12 KENDALL ST, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0406,MADEIRENSE CLUB,"46 MADEIRA AVE, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0407,ELLA RISK SCHOOL,"949 DEXTER ST, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0408,KNIGHTS OF COLUMBUS,"20 CLAREMONT ST, CENTRAL FALLS, RI 00000"
RI,,CENTRAL FALLS,0410,CITY HALL - LIMITED,"580 BROAD ST, CENTRAL FALLS, RI 00000"
RI,,CHARLESTOWN,0501,CHARLESTOWN ELEMENTARY SCHOOL,"363 CAROLINA BACK RD, CHARLESTOWN, RI 00000"
RI,,CHARLESTOWN,0502,CHARLESTOWN TOWN HALL,"4540 S COUNTY TRL, CHARLESTOWN, RI 00000"
RI,,CHARLESTOWN,0503,QUONOCHONTAUG GRANGE HALL,"5662 POST RD, CHARLESTOWN, RI 00000"
RI,,CHARLESTOWN,0504,CHARLESTOWN AMBULANCE STATION,"4891 OLD POST RD, CHARLESTOWN, RI 00000"
RI,,CHARLESTOWN,0505,TOWN HALL - LIMITED,"4540 S COUNTY TRL, CHARLESTOWN, RI 00000"
RI,,COVENTRY,0601,MANCHESTER HALL,"585 WASHINGTON ST, COVENTRY, RI 00000"
RI,,COVENTRY,0602,OUR LADY OF CZENSTOCHOWA SCHOOL,"208 MACARTHUR BLVD, COVENTRY, RI 00000"
RI,,COVENTRY,0603,CLUB JOGUES,"184 BOSTON ST, COVENTRY, RI 00000"
RI,,COVENTRY,0604,TIOGUE SCHOOL,"170 EAST SHORE DR, COVENTRY, RI 00000"
RI,,COVENTRY,0605,ST. FRANCIS EPISCOPAL CHURCH,"132 PECKHAM LN, COVENTRY, RI 00000"
RI,,COVENTRY,0606,TOWN HALL - TOWN COUNCIL CHAMBERS,"1670 FLAT RIVER RD, COVENTRY, RI 00000"
RI,,COVENTRY,0607,COVENTRY COMMUNITY CENTER,"1277 MAIN ST, COVENTRY, RI 00000"
RI,,COVENTRY,0608,ASF MIDDLE SCHOOL,"9 FOSTER DR, COVENTRY, RI 00000"
RI,,COVENTRY,0609,MAPLE ROOT BAPTIST CHURCH,"150 HARKNEY HILL RD, COVENTRY, RI 00000"
RI,,COVENTRY,0610,KNOTTY OAK VILLAGE,"14 MANCHESTER CIR, COVENTRY, RI 00000"
RI,,COVENTRY,0611,WESTWOOD ESTATES CLUB HOUSE,"1 LIENA ROSE WAY, COVENTRY, RI 00000"
RI,,COVENTRY,0612,OAK HAVEN SCHOOL,"46 PETTINE ST, COVENTRY, RI 00000"
RI,,COVENTRY,0613,COVENTRY SENIOR CENTER,"50 WOOD ST, COVENTRY, RI 00000"
RI,,COVENTRY,0614,WOODLAND MANOR II,"20 WOODLAND DR, COVENTRY, RI 00000"
RI,,COVENTRY,0615,COVENTRY HIGH SCHOOL,"40 RESERVOIR RD, COVENTRY, RI 00000"
RI,,COVENTRY,0616,HOPKINS HILL SCHOOL,"95 JOHNSON BLVD, COVENTRY, RI 00000"
RI,,COVENTRY,0617,SUMMIT BAPTIST CHURCH,"1176 VICTORY HWY, COVENTRY, RI 00000"
RI,,COVENTRY,0618,WESTERN COVENTRY SCHOOL,"4588 FLAT RIVER RD, COVENTRY, RI 00000"
RI,,COVENTRY,0619,COVENTRY TOWN HALL - LIMITED BALLOTS,"1670 FLAT RIVER RD, COVENTRY, RI 00000"
RI,,CRANSTON,0701,ARLINGTON MANOR,"50 BIRCH ST, CRANSTON, RI 00000"
RI,,CRANSTON,0702,ARLINGTON SCHOOL - CAFETERIA,"155 PRINCESS AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0703,SANTA MARIA DIPRATA SOCIETY,"29 WALNUT GROVE AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0704,CRANSTON SENIOR CENTER,"1070 CRANSTON ST, CRANSTON, RI 00000"
RI,,CRANSTON,0705,STADIUM ELEMENTARY SCHOOL,"100 CRESCENT AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0706,CRANSTON CHRISTIAN FELLOWSHIP CHURCH,"1114 SCITUATE AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0707,HOPE HIGHLANDS ELEMENTARY SCHOOL (GYM),"300 HOPE RD, CRANSTON, RI 00000"
RI,,CRANSTON,0708,OAKLAWN SCHOOL (CAFETERIA - BACK LOWER LEVEL),"28 STONEHAM ST, CRANSTON, RI 00000"
RI,,CRANSTON,0709,SCHOFIELD ARMORY,"705 NEW LONDON AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0710,DANIEL WATERMAN ELEMENTARY SCHOOL,"722 PONTIAC AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0711,WESTERN HILLS MIDDLE SCHOOL,"400 PHENIX AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0712,GLEN HILLS SCHOOL,"50 GLEN HILLS DR, CRANSTON, RI 00000"
RI,,CRANSTON,0713,GARDEN CITY SCHOOL,"70 PLANTATION DR, CRANSTON, RI 00000"
RI,,CRANSTON,0714,CRANSTON PORTUGUESE CLUB,"20 2ND AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0715,BUDLONG MANOR - COMMUNITY ROOM,"100 ARTHUR ST, CRANSTON, RI 00000"
RI,,CRANSTON,0716,GEORGE J PETERS SCHOOL,"15 MAYBERRY ST, CRANSTON, RI 00000"
RI,,CRANSTON,0717,EDEN PARK SCHOOL - USE CHESTNUT ST ENTRANCE,"180 OAKLAND AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0718,HORTON SCHOOL,"1196 PARK AVE, CRANSTON, RI 00000"
RI,,CRANSTON,0719,WOODRIDGE ELEMENTARY SCHOOL,"401 BUDLONG RD, CRANSTON, RI 00000"
RI,,CRANSTON,0720,ST DAVID'S ON THE HILL CHURCH,"200 MESHANTICUT VALLEY PKWY, CRANSTON, RI 00000"
