state,county_name,precinct_name,polling_place_id,name,address
SC,ABBEVILLE,Abbeville No. 1,1383,Abbeville Civic Center," 404 N Main St, Abbeville, SC 29620"
SC,ABBEVILLE,Abbeville No. 2,1522,Abbeville Co. Courthouse," 102 Court Square, Abbeville, SC 29620"
SC,ABBEVILLE,Abbeville No. 3,989,Abbeville County Complex,"903 W Greenwood St, Abbeville, SC 29620"
SC,ABBEVILLE,Abbeville No. 4,1409,Abbeville Fire Department Headquarters,"17 Old Calhoun Falls Rd, Abbeville, SC 29620"
SC,ABBEVILLE,Antreville,1701,Antreville Fire Dept," 147 Hwy 184 W, Abbeville, SC 29620"
SC,ABBEVILLE,Broadmouth,1289,Turkey Creek Fire Dept," 6855 Hwy 252, Donalds, SC 29638"
SC,ABBEVILLE,Calhoun Falls,247,Cf Civic Center," 401 Washington St, Calhoun Falls, SC 29628"
SC,ABBEVILLE,Cold Springs,148,Cold Springs Fire Dept," 2106 Hwy 20, Abbeville, SC 29620"
SC,ABBEVILLE,Donalds,2102,Donalds Town Hall," 125 W Main St, Donalds, SC 29638"
SC,ABBEVILLE,Due West,1589,Due West Fire Department,"13 Church St, Due West, SC 29639"
SC,ABBEVILLE,Hall's Store,1610,Calvary Baptist Church," 5551 Hwy 252, Ware Shoals, SC 29692"
SC,ABBEVILLE,Keowee,973,Keowee Fire Dept," 4065 Keowee Rd, Honea Path, SC 29654"
SC,ABBEVILLE,Lowndesville,1263,Lownds. Community Center," 416 Main St, Lowndesville, SC 29659"
SC,ABBEVILLE,Lebanon,1443,Sharon Fire Dept," 167 Firehouse Rd, Abbeville, SC 29620"
SC,ABBEVILLE,Smithville,2643,Ebenezer United Methodist Church,"2470 Old Abbeville Hwy, Abbeville, SC 29620"
SC,ABBEVILLE,Barrier Free,969,Voter Registration Office,"903 W Greenwood St, Abbeville, SC 29620"
SC,AIKEN,Aiken No. 1,326,City Auditorium,"214 Park Ave SW, Aiken, SC 29801"
SC,AIKEN,Aiken No. 2,635,American Legion Post,"602 Hampton Ave NW, Aiken, SC 29801"
SC,AIKEN,Aiken No. 3,1928,Aiken High School," 123 Rutland Dr, Aiken, SC 29801"
SC,AIKEN,Aiken No. 4,878,Smith Hazel Rec Center,"400 Kershaw St NE, Aiken, SC 29801"
SC,AIKEN,Aiken No. 5,2552,St Mary's Smith Hall,"125 Park Ave SE, Aiken, SC 29801"
SC,AIKEN,Aiken No. 6,1122,Odell Weeks Ctr," 1700 Whiskey Rd, Aiken, SC 29803"
SC,AIKEN,Bath,2583,L B C Middle School,"29 Lions Trl, Warrenville, SC 29851"
SC,AIKEN,Beech Island,313,Beech Isl Fire Dept," 1565 Sand Bar Ferry Rd, Beech Island, SC 29842"
SC,AIKEN,Belvedere No. 9,255,Nancy Carson Library," 135 Edgefield Rd, North Augusta, SC 29841"
SC,AIKEN,Carolina Hts,1837,American Legion Post 232,"6070 Broadcast Dr, North Augusta, SC 29841"
SC,AIKEN,China Sprgs,2042,Center Fire Substation,"7 T And S Dr, Aiken, SC 29801"
SC,AIKEN,Clearwater,1558,Clearwater Elem Sch,"4552 Augusta Rd, Beech Island, SC 29842"
SC,AIKEN,College Acre,1916,Mercy,"2700 Whiskey Rd, Aiken, SC 29803"
SC,AIKEN,Eureka,232,Old Time Gospel Church,"1231 Luke Bridge Rd, Trenton, SC 29847"
SC,AIKEN,Gloverville,2086,First Baptist Church Gloverville,"2220 Augusta Rd, Gloverville, SC 29828"
SC,AIKEN,Graniteville,2653,Graniteville First Baptist Church,"76 Canal St, Graniteville, SC 29829"
SC,AIKEN,Jackson,1074,Jackson Town Hall," 106 Main St, Jackson, SC 29831"
SC,AIKEN,Langley,2585,Langley Community Center,"2724 Augusta Rd, Warrenville, SC 29851"
SC,AIKEN,Lynwood,2201,Burnettown Municipal Bldg,"3187 Augusta Rd, Warrenville, SC 29851"
SC,AIKEN,Millbrook,2551,Aiken Elementary School,"2050 Pine Log Rd, Aiken, SC 29803"
SC,AIKEN,Monetta,204,Monetta Community Center,"266 Academy St, Monetta, SC 29105"
SC,AIKEN,Montmorenci 22,587,Montmorenci First Bapt Ch," 44 Old Barnwell Rd, Aiken, SC 29803"
SC,AIKEN,New Ellenton,836,New Ellenton Community Center,"212 Pine Hill Ave, New Ellenton, SC 29809"
SC,AIKEN,New Holland,2705,New Holland Fire Department,"2243 Old 96 Indian Trail Rd, Batesburg, SC 29006"
SC,AIKEN,N Augusta No 25,1453,N A Community Center," 495 Brookside Ave, North Augusta, SC 29841"
SC,AIKEN,N Augusta No 26,1329,St Bartholomew's Epis Ch," 471 W Martintown Rd, North Augusta, SC 29841"
SC,AIKEN,N Augusta No 27,1072,N Augusta High School," 2000 Knobcone Ave, North Augusta, SC 29841"
SC,AIKEN,N Augusta No 28,2256,Hammond Hill Elem School," 901 W Woodlawn Ave, North Augusta, SC 29841"
SC,AIKEN,N Augusta No 29,103,First Baptist Church," 602 Georgia Ave, North Augusta, SC 29841"
SC,AIKEN,Oak Grove,529,Oak Grove Baptist Church,"1721 Old 96 Indian Trl, Batesburg, SC 29006"
SC,AIKEN,Perry,1326,Perry Town Hall,"1075 E Railroad Ave N, Perry, SC 29137"
SC,AIKEN,Salley,956,Old Crescent Voc School,"240 Pine St NW, Salley, SC 29137"
SC,AIKEN,Shaws Fork,397,Shaws Fork Baptist Church," 1085 Shaws Fork Rd, Aiken, SC 29805"
SC,AIKEN,Shiloh,1363,J D Lever Elementary,"2404 Columbia Hwy N, Aiken, SC 29805"
SC,AIKEN,Six Points No. 35,1142,USC A Convocation Center,"2049 Champion Way, Aiken, SC 29801"
SC,AIKEN,Tabernacle,739,Couchton Fire Subst No. 2,"4765 Wagener Rd, Wagener, SC 29164"
SC,AIKEN,Talatha,1850,New Ellen. Middle Sch,"814 S Main St, New Ellenton, SC 29809"
SC,AIKEN,Vaucluse,1769,1St   Bapt Ch Vaucluse,"2 Church St, Aiken, SC 29801"
SC,AIKEN,Wagener,2716,Christ Central Bldg- Temporary Location,"100 Railroad Ave E, Wagener, SC 29164"
SC,AIKEN,Ward,1088,Jerusalem Baptist Church," 4185 Columbia Hwy N., Ridge Spring, SC 29129"
SC,AIKEN,Warrenville,588,1St Bapt Ch Warrenville," 1012 Aiken Blvd, Warrenville, SC 29851"
SC,AIKEN,White Pond,2113,White Pond Community Ctr.," 321 White Pond Rd, Williston, SC 29853"
SC,AIKEN,Windsor,795,Oakwood-Windsor Elementary School,"3773 Charleston Hwy, Aiken, SC 29801"
SC,AIKEN,Belvedere No 44,433,Belv United Methodist Ch,"202 Rhomboid Pl, North Augusta, SC 29841"
SC,AIKEN,Misty Lakes,2126,Mims Grove Baptist Church," 843 Ridge Rd, North Augusta, SC 29860"
SC,AIKEN,Six Points No. 46,952,Ctr. of Innovative Learning@ Pinecrest," 1050 Pinecrest Ave, Aiken, SC 29801"
SC,AIKEN,Aiken No. 47,1122,Odell Weeks Ctr," 1700 Whiskey Rd, Aiken, SC 29803"
SC,AIKEN,Hammond,2549,New Beginning Ministries,"317 Williston Rd, Beech Island, SC 29842"
