state,jurisdiction_type,county_name,precinct_name,name,address,polling_place_type
SD,county,Aurora,#1 ,Stickney Community Building,,polling_place
SD,county,Aurora,#2 ,Stickney Community Building,,polling_place
SD,county,Aurora,#3 ,White Lake City Hall,,polling_place
SD,county,Aurora,#4 ,White Lake City Hall,,polling_place
SD,county,Aurora,#5 ,Aurora County Ag Building,,polling_place
SD,county,Aurora,#7 ,Plankinton Fire Hall,,polling_place
SD,county,Beadle,W1 ,Huron Arena,,polling_place
SD,county,Beadle,W2 ,Huron Arena,,polling_place
SD,county,Beadle,W3 ,Huron Arena,,polling_place
SD,county,Beadle,W7-1 ,Huron Arena,,polling_place
SD,county,Beadle,W7-2 ,Huron Arena,,polling_place
SD,county,Beadle,W8-1 ,Huron Arena,,polling_place
SD,county,Beadle,W8-2 ,Huron Arena,,polling_place
SD,county,Beadle,12 ,Wolsey Legion Hall,,polling_place
SD,county,Beadle,15 ,Byron Bible Camp,,polling_place
SD,county,Beadle,17 ,Cavour Fire Hall,,polling_place
SD,county,Bennett,Allen ,American Horse School,,polling_place
SD,county,Bennett,Martin City ,Martin Community Room,,polling_place
SD,county,Bennett,Tuthill ,Tuthill Fire Hall,,polling_place
SD,county,Bennett,Vetal ,Vetal Fire Hall,,polling_place
SD,county,Bennett,Martin Rural #26 ,Bennett County Courthouse,,polling_place
SD,county,Bennett,Martin Rural #27 ,Lacreek Electric Building,,polling_place
SD,county,Bon Homme,1 ,Scotland Fire Hall,,polling_place
SD,county,Bon Homme,2 ,Avon Fire Hall,,polling_place
SD,county,Bon Homme,3 ,Tyndall Community Center,,polling_place
SD,county,Bon Homme,4 ,Tabor Senior Citizens Center,,polling_place
SD,county,Bon Homme,5 ,Springfield Community Center,,polling_place
SD,county,Brookings,1-Tompkins Alumni Center ,Precinct 1-Tompkins Alumni Center,,polling_place
SD,county,Brookings,2-First Lutheran Church ,Precinct 2-First Lutheran Church,,polling_place
SD,county,Brookings,3-City Hall ,Precinct 3-City Hall,,polling_place
SD,county,Brookings,4-Ascension Lutheran Church ,Precinct 4-Ascension Lutheran Church,,polling_place
SD,county,Brookings,5-Bethel Baptist Church ,Precinct 5-Bethel Baptist Church,,polling_place
SD,county,Brookings,6-United Church of Christ ,Precinct 6-United Church of Christ,,polling_place
SD,county,Brookings,8-Medary Township ,Precinct 8-Faith Reformed Church,,polling_place
SD,county,Brookings,9-White Area ,Precinct 9-McKnight Hall,,polling_place
SD,county,Brookings,10-Bruce Area ,Precinct 10-Bruce City Hall,,polling_place
SD,county,Brookings,11-Aurora Area ,Precinct 11-Aurora Little Hall,,polling_place
SD,county,Brookings,12-Sinai Area ,Precinct 12-Sinai American Legion,,polling_place
SD,county,Brookings,13-Brookings Township ,Precinct 13-Brookings American Legion,,polling_place
SD,county,Brookings,14-Volga Area ,Precinct 14-Volga Community Center,,polling_place
SD,county,Brookings,15-Laketon & Winsor Twps. ,Precinct 15-Trinity Lutheran Church,,polling_place
SD,county,Brookings,16-Elkton Area ,Precinct 16-Elkton Community Center,,polling_place
SD,county,Brown,Washington St. Gym #1 ,Washington St. Gym ,,polling_place
SD,county,Brown,Washington St. Gym #2 ,Washington St. Gym ,,polling_place
SD,county,Brown,Primrose Gym #3 ,Primrose Gym ,,polling_place
SD,county,Brown,Courthouse Community Rm #4 ,Courthouse Community Room ,,polling_place
SD,county,Brown,Alexander Mitchell Library ,Alexander Mitchell Library,,polling_place
SD,county,Brown,Senior Citizens Ctr ,Senior Citizens Center,,polling_place
SD,county,Brown,Super City Plaza #7 ,Super City Plaza ,,polling_place
SD,county,Brown,Courthouse Community Rm #8 ,Courthouse Community Room ,,polling_place
SD,county,Brown,Hub Area Vocational Ctr ,Hub Area Vocational School ,,polling_place
SD,county,Brown,School/Blind & Visually Imp #10 ,School for Blind & Visually Impaired,,polling_place
SD,county,Brown,Super City Plaza #11 ,Super City Plaza ,,polling_place
SD,county,Brown,Northern Electric Coop ,Northern Electric Cooperative ,,polling_place
SD,county,Brown,Columbia American Legion ,Columbia American Legion ,,polling_place
SD,county,Brown,Westport Town Hall ,Westport Community Center,,polling_place
SD,county,Brown,Primrose Gym #15 ,Primrose Gym ,,polling_place
SD,county,Brown,School/Blind & Visually Imp #16 ,School for Blind & Visually Impaired,,polling_place
SD,county,Brown,Warner Community Center ,Warner Community Center,,polling_place
SD,county,Brown,Stratford Community Center ,Stratford Communty Center,,polling_place
SD,county,Brown,Groton Community Center ,Groton Community Center,,polling_place
SD,county,Brown,Claremont Fire Station ,Claremont Fire Station,,polling_place
SD,county,Brown,Hecla Community Center ,Hecla Community Center,,polling_place
SD,county,Brown,Frederick Community Center ,Frederick Community Center,,polling_place
SD,county,Brule,#1 Chamberlain ,Brule County Courthouse,,polling_place
SD,county,Brule,#2 Kimball ,Kimball Legion Hall,,polling_place
SD,county,Brule,#3 Pukwana ,Brule County Ag Building,,polling_place
SD,county,Brule,#4 Academy ,Academy Fire Hall,,polling_place
SD,county,Brule,#5 Ola ,Ola Church,,polling_place
SD,county,Buffalo,Elvira ,Elm Creek Election Bldg.,,polling_place
SD,county,Buffalo,Pershing ,Crow Creek Housing Dist Recr. Bldg.,,polling_place
SD,county,Buffalo,Victory ,St. Joseph Catholic Hall,,polling_place
SD,county,Butte,Ward 1 Precinct 21 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Ward 1 Precinct 22 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Ward 2 Precinct 23 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Ward 2 Precinct 24 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Ward 3 Precinct 25 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Ward 3 Precinct 26 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Ward 4 Precinct 27 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Ward 4 Precinct 28 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Castle Rock Precinct 06 ,Castle Rock - Moreau River Hall,,polling_place
SD,county,Butte,"Union Precinct 08 (Including: Horsecreek Precinct 13, Newell Independent Precinct 14) ",Newell Community Hall,,polling_place
SD,county,Butte,Romans Precinct 11 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Orman Precinct 12 ,American Legion Hall,,polling_place
SD,county,Butte,Minnesela Precinct 16 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Fruitdale Precinct 17 ,Belle Fourche Community Hall,,polling_place
SD,county,Butte,Nisland Precinct 18 ,American Legion Hall,,polling_place
SD,county,Butte,Newell City Precinct 20 ,Newell Community Hall,,polling_place
SD,county,Campbell,#1 ,Herreid Senior Citizens Center,,polling_place
SD,county,Campbell,#2 ,Pollock Visitors Center,,polling_place
