state,county_name,municipality,name,address,polling_place_type
SD,Aurora,Plankinton,Aurora County Ag Building,"1302 E 1st St, Plankinton",polling_place
SD,Aurora,Plankinton,Plankinton Fire Hall,"304 N Main St, Plankinton",polling_place
SD,Aurora,Stickney,Stickney Community Building,"400 Main St, Stickney",polling_place
SD,Aurora,White Lake,White Lake City Hall,"111 Main St, White Lake",polling_place
SD,Beadle,Huron,Byron Bible Camp,"40546 S Shore Road, Huron",polling_place
SD,Beadle,Cavour,Cavour Fire Hall,"250 Victor St, Cavour",polling_place
SD,Beadle,Huron,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Wolsey,Wolsey Community Center,"305 Commercial Ave SW, Wolsey",polling_place
SD,Bennett,Allen,American Horse School,"28451 Allen Rd, Allen",polling_place
SD,Bennett,Martin,Lacreek Electric Building,"121 N. Harold St, Martin",polling_place
SD,Bennett,Martin,Martin Community Room,"101 First Ave, Martin",polling_place
SD,Bennett,Vetal,Vetal Fire Hall,"23688 US Hwy 18, Vetal",polling_place
SD,Bon Homme,Avon,Avon Fire Hall,"E 1st Avenue, Avon",polling_place
SD,Bon Homme,Scotland,Scotland City Meeting Room,"530 Juniper Street, Scotland",polling_place
SD,Bon Homme,Springfield,Springfield Community Center,"807 8th Street, Springfield",polling_place
SD,Bon Homme,Tabor,Tabor Senior Citizens Center,"138 N Lidice St, Tabor",polling_place
SD,Bon Homme,Tyndall,Tyndall Community Center,"1609 Laurel St, Tyndall",polling_place
SD,Brookings,Brookings,1-1 Brookings Activity Center,"320 5th Ave., Brookings",vote_center
SD,Brookings,Volga,1-10 Volga Community Center,"109 Samara Ave., Volga",vote_center
SD,Brookings,Brookings,1-11 Holy Life Tabernacle,"241 Mustang Pass, Brookings",vote_center
SD,Brookings,Brookings,1-2 Bethel Baptist Church,"714 17th Ave. S., Brookings",vote_center
SD,Brookings,Brookings,1-3 Swiftel Center,"824 32nd Ave, Brookings",vote_center
SD,Brookings,Aurora,1-4 Aurora Little Hall,"Nicollett St., Aurora",vote_center
SD,Brookings,Elkton,1-5 Elkton Community Center,"109 Elk St. S., Elkton",vote_center
SD,Brookings,White,1-6 McKnight Hall,"228 W. Main St., White",vote_center
SD,Brookings,Bruce,1-7 Bruce City Hall,"507 Jay St., Bruce",vote_center
SD,Brookings,Arlington,1-8 Trinity Lutheran Church,"321 S. Main, Arlington",vote_center
SD,Brookings,Sinai,1-9 Sinai American Legion,"Main Ave., Sinai",vote_center
SD,Brown,Aberdeen,AmericInn Event Center,"301 Centennial Street, Aberdeen",vote_center
SD,Brown,Aberdeen,Best Western Ramkota Hotel and Convention Center,"1400 8th Ave NW, Aberdeen",vote_center
SD,Brown,Claremont,Claremont Fire Station,"505 6th St., Claremont",vote_center
SD,Brown,Columbia,Columbia American Legion,"102 N Broadway, Columbia",vote_center
SD,Brown,Aberdeen,Courthouse Community Room,"25 Market St., Aberdeen",vote_center
SD,Brown,Frederick,Frederick Community Center,"2nd Ave., Frederick",vote_center
SD,Brown,Groton,Groton Community Center,"109 N 3rd St, Groton",vote_center
SD,Brown,Hecla,Hecla Community Center,"206 Main St., Hecla",vote_center
SD,Brown,Stratford,Stratford Communty Center,"293 E Rondell Ave., Stratford",vote_center
SD,Brown,Warner,Warner Community Center,"Main St., Warner",vote_center
SD,Brown,Westport,Westport Community Center,"13 W Main St., Westport",vote_center
SD,Brule,Platte,Academy Fire Hall,"26886 SD Hwy 50, Platte",polling_place
SD,Brule,Pukwana,Brule County Ag Building,"200 County Rd 122, Pukwana",polling_place
SD,Brule,Chamberlain,Brule County Courthouse,"300 S Courtland, Chamberlain",polling_place
SD,Brule,Kimball,Kimball Legion Hall,"Main Street, Kimball",polling_place
SD,Brule,Chamberlain,Ola Church,"26096 349 Ave, Chamberlain",polling_place
SD,Buffalo,CCST Reservation,Crow Creek Housing Dist Recr. Bldg.,"210 A Avenue, CCST Reservation",polling_place
SD,Buffalo,Gann Valley,Elm Creek Election Bldg.,"35190 SD HWY 34, Gann Valley",polling_place
SD,Buffalo,Fort Thompson,St. Joseph Catholic Hall,"817 HWY 47, Fort Thompson",polling_place
SD,Butte,Nisland,American Legion Hall,"505 2nd Street, Nisland",polling_place
SD,Butte,Belle Fourche,Belle Fourche Community Hall,"508 6th Avenue, Belle Fourche",polling_place
SD,Butte,Newell,Castle Rock - Moreau River Hall,"16108 Old Hwy 79, Newell",polling_place
SD,Butte,Newell,Newell Community Hall,"108 3rd Street, Newell",polling_place
SD,Campbell,Mound City,Campbell County Courthouse/Court Room,"111 2nd St NE, Mound City",polling_place
SD,Campbell,Herreid,Herreid Senior Citizens Center,"202 Main St N, Herreid",polling_place
SD,Campbell,Pollock,Pollock Visitors Center,"119 Main St, Pollock",polling_place
SD,Charles Mix,Academy,Academy Fire Hall,"SD Hwy 44, Academy",polling_place
SD,Charles Mix,Dante,Dante Church,"103 Church Dr, Dante",polling_place
SD,Charles Mix,Marty,Ihanktonwan Community College,"200 S Main, Marty",polling_place
SD,Charles Mix,Lake Andes,Lake Andes 4-H Center,"100 School St, Lake Andes",polling_place
SD,Charles Mix,Geddes,Multi Purpose Center,"409 Michigan Ave, Geddes",polling_place
SD,Charles Mix,Pickstown,Pickstown Rainbow Room,"310 White Swan Dr, Pickstown",polling_place
SD,Charles Mix,Platte,Platte Community Bldg,"310 S Main St, Platte",polling_place
SD,Charles Mix,Ravinia,Ravinia Fire Hall,"Main St, Ravinia",polling_place
SD,Charles Mix,Wagner,Wagner Armory,"610 E SD Hwy 46, Wagner",polling_place
SD,Clark,Bradley,Bradley Community Center,"Main Street, Bradley",polling_place
SD,Clark,Carpenter,Carpenter Community Center,"524 415th Ave, Carpenter",polling_place
SD,Clark,Clark,Clark County Courthouse,"200 N. Commercial, Clark",polling_place
SD,Clark,Clark,Clark Senior Citizens - Ullyot Bldg,"100 N. Commercial, Clark",polling_place
SD,Clark,Garden City,Prairie Ridge Lodge,"110 1st St NE, Garden City",polling_place
SD,Clark,Raymond,Raymond Fire Hall,"201 Flower Street, Raymond",polling_place
SD,Clark,Vienna,Vienna Town Hall,"228 Main Street, Vienna",polling_place
SD,Clark,Willow Lake,Willow Lake Community Center,"213 Garfield Ave, Willow Lake",polling_place
SD,Clark,Willow Lake,Willow Lake Grace Lutheran Church,"610 3rd Street, Willow Lake",polling_place
SD,Clay,Vermillion,National Guard Armory,"603 Princeton St, Vermillion",polling_place
SD,Clay,Beresford,SESD Experimental Farm,"29974 University Rd, Beresford",polling_place
SD,Clay,Vermillion,Vermillion 4-H Center,"515 High St, Vermillion",polling_place
SD,Clay,Wakonda,Wakonda Senior Center,"119 Ohio St, Wakonda",polling_place
SD,Codington,Watertown,County Extension Complex,"1910 W Kemp Ave, Watertown",polling_place
SD,Codington,Watertown,Days Inn of Watertown,"2900 9 Ave SE, Watertown",polling_place
SD,Codington,Florence,Florence Community Center,"Main Street, Florence",polling_place
SD,Codington,Henry,Henry Town Hall,"Main Street, Henry",polling_place
SD,Codington,Kranzburg,Holy Rosary School Auditorium,"Minnesota Ave, Kranzburg",polling_place
SD,Codington,Watertown,Lincoln School,"1100 13 St NE, Watertown",polling_place
SD,Codington,South Shore,South Shore Community Center,"Main Street, South Shore",polling_place
SD,Codington,Wallace,Wallace Community Center,"Main Street, Wallace",polling_place
SD,Codington,Waverly,Waverly Community Center,"217 Central Ave, Waverly",polling_place
SD,Corson,Bullhead,Bullhead Community Center,"Bullhead Community Center, Bullhead",polling_place
SD,Corson,McIntosh,Corson County Courthouse,"108 First Street East, McIntosh",polling_place
SD,Corson,Timber Lake,Gary Pederson Residence,"BIA Road #4, Timber Lake",polling_place
SD,Corson,Keldron,Grand River Fire Hall,"21152 114th St, Keldron",polling_place
SD,Corson,Kenel,Kenel Community Hall,"Kenel Community Hall, Kenel",polling_place
SD,Corson,Little Eagle,Little Eagle District Office,"Little Eagle District Office, Little Eagle",polling_place
SD,Corson,McLaughlin,McLaughlin City Auditorium,"Main Street, McLaughlin",polling_place
SD,Corson,Morristown,Morristown Fire Hall,"100 2nd St E, Morristown",polling_place
SD,Corson,Trail City,Trail City Community Hall,"Hwy 20, Trail City",polling_place
SD,Corson,Wakpala,Wakpala Community Center,"Wakpala Community Center, Wakpala",polling_place
SD,Custer,Buffalo Gap,Buffalo Gap Community Center,"209 Main St, Buffalo Gap",polling_place
SD,Custer,Custer,Custer County Courthouse Annex,"447 Crook St, Custer",polling_place
SD,Custer,Custer,Custer County Highway Dept Bldg,"25365 US Hwy 385, Custer",polling_place
SD,Custer,Rural,Elk Mountain School,"10222 Valley Rd, Rural",polling_place
SD,Custer,Fairburn,Fairburn Community & Historical Center,"710 2nd St, Fairburn",polling_place
SD,Custer,Hermosa,Hermosa United Church of Christ,"102 2nd St N, Hermosa",polling_place
SD,Custer,Pringle,Pringle Fire Auxillary Hall,"436 Railway, Pringle",polling_place
SD,Davison,Mitchell,Corn Palace,"601 N Main St, Mitchell",polling_place
SD,Davison,Mitchell,Davison County Fairgrounds,"3200 W Havens, Mitchell",polling_place
SD,Davison,Ethan,Ethan Town Hall,"201 West Main, Ethan",polling_place
SD,Davison,Mitchell,MCTEA Building,"821 N. Capital, Mitchell",polling_place
SD,Davison,Mt. Vernon,Mt. Vernon Senior Citizens Center,,polling_place
SD,Day,Bristol,Bristol Community Center,"86 S Main St, Bristol",polling_place
SD,Day,Webster,Day County Courthouse Rm#101,"711 W. 1st St, Webster",polling_place
SD,Day,Webster,Day County Courthouse Rm#104,"711 W. 1st St, Webster",polling_place
SD,Day,Webster,Day County Courthouse Rm#205,"711 W. 1st St, Webster",polling_place
SD,Day,Pierpont,Pierpont Community Center,"101 W Main St, Pierpont",polling_place
