state,county_name,municipality,precinct_name,name,address,polling_place_type
SD,Aurora,Stickney,Precinct-1,Stickney Community Building,"400 Main St, Stickney",polling_place
SD,Aurora,Stickney,Precinct-2,Stickney Community Building,"400 Main St, Stickney",polling_place
SD,Aurora,White Lake,Precinct-3,White Lake City Hall,"111 Main St, White Lake",polling_place
SD,Aurora,Plankinton,Precinct-5,Aurora County Ag Building,"1302 E 1st St, Plankinton",polling_place
SD,Aurora,Plankinton,Precinct-7,Plankinton Fire Hall,"304 N Main St, Plankinton",polling_place
SD,Beadle,Huron,Precinct 1,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Huron,Precinct 2,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Huron,Precinct 3,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Huron,Precinct 7-1,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Huron,Precinct 7-2,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Huron,Precinct 8-1,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Huron,Precinct 8-2,Huron Arena,"150 5th St SW, Huron",polling_place
SD,Beadle,Wolsey,Precinct-12,Wolsey Community Center,"305 Commercial Ave SW, Wolsey",polling_place
SD,Beadle,Huron,Precinct-15,Byron Bible Camp,"40546 S Shore Road, Huron",polling_place
SD,Beadle,Cavour,Precinct-17,Cavour Town Hall,"412 Albert St, Cavour",polling_place
SD,Bennett,Allen,Allen Precinct,American Horse School,"28451 Allen Rd, Allen",polling_place
SD,Bennett,Martin,Martin City Precinct,Martin Community Room,"101 First Ave, Martin",polling_place
SD,Bennett,Martin,Martin Rural 26/27 Precinct,Lacreek Electric Building,"121 N. Harold St, Martin",polling_place
SD,Bennett,Vetal,Vetal/Tuthill Precinct,Vetal Fire Hall,"23688 US Hwy 18, Vetal",polling_place
SD,Bon Homme,Scotland,Precinct-1,Scotland City Meeting Room,"530 Juniper Street, Scotland",polling_place
SD,Bon Homme,Avon,Precinct-2,Avon Fire Hall,"E 1st Avenue, Avon",polling_place
SD,Bon Homme,Tyndall,Precinct-3,Tyndall Community Center,"1609 Laurel St, Tyndall",polling_place
SD,Bon Homme,Tabor,Precinct-4,Tabor Senior Citizens Center,"138 N Lidice St, Tabor",polling_place
