election_date,state,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
2018-11-06,TX,Anderson,county,1,,PALESTINE HIGH SCHOOL 2 FIRST BAPTIST CHURCH,"1600 S LOOP 256 PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,2,,FIRST BAPTIST CHURCH,"309 PARKER ELKHART, TX 75839"
2018-11-06,TX,Anderson,county,3,,SWANSON HILL COMM.,"3258 E FM 323 PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,4,,SLOCUM HIGH SCHOOL,"5765 E ST HWY 294 ELKHART, TX 75839"
2018-11-06,TX,Anderson,county,5,,DENSON SPRINGS COMM.,"11269 E ST HWY 294 ELKHART, TX 75839"
2018-11-06,TX,Anderson,county,6,,NEW FELLOWSHIP CHRISTIAN CHURCH,"1500 W REAGAN PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,7,,WASHINGTON EARLY CHILDHOOD,"1020 W HAMLETT ST PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,8,,ANTIOCH BAPTIST CHURCH,"907 E MURCHISON PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,9,,TUCKER COMM. CENTER,"10621 US HWY 79 PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,10,,HARMONY BAPTIST CHURCH,"8848 FM 645 PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,11-12,,TENN COLONY COMM CENTER,"6900 W FM 321, TENN COLONY"
2018-11-06,TX,Anderson,county,13-14,,PISD ADMIN. BUILDING,"1007 E PARK PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,15,,ANTIOCH BAPTIST CHURCH,"139 ANDERSON CR 389 PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,16,,1ST BAPTIST CHURCH-NECHES,"200 ANDERSON ST NECHES, TX 75779"
2018-11-06,TX,Anderson,county,17,,DAV POST,"917 GARDNER DR PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,18,,FRANKSTON COURHSE. ANNEX,"320 S COMMERCE FRANKSTON, TX 75763"
2018-11-06,TX,Anderson,county,23,,PISGAH BAPTIST CHURCH,"11401 E FM 837 PALESTINE, TX 75803"
2018-11-06,TX,Anderson,county,19,,WESTWOOD JR. HIGH,"1801 Panther Blvd. PALESTINE, TX 75803"
2018-11-06,TX,Anderson,county,20,,FREEDOM ELLOWSHIP CHURCH,125 KICKAPOO
2018-11-06,TX,Anderson,county,21,,LONE PINE CHURCH ED. BLD.,"299 N US HWY 287 PALESTINE, TX 75801"
2018-11-06,TX,Anderson,county,22,,MONTALBA COMM. CENTER,"9590 N ST Hwy 19. MONTALBA, TX 75853"
2018-11-06,TX,Anderson,county,24,,CAYUGA HIGH SCHOOL,"17750 N US HWY 287 CAYUGA, TX 75832"
2018-11-06,TX,Andrews,county,,,James Roberts Center,"855 TX 176 Andrews, TX 79714"
2018-11-06,TX,Angelina,county,1,,LifeGate Church GT,"2511 E Lufkin Ave, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,2,,Emanuel Assembly of God,"1818 N Timberland Dr, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,3,,Lufkin Restoration Center,"5574 E Hwy 103, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,4,,Redland School,"1121 Winston 8 Ranch Rd, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,"5,36",,Chambers Park Community Center,"500 Pershing Ave, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,"6,29",,O’Quinn Baptist Church,"7433 US Hwy 69 North, Pollok, TX 75969"
2018-11-06,TX,Angelina,county,"7,8",,Cross Road Baptist Church,"5714 Old Union Rd, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,"9,13,14",,St Paul’s Methodist Church,"1505 S John Redditt Dr, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,10,,Denman Avenue Baptist Church,"1807 E Denman Ave, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,"11,11B",,Huntington Civic Center,"1179 Hwy 69 North, Huntington, TX 75949"
2018-11-06,TX,Angelina,county,"12,37",,Fuller Springs Baptist Church,"5003 Fuller Springs Dr, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,"15,38",,Burke Community Center,"3770 Tidwell Rd, Diboll, TX 75941"
2018-11-06,TX,Angelina,county,"16,31",,Diboll City Hall,"400 Kenley Dr, Diboll, TX 75941"
2018-11-06,TX,Angelina,county,"17,17B,32",,Zavalla City Hall,"838 E. Main St, Zavalla, TX 75980"
2018-11-06,TX,Angelina,county,"18,34",,Angelina College,"3500 S First St, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,"19,39",,Church of Jesus Christ of Latter Day Saints,"606 Bending Oak, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,20,,Greater Shiloh Baptist Church,"1519 Williams St, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,21,,Lufkin Shrine Club,"3906 US Hwy 69 North, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,22,,Pollok Baptist Church,"1053 Paul Townsend Rd, Pollok, TX 75969"
2018-11-06,TX,Angelina,county,"23,24",,Bethel Assembly of God,"3863 Ted Trout Dr, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,25,,Woodlawn Baptist Church,"4172 Hwy 103 West, Lufkin, TX 75904"
2018-11-06,TX,Angelina,county,26,,Bald Hill Baptist Church,"128 Leon Tillman Rd, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,"27,28",,Fairview Baptist Church,"3742 FM 2108 FM 58, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,30,,First Ora Missionary Baptist Church,"110 Faye Jones Rd. Huntington, TX 75949"
2018-11-06,TX,Angelina,county,33,,Salem Baptist Church,"965 Ralph Nerren Rd, Huntington, TX 75949"
2018-11-06,TX,Angelina,county,35,,Harmony Hill Baptist Church,"2708 S Chestnut Dr, Lufkin, TX 75901"
2018-11-06,TX,Angelina,county,40,,Southside Baptist Church,"1615 Tulane Dr, Lufkin, TX 75901"
2018-11-06,TX,Aransas,county,,,Rockport G.I. Forum,"1911 Hardee Street Rockport, TX"
2018-11-06,TX,Aransas,county,,,Rockport VFW Hall,"411 E. Market Street Rockport, TX"
2018-11-06,TX,Aransas,county,,,Fulton VFD,"401 N 9th Street Fulton, TX"
2018-11-06,TX,Archer,county,,,Archer County Activity Building,"512 West Cottonwood Street Archer City, TX 76351"
2018-11-06,TX,Archer,county,,,Holliday Community Center,"201 North Walnut Street Holliday, TX 76366"
2018-11-06,TX,Archer,county,,,Lakeside City Baptist Church Fellowship Hall,"3384 State Hwy 79 South Wichita Falls, TX 76310"
2018-11-06,TX,Archer,county,,,Scotland — Knights of Columbus Hall,"12538 US Hwy 281 Scotland, TX 76379"
2018-11-06,TX,Archer,county,,,Windthorst — Knights of Columbus Hall,"19119 US Hwy 281 Windthorst, TX 76389"
2018-11-06,TX,Archer,county,,,Megargel City Hall,"902 Cedar Street Megargel, TX 76370"
2018-11-06,TX,Armstrong,county,"101,201,202,301,404",,Courthouse,"100 Trice Claude, Texas 79019"
2018-11-06,TX,Armstrong,county,"402,403",,Washburn Community & Volunteer Fire Department Community Center,"201 Duncan Ave. Claude, TX 79019"
2018-11-06,TX,Armstrong,county,303,,,"3407 County Rd. 5 PO Box 131 Wayside, TX 79094"
2018-11-06,TX,Atascosa,county,1,,EVERGREEN UNDERGROUND WATER CONSERVATION DIST. OFFICE OLD ROCK SCHOOL GROUNDS,"110 WYOMING BLVD PLEASANTON, TEXAS 78064"
2018-11-06,TX,Atascosa,county,2,,OLD ROCK SCHOOL GROUNDS,"1036 OLD ROCK RD. SOMERSET, TEXAS 78069"
2018-11-06,TX,Atascosa,county,3,,PLEASANTON CHURCH OF CHRIST,"1003 N. MAIN PLEASANTON, TX 78064"
2018-11-06,TX,Atascosa,county,4,,CAMPBELLTON COMMUNITY CENTER,"305 ST. FRANCIS AVE CAMPBELLTON, TEXAS 78008"
2018-11-06,TX,Atascosa,county,5,,COMMUNITY CHRISTIAN CHURCH,"12487 N. STATE HWY 16 POTEET, TEXAS 78065"
2018-11-06,TX,Atascosa,county,6,,JOURDANTON COMMUNITY CENTER,"1101 CAMPBELL AVE JOURDANTON, TEXAS 78026"
2018-11-06,TX,Atascosa,county,7,,LEMING SCHOOL,"25 E 5T ST. LEMING, TEXAS 78050"
2018-11-06,TX,Atascosa,county,8,,POTEET VFW BUILDING,"9655 N STATE HWY16 POTEET, TEXAS 78065"
2018-11-06,TX,Atascosa,county,9,,VERDI COMMUNITY BUILDING,"40 FAIRVIEW RD. PLEASANTON, TEXAS 78065"
2018-11-06,TX,Atascosa,county,10,,ROSSVILLE HISTORICAL COMMUNITY BUILDING,"515 FM 2504 POTEET, TEXAS 78065"
2018-11-06,TX,Atascosa,county,11,,CAMPBELLTON COMMUNITY CENTER,"305 ST. FRANCIS AVE CAMPBELLTON, TEXAS 78008"
2018-11-06,TX,Atascosa,county,12,,HORACE FINCHER CENTER,"19031 PRIEST BLVD. LYTLE, TX 78052"
2018-11-06,TX,Atascosa,county,13,,IGLESIA BAUTISTA EL CALVARIO,"811 OAK ST JOURDANTON, TEXAS 78026"
2018-11-06,TX,Atascosa,county,14,,CHRISTINE FIRST BAPTIST CHURCH,"103 AVE I CHRISTINE, TEXAS 78012"
2018-11-06,TX,Atascosa,county,15,,PLEASANTON CIVIC CENTER,"115 N. MAIN ST PLEASANTON, TEXAS 78064"
2018-11-06,TX,Atascosa,county,16,,POTEET JR HIGH,"1020 FM 1470 POTEET, TEXAS 78065"
2018-11-06,TX,Atascosa,county,17,,ST. PHILLIPS CATHOLIC CHURCH HALL,"274 AVE. H POTEET, TEXAS 78065"
2018-11-06,TX,Atascosa,county,18,,CHARLOTTE FIRST BAPTIST CHURCH HALL,"173 S. YULE AVE CHARLOTTE, TEXAS 78011"
2018-11-06,TX,Atascosa,county,19,,JOURDANTON COMMUNITY CENTER,"1101 CAMPBELL AVE. JOURDANTON, TEXAS 78026"
2018-11-06,TX,Atascosa,county,20,,TRINITY BAPTIST CHURCH,"1219 N. BRYANT PLEASANTON, TEXAS 78064"
2018-11-06,TX,Atascosa,county,21,,MCCOY WATER SUPPLY OFFICE,"2125 FM 541 MCCOY, TEXAS 78113"
2018-11-06,TX,Atascosa,county,22,,VERDI COMMUNITY BUILDING,"40 FAIRVIEW RD PLEASANTON, TEXAS 78064"
2018-11-06,TX,Atascosa,county,23,,ESSEX PROPERTIES,"16335 N. HWY 16 POTEET, TX 78065"
2018-11-06,TX,Atascosa,county,24,,JUSTICE OF THE PEACE PCT. #2,"1567 FM 3175 LYTLE, TEXAS 78052"
2018-11-06,TX,Austin,county,101,,ST PETER & PAUL CATHOLIC CHURCH (Fuchs Hall)),936 S Front St Bellville TX 77418
2018-11-06,TX,Austin,county,102,,BELLVILLE AMERICAN LEGION POST 115,988 East Main Street (FM 529) Bellville TX 77418
2018-11-06,TX,Austin,county,103,,ST JOHN LUTHERAN RETREAT CENTER,4740 Hwy 36 N Bellville TX 77418
2018-11-06,TX,Austin,county,104,,CHRISTIAN CITY FELLOWSHIP,5243 TX 36 Sealy TX 77474
2018-11-06,TX,Austin,county,205,,SENS ACTIVITY CENTER,200 Briar Ridge Dr Bellville TX 77418
2018-11-06,TX,Austin,county,206,,KENNEY AGRICULTURAL SOCIETY HALL,444 Kenney Hall Rd Kenney TX 77452
2018-11-06,TX,Austin,county,"207,208",,BLEIBLERVILLE VFD,3342 FM 2502 Bleiblerville TX 78931
2018-11-06,TX,Austin,county,"209,211",,NEW ULM LIONS COMMUNITY BLDG.,1722 FM 109 New Ulm TX 78950
2018-11-06,TX,Austin,county,210,,INDUSTRY CITY BUILDING,725 Main St Industry TX 78944
2018-11-06,TX,Austin,county,312,,ST JOHN LUTHERAN CHURCH,480 Ross St Cat Spring TX 78933
2018-11-06,TX,Austin,county,313,,CHURCH OF CHRIST OF SEALY,201 6th St Sealy TX 77474
2018-11-06,TX,Austin,county,314,,W E HILL COMMUNITY CENTER,1000 Main St Sealy TX 77474
2018-11-06,TX,Austin,county,415,,WALLIS KC HALL,703 Columbus Rd Wallis TX 77485
2018-11-06,TX,Austin,county,416,,SEALY AMERICAN LEGION POST 442 (KITCHEN),1630 Meyer St Sealy TX 77474
2018-11-06,TX,Austin,county,417,,SAN FELIPE FIRE STATION (MEETING ROOM),15023 FM 1458 N San Felipe TX 77473
2018-11-06,TX,Austin,county,418,,FRYDEK CONFRATERNITY CHRISTIAN DOCTRINE BUILDING,10471 GROTTO RD SEALY TX 77474
2018-11-06,TX,Bailey,county,,,Bailey County Coliseum,"2206 W American Blvd. Muleshoe, TX 79347"
2018-11-06,TX,Bandera,county,101,,BANDERA HIGH SCHOOL,474 OLD SAN ANTONIO HWY. BANDERA TX 78003
2018-11-06,TX,Bandera,county,102,,PIPE CREEK VOLUNTEER FIRE DEPT.,1331 FM 1283 PIPE CREEK TX 78063
2018-11-06,TX,Bandera,county,203,,LAKEHILLS AREA LIBRARY,"7200 F.M. 1283 LAKEHILLS, TX 78063"
2018-11-06,TX,Bandera,county,204,,LAKEHILLS CIVIC CENTER,11225 PARK RD 37 LAKEHILLS TX 78063
2018-11-06,TX,Bandera,county,305,,RAY MAUER ANNEX,403 12TH STREET BANDERA TX 78003
2018-11-06,TX,Bandera,county,306,,MEDINA ANNEX,161 E. PARKER STREET MEDINA TX 78055
2018-11-06,TX,Bandera,county,407,,BANDERA ISD TRANS. BUS BARN,1576 HWY 173 S. BANDERA TX 78003
2018-11-06,TX,Bandera,county,408,,TARPLEY COMMUNITY CENTER,232 VALENTINE LANE TARPLEY TX 78883
2018-11-06,TX,Bandera,county,409,,LAKESHORE VOLUNTEER FIRE DEPT.,9019 WHARTON DOCK RD BANDERA TX 78003
2018-11-06,TX,Bandera,county,410,,VANDERPOOL VOL. FIRE DEPT.,"32647 FM 187 VANDERPOOL, TX 78885"
2018-11-06,TX,Baylor,county,1:,,BAYLOR COUNTY PUBLIC LIBRARY,"101 S WASHINGTON ST SEYMOUR, TX 76380"
2018-11-06,TX,Baylor,county,2:,,"BAYLOR COUNTY, COUNTY ATTORNEY'S OFFICE","101 S WASHINGTON ST SEYMOUR, TX 76380"
2018-11-06,TX,Baylor,county,3:,,BAYLOR COUNTY COURTROOM,"101 S WASHINGTON ST SEYMOUR, TX 76380"
2018-11-06,TX,Baylor,county,4,,BAYLOR COUNTY TAX ASSESSORS OFFICE,"101 S WASHINGTON ST SEYMOUR, TX 76380"
2018-11-06,TX,Bee,county,1,,Community Affairs,"210 E. Corpus Christi St. Beeville, TX 78102"
2018-11-06,TX,Bee,county,"2,11",,Mineral Baptist,"4145 FM 673 Mineral, TX 78125"
2018-11-06,TX,Bee,county,3,,Doctor's Building,"301 S Hillside Dr. Beeville, TX 78102"
2018-11-06,TX,Bee,county,"4,6,14",,Immacculate Conception Catholic Church,"600 N 1st St. Skidmore, TX 78389"
2018-11-06,TX,Bee,county,"5,8,12",,Pettus Community Center,"708 E FM 623 Pettus, TX 78146"
2018-11-06,TX,Bee,county,"9,10",,St. James Catholic Church,"605 Alta Vista Beeville, TX 78102"
2018-11-06,TX,Bee,county,13,,Bee County Expo,"214 FM 351 S Beeville, TX 78102"
2018-11-06,TX,Bee,county,16,,Faith Lutheran Church,"1500 E FM 351 Beeville, TX 78102"
2018-11-06,TX,Bee,county,18,,Newman Catholic Student Center,"3905 Charco Rd Beeville, TX 78102"
2018-11-06,TX,Bee,county,"17,19",,Police Training Center,"608 W Milam Beeville, TX 78102"
2018-11-06,TX,Bell,county,101,,Belton Nazarene Church,"1701 Sparta Road, Belton, Texas 76513"
2018-11-06,TX,Bell,county,102,,Bell County North Annex,"1605 N. Main Street, Belton, Texas 76513"
2018-11-06,TX,Bell,county,103,,Belton Senior Center,"842 S. Mitchell, Belton, Texas 76513"
2018-11-06,TX,Bell,county,104,,Morgan's Point Fire Dept.,"7 Lake Forest Dr., Morgan's Point Resort, Texas 76513"
2018-11-06,TX,Bell,county,105,,Bliss Community Center,"109 South Evans LR/A, 76554"
2018-11-06,TX,Bell,county,106,,Fire Station #1,"3800 Westcliff Rd., Killeen, Texas 76543"
2018-11-06,TX,Bell,county,107,,Bartlett Town Hall,"140 West Clark Street, Bartlett, Texas 76511"
2018-11-06,TX,Bell,county,108,,Kuhlman Civic Center,"100 West Travis Street, Holland, Texas 76534"
2018-11-06,TX,Bell,county,109,,St. Joseph Parish Hall,"2903 E Rancier Ave, Killeen, Texas 76543"
2018-11-06,TX,Bell,county,110,,St. Joseph Parish Hall,"2903 E Rancier Ave, Killeen, Texas 76543"
2018-11-06,TX,Bell,county,111,,J.W. Sims Community Center,"408 North 10th St., Nolanville, Texas 76559"
2018-11-06,TX,Bell,county,113,,Belton Senior Center,"842 S. Mitchell, Belton, Texas 76513"
2018-11-06,TX,Bell,county,201,,Cornerstone Baptist Church,"484 FM 3219, Harker Heights, Texas 76548"
2018-11-06,TX,Bell,county,202,,Harker Heights Parks & Recreation Center,"307 Millers Crossing, Harker Heights, Texas 76548"
2018-11-06,TX,Bell,county,203,,Salado Church of Christ Activities Center,"225 North Church Street Salado, TX 76571"
2018-11-06,TX,Bell,county,204,,Killeen Fire Station # 3,"700 Twin Creek Drive, Killeen, Texas 76541"
2018-11-06,TX,Bell,county,205,,Marlboro Heights Baptist Church,"800 Rev Abercrombie Drive Killeen, Texas 76541"
2018-11-06,TX,Bell,county,206,,Killeen Senior Center @ Lions Club Park,"1700 E. Stan Schleuter Loop, Killeen, Texas 76542"
2018-11-06,TX,Bell,county,207,,Grace Christian Center,"1401 E. Elms Rd., Killeen TX 76542"
2018-11-06,TX,Bell,county,208,,Cedar Valley Elementary,"4801 Chantz Drive, Killen, Texas 76540"
2018-11-06,TX,Bell,county,209,,St. Paul Chong Hasang Catholic Church,"1000 E FM 2410 H.H., Texas 76548"
2018-11-06,TX,Bell,county,210,,First Baptist Church of Trimmier,"6405 Chapparral Road, Killeen, Texas 76542"
2018-11-06,TX,Bell,county,301,,Troy Community Center,"201 East Main Troy, TX 76579"
2018-11-06,TX,Bell,county,302,,VFW Post 1820,"3204 Airport Road, Temple, Texas 76501"
2018-11-06,TX,Bell,county,303,,Frank Mayborn Civic Center,"3303 North 3rd Street Temple, Texas 76501"
2018-11-06,TX,Bell,county,304,,A & E Storage,"4970 E Highway 190, Temple, Texas 76502"
2018-11-06,TX,Bell,county,305,,Temple Brethren Church,"2202 Birdcreek Dr., Temple, Texas 76502"
2018-11-06,TX,Bell,county,306,,Immanuel Baptist Church,"1401 W. Central, Temple, Texas 76504"
2018-11-06,TX,Bell,county,307,,Wilson Parks & Recreation Center,"2205 Curtis B. Elliot Dr., Temple, Texas 76501"
2018-11-06,TX,Bell,county,308,,Bethel Assembly of God of Temple,"22621 SE H K Dodgen Loop 363, Temple, Texas 76504"
2018-11-06,TX,Bell,county,309,,Seaton Community Center,"12301 Hwy 53, Temple, Texas 76501"
2018-11-06,TX,Bell,county,310,,St. Joseph Catholic Church Fellowship Hall,"20220 FM 485 Burlington, TX 76519"
2018-11-06,TX,Bell,county,311,,First Baptist Church Moffat,"13929 Moffat Rd., Temple, Texas 76502"
2018-11-06,TX,Bell,county,312,,First Baptist Church of Rogers,"5 Prairie, Rogers, TX 76569"
2018-11-06,TX,Bell,county,313,,Trinity Lutheran Chrch,"2016 Marlandwood Road, Temple, Texas 76502"
