state,jurisdiction_type,precinct_name,name,municipality,address,notes
VT,town/city,Addison,Town Hall,Addison,,
VT,town/city,Albany,Town Clerk's Office,Albany,,
VT,town/city,Alburgh,Municipal Building,Alburgh,,
VT,town/city,Andover,Town Hall,Andover,,
VT,town/city,Arlington,AMHS Gymnasium,Arlington,,
VT,town/city,Athens,Town Office,Athens,,
VT,town/city,Bakersfield,Town Hall,Bakersfield,,
VT,town/city,Baltimore,Town Office,Baltimore,,
VT,town/city,Barnard,Town Hall,Barnard,,
VT,town/city,Barnet,Elementary School,Barnet,,
VT,town/city,Barre City,Civic Center Auditorium,Barre City,,
VT,town/city,Barre Town,Barre Town Elementary & Middle School,Barre Town,,
VT,town/city,Barton,Barton Village Memorial Building,Barton,,
VT,town/city,Belvidere,Elementary School,Belvidere,,
VT,town/city,Bennington - Benn 2-1 and 2-2,Bennington Fire House,Bennington - Benn 2-1 and 2-2,,
VT,town/city,Bennington - North Bennington,North Bennington Trustee Office,Bennington - North Bennington,,
VT,town/city,Benson,Community Hall,Benson,,
VT,town/city,Berkshire,Town Clerk's Office,Berkshire,,
VT,town/city,Berlin,Berlin Elementary School,Berlin,,
VT,town/city,Bethel,Elementary School,Bethel,,
VT,town/city,Bloomfield,Old School House,Bloomfield,,
VT,town/city,Bolton,Smilie Elementary School,Bolton,,
VT,town/city,Bradford,Bradford Academy Building,Bradford,,
VT,town/city,Braintree,Elementary School,Braintree,,
VT,town/city,Brandon,Neshobe School,Brandon,,
VT,town/city,Brattleboro,BUHS Gym,Brattleboro,,
VT,town/city,Bridgewater,Town Office,Bridgewater,,
VT,town/city,Bridport,Community/Masonic Hall,Bridport,,
VT,town/city,Brighton,Town Hall,Brighton,,
VT,town/city,Bristol,Holley Hall,Bristol,,
VT,town/city,Brookfield,Elementary School,Brookfield,,
VT,town/city,Brookline,Town Office,Brookline,,
VT,town/city,Brownington,Brownington Central School,Brownington,,
VT,town/city,Brunswick,Community Office Building,Brunswick,,
VT,town/city,Burke,Town Community Building,Burke,,
VT,town/city,Burlington - Ward 1 ,Mater Christi School,Burlington - Ward 1 ,,
VT,town/city,Burlington - Ward 2 ,H.O.Wheeler School,Burlington - Ward 2 ,,
VT,town/city,Burlington - Ward 3 ,Lawrence Barnes School,Burlington - Ward 3 ,,
VT,town/city,Burlington - Ward 4,St. Marks Youth Center,Burlington - Ward 4,,
