state,jurisdiction_type,precinct_name,name,address,municipality,notes
VT,town/city,Addison,Addison Town Clerk's Office,65 Vermont Route 17 West,Addison,
VT,town/city,Albany,Albany Town Clerk's Office,827 Main Street,Albany,
VT,town/city,Alburgh,Alburgh Municipal Building,1 North Main Street,Alburgh,
VT,town/city,Andover,Andover Town Hall,59 Town Hall Road,Andover,
VT,town/city,Arlington,Arlington Memorial High School,529 East Arlington Road,Arlington,
VT,town/city,Athens,Athens Town Office,25 Brookline Road,Athens,
VT,town/city,Bakersfield,Town Hall,40 East Bakersfield Road,Bakersfield,
VT,town/city,Baltimore,Baltimore Town Office,1902 Baltimore Road,Baltimore,
VT,town/city,Barnard,Town Hall,115 North Road,Barnard,
VT,town/city,Barnet,Fire & Rescue Station,151 Bimson Drive,Barnet,
VT,town/city,Barre City,Civic Center Auditorium,20 Auditorium Hill,Barre City,
VT,town/city,Barre Town,Barre Town Middle & Elementary School Gymnasium,70 Websterville Road,Barre Town,
VT,town/city,Barton,Lake Region Union High School,317 Lake Region Road. ,Barton,
VT,town/city,Belvidere,Town Clerk's office,3996 Vermont Route 109,Belvidere,
VT,town/city,Bennington 2-1 & 2-2,Bennington Fire House,"130 River Street, Bennington/Corner Main & Depot, North Bennington",Bennington 2-1 & 2-2,
VT,town/city,Benson,Benson Community Hall,2724 Stage Road,Benson,
VT,town/city,Berkshire,4454 Watertower Road. Enosburgh Falls,4454 Watertower Road. Enosburgh Falls,Berkshire,
VT,town/city,Berlin,Berlin Municipal Office,108 Shed Road,Berlin,
VT,town/city,Bethel,Whitcomb High School Gym,273 Pleasant Street,Bethel,
VT,town/city,Bloomfield,Old Schoolhouse,27 Schoolhouse Road,Bloomfield,
VT,town/city,Bolton,Smilie Memorial School,2712 Theodore Roosevelt Highway,Bolton,
VT,town/city,Bradford,Bradford Academy,172 North Main Street,Bradford,
VT,town/city,Braintree,Braintree Town Hall,5379 VT Route 12A,Braintree,
VT,town/city,Brandon,Neshobe School,17 Neshobe Circle,Brandon,
VT,town/city,Brattleboro,Municipal Center,"230 Main St, Suite 212",Brattleboro,
VT,town/city,Bridgewater,Town Office,7335 US RT 4,Bridgewater,
VT,town/city,Bridport,Community/Masonic Hall,82 Middle Road,Bridport,
VT,town/city,Brighton,Town Hall Gym,49 Mill Street Ext.,Brighton,
VT,town/city,Bristol,Holley Hall,1 South Street,Bristol,
VT,town/city,Brookfield,Brookfield Elementary School,1725 Ridge Road,Brookfield,
VT,town/city,Brookline,Brookline Town Office,736 Grassy Brook Road,Brookline,
VT,town/city,Brownington,Brownington Town Office,622 Schoolhouse Road,Brownington,
VT,town/city,Brunswick,Community Office Building,994 VT Route 102,Brunswick,
VT,town/city,Burke,Burke Community Building,212 School Street,Burke,
VT,town/city,Burlington - Ward 1, Mater Christi School, 100 Mansfield Ave.,Burlington - Ward 1,
VT,town/city,Burlington - Ward 2, HO Wheeler School,Archibald/Walnut Streets,Burlington - Ward 2,
VT,town/city,Burlington - Ward 3, Lawrence Barnes School, 100 North St.,Burlington - Ward 3,
VT,town/city,Burlington - Ward 4,St. Marks Youth Center,1271 North Ave.,Burlington - Ward 4,
VT,town/city,Burlington - Ward 5,Burlington Electric Department,585 Pine Street,Burlington - Ward 5,
VT,town/city,Burlington - Ward 6,Edmunds Middle School,275 Main St.,Burlington - Ward 6,
VT,town/city,Burlington - Ward 7,Robert Miller Center,130 Gosse Ct.,Burlington - Ward 7,
VT,town/city,Burlington - Ward 8,Fletcher Free Library ,235 College Street,Burlington - Ward 8,
VT,town/city,Cabot,Cabot School Gym,26 Gym Road,Cabot,
VT,town/city,Calais,Calais Elementary School,321 Lightening Ridge Road,Calais,
VT,town/city,Cambridge,Cambridge Memorial Gymnasium,186 School Street,Cambridge,
VT,town/city,Canaan,Canaan Municipal Office,318 Christian Hill,Canaan,
VT,town/city,Castleton,American Legion Post #50,378 VT Route 4A West,Castleton,
VT,town/city,Cavendish,Cavendish Town Elementary School,573 Main Street,Cavendish,
VT,town/city,Charleston,Charleston Town Clerk's Office,5063 VT Route 105,Charleston,
VT,town/city,Charlotte,CCS Multi-Purpose Room,408 Hinesburg Road,Charlotte,
VT,town/city,Chelsea,Chelsea Town Hall,296 VT RT 110,Chelsea,
VT,town/city,Chester,"Chester Town Hall, Second Floor",556 Elm Street,Chester,
VT,town/city,Chittenden,Chittenden Municipal Office,260 Chittenden Road,Chittenden,
VT,town/city,Clarendon,Clarendon Town Hall,279 Middle Road,Clarendon,
VT,town/city,Colchester-Chit-9-1,Colchester High School Gymnasium,Laker Lane,Colchester-Chit-9-1,
VT,town/city,Colchester-Chit-9-2,Colchester High School Gymnasium,Laker Lane,Colchester-Chit-9-2,
VT,town/city,Concord,Concord Town Hall,456 Main Street,Concord,
VT,town/city,Corinth,Town Hall,1387 Cookeville Road,Corinth,
VT,town/city,Cornwall,Town Hall,2629 Route 30,Cornwall,
VT,town/city,Coventry,Coventry Community Center,168 Main Street,Coventry,
VT,town/city,Craftsbury,Craftsbury Town Hall,85 South Craftsbury Road,Craftsbury,
VT,town/city,Danby,Municipal Office,130 Brook Road,Danby,
VT,town/city,Danville,Danville Town Hall,36 US Route 2 West,Danville,
VT,town/city,Derby,Derby Municipal Office,124 Main Street,Derby,
VT,town/city,Dorset,The Dorset School,100 School Drive ,Dorset,
VT,town/city,Dover,Town Hall,Holland Road,Dover,
VT,town/city,Dummerston,Dummerston Congregational Church,1535 Middle Road,Dummerston,
VT,town/city,Duxbury,Crossett Brook Middle School,6100 VT Route 100,Duxbury,
VT,town/city,East Haven,Community Building,64 Community Building Road,East Haven,
VT,town/city,East Montpelier,East Montpelier Elem School,Vincent Flats Road,East Montpelier,
VT,town/city,Eden,Town Clerk's Office,71 Old Schoolhouse Road,Eden,
VT,town/city,Elmore,Town Clerk's Office,1175 VT Route 12,Elmore,
VT,town/city,Enosburgh,Enosburgh Emergency Services Building,83 Sampsonville Road,Enosburgh,
VT,town/city,Essex - Chit 8-1 and 8-3,Essex Middle School,60 Founders Road,Essex - Chit 8-1 and 8-3,
VT,town/city,Essex - Chit 8-2,Essex High School,2 Educational Drive,Essex - Chit 8-2,
VT,town/city,Fair Haven,American Legion Post #49,72 South Main St.,Fair Haven,
VT,town/city,Fairfax,"Old Gymnasium, Bellows Free Academy",75 Hunt St,Fairfax,
VT,town/city,Fairfield,Municipal Building Basement,25 North Road,Fairfield,
VT,town/city,Fairlee,Fairlee Town Hall,75 Town Common Road,Fairlee,
VT,town/city,Fayston,Fayston Municipal Offices,866 North Fayston Road,Fayston,
VT,town/city,Ferrisburgh,Town Hall and Community Center,3279 Route 7,Ferrisburgh,
VT,town/city,Fletcher,Fletcher Town Clerk's Office,215 Cambridge Road,Fletcher,
VT,town/city,Franklin,Franklin Town Hall,5336 Main Street,Franklin,
VT,town/city,Georgia,Georgia Elementary School,4416 Ethan Allen Highway,Georgia,
VT,town/city,Glover,Glover Town Clerk's Office,51 Bean Hill,Glover,
VT,town/city,Goshen,Goshen Town Hall,50 Carlisle Hil Road,Goshen,
VT,town/city,Grafton,Grafton Town Hall,117 Main Street,Grafton,
VT,town/city,Granby,Granby Town Hall,9005 Granby Road,Granby,
VT,town/city,Grand Isle,Grand Isle Town Office,9 Hyde Road,Grand Isle,
VT,town/city,Granville,Town Hall,4157 VT Route 100,Granville,
VT,town/city,Greensboro,Town Clerk,81 Lauredon Ave.,Greensboro,
VT,town/city,Groton,Groton Community Building Gym,1476 Scott Highway,Groton,
VT,town/city,Guildhall,The Guild Hall   (Town Hall),13 Courthouse Drive,Guildhall,
VT,town/city,Guilford,Broad Brook Grange,3940 Guilford Center Road,Guilford,
VT,town/city,Halifax,Halifax Elementary Multipurpose Room,246 Branch Road,Halifax,
VT,town/city,Hancock,Town Hall,48 VT Route 125,Hancock,
VT,town/city,Hardwick,Elementary School,135 South Main Street,Hardwick,
VT,town/city,Hartford,Hartford High School,37 Highland Ave.,Hartford,
VT,town/city,Hartland,Damon Hall,1 Quechee Road,Hartland,
VT,town/city,Highgate,Highgate Elementary School,219 Gore Road,Highgate,
VT,town/city,Hinesburg,Hinesburg Town Hall,10632 Route 116,Hinesburg,
VT,town/city,Holland,Holland Town Office,120 School Road,Holland,
VT,town/city,Hubbardton,Town Hall,1831 Monument Hill Road,Hubbardton,
VT,town/city,Huntington,Brewster-Pierce School,120 School Street,Huntington,
VT,town/city,Hyde Park,Town Clerk's Office,344 VT 15 W,Hyde Park,
VT,town/city,Ira,Ira Town Hall,1800 Route 133,Ira,
VT,town/city,Irasburg,Irasburg Town Hall,118 Park Ave.,Irasburg,
VT,town/city,Isle La Motte,Town Hall,2272 Main Street,Isle La Motte,
VT,town/city,Jamaica,Town Office,28 Town Office Road,Jamaica,
VT,town/city,Jay,Town Clerk's Office,1036 VT Route 242,Jay,
VT,town/city,Jericho,Mount Mansfield Union High School,211 Brown's Trace,Jericho,
VT,town/city,Johnson,Johnson Municipal Building,293 Lower Main West,Johnson,
VT,town/city,Killington,Killington Town Office,2706 River Road,Killington,
VT,town/city,Kirby,Kirby Town Hall,346 Town Hall Road,Kirby,
VT,town/city,Landgrove,Landgrove Town Hall,88 Landgrove Road,Landgrove,
VT,town/city,Leicester,Town Office,44 School House Road,Leicester,
VT,town/city,Lemington,Town Hall,2549 River Road,Lemington,
VT,town/city,Lincoln,Burnham Hall,52 East River Road,Lincoln,
VT,town/city,Londonderry,Town Offices,"100 Old School Street, So. Londonderry",Londonderry,
VT,town/city,Lowell,Town Clerk's Office,2170 VT Route 100,Lowell,
VT,town/city,Ludlow,Town Hall,37 Depot St,Ludlow,
VT,town/city,Lunenburg,Lunenburg School,49 Bobbin Mill Road,Lunenburg,
VT,town/city,Lyndon,Town of Lyndon Municipal Office Building,119 Park Avenue,Lyndon,
VT,town/city,Maidstone,Maidstone Town Hall,508 VT Route 102,Maidstone,
VT,town/city,Manchester,Manchester Town Hall,6039 Main Street ,Manchester,
VT,town/city,Marlboro,Marlboro Town Office,510 South Road,Marlboro,
VT,town/city,Marshfield,Old Schoolhouse Common,122 School Street,Marshfield,
VT,town/city,Mendon,Mendon Town Hall,2282 US Route 4,Mendon,
VT,town/city,Middlebury,Municipal Gymnasium,94 Main Street,Middlebury,
VT,town/city,Middlesex,Town Hall,5 Church Street,Middlesex,
VT,town/city,Middletown Springs,Firehouse,8 Firehouse Lane,Middletown Springs,
VT,town/city,Milton,Milton Town Office,43 Bombardier Road,Milton,
VT,town/city,Monkton,Monkton Volunteer Fire Department,"3747 States Prison Hollow Road, Bristol",Monkton,
VT,town/city,Montgomery,Town Hall  (The Grange),57 Main Street,Montgomery,
VT,town/city,Montpelier,City Hall,39 Main Street,Montpelier,
VT,town/city,Moretown,Moretown Elementary School,940 ROUTE 100B,Moretown,
VT,town/city,Morgan,Town Clerk's Office,41 Meade Hill Road,Morgan,
VT,town/city,Morristown,Municipal Office Building,43 Portland Street,Morristown,
VT,town/city,Mount Holly,Mount Holly Town Office,50 School Street,Mount Holly,
VT,town/city,Mount Tabor,Town Office,522 Brooklyn Road,Mount Tabor,
VT,town/city,New Haven,Town Hall,70 North Street,New Haven,
VT,town/city,Newark,Newark Town Clerk's Office,1336 Newark St.,Newark,
VT,town/city,Newbury,Newbury Village Hall (Newbury Elementary School Gym),214 Pulaski Street,Newbury,
VT,town/city,Newbury (Wells River),Wells River Village Hall (Wells River voters only);  (All non-villages vote at Newbury Center Townhouse) ,4504 Scotch Hollow Road,Newbury (Wells River),
VT,town/city,Newfane,Union Hall,5 Church Street,Newfane,
VT,town/city,Newport City,Newport Municipal Building,222 Main Street,Newport City,
