state,jurisdiction_type,municipality,precinct_name,name,address
VT,town/city,Addison,Addison,Addison Town Clerk's Office,65 VT Route 17 West
VT,town/city,Albany,Albany,Albany Town Clerk's Office,827 Main Street
VT,town/city,Alburgh,Alburgh,Alburgh Municipal Building,1 North Main Street
VT,town/city,Andover,Andover,Andover Town Hall,59 Town Hall Road
VT,town/city,Arlington,Arlington,Arlington Memorial High School,529 East Arlington Road
VT,town/city,Athens,Athens,Athens Town Office,25 Brookline Road
VT,town/city,Bakersfield,Bakersfield,Town Hall,40 East Bakersfield Road
VT,town/city,Baltimore,Baltimore,Baltimore Town Office,1902 Baltimore Road
VT,town/city,Barnard,Barnard,Town Hall,115 North Road
VT,town/city,Barnet,Barnet,Fire & Rescue Station,151 Bimson Drive
VT,town/city,Barre City,Barre City,Barre City Auditorium,20 Auditorium Hill
VT,town/city,Barre Town,Barre Town,Barre Town Middle & Elementary School Gymnasium,70 Websterville Road
VT,town/city,Barton,Barton,Lake Region Union High School,317 Lake Region Road. 
VT,town/city,Belvidere,Belvidere,Belvidere Town Office,3996 VT Route 109
VT,town/city,Bennington 2-1 & 2-2,Bennington 2-1 & 2-2,Bennington Fire House,"130 River Street, Bennington"
VT,town/city,Bennington 2-1 Village voters,Bennington 2-1 Village voters,Bennington 2-1 Village voters,"2 Depot Street, North Bennington"
VT,town/city,Benson,Benson,Benson Community Hall,2724 Stage Road
VT,town/city,Berkshire,Berkshire,Berkshire Town Clerk's Office,4454 Watertower Road. Enosburgh Falls
VT,town/city,Berlin,Berlin,Berlin Municipal Office,108 Shed Road
VT,town/city,Bethel,Bethel,Whitcomb High School ,273 Pleasant Street
VT,town/city,Bloomfield,Bloomfield,Old Schoolhouse,27 Schoolhouse Road
VT,town/city,Bolton,Bolton,Smilie Memorial School,2712 Theodore Roosevelt Highway
VT,town/city,Bradford,Bradford,Bradford Academy,172 North Main Street
VT,town/city,Braintree,Braintree,Braintree Town Hall,5379 VT Route 12A
VT,town/city,Brandon,Brandon,Brandon Town Hall,1 Conant Square
VT,town/city,Brattleboro,Brattleboro,American Legion,32 Linden Street
VT,town/city,Bridgewater,Bridgewater,Town Office,7335 US RT 4
VT,town/city,Bridport,Bridport,Community/Masonic Hall,52 Middle Road
VT,town/city,Brighton,Brighton,Town Hall Gym,49 Mill Street Ext.
VT,town/city,Bristol,Bristol,Holley Hall,1 South Street
VT,town/city,Brookfield,Brookfield,Brookfield Elementary School,1728 Ridge Road
VT,town/city,Brookline,Brookline,Brookline Town Office,734 Grassy Brook Road
VT,town/city,Brownington,Brownington,Brownington Town Office,622 Schoolhouse Road
VT,town/city,Brunswick,Brunswick,Community Office Building,994 VT Route 102
VT,town/city,Burke,Burke,Burke Community Building,212 School Street
VT,town/city,Burlington - Ward 1,Burlington - Ward 1, Mater Christi School, 100 Mansfield Ave.
VT,town/city,Burlington - Ward 2,Burlington - Ward 2, HO Wheeler School,Archibald/Walnut Streets
VT,town/city,Burlington - Ward 3,Burlington - Ward 3, Lawrence Barnes School,123 North Street
VT,town/city,Burlington - Ward 4,Burlington - Ward 4,St. Marks Youth Center,1271 North Avenue
VT,town/city,Burlington - Ward 5,Burlington - Ward 5,Burlington Electric Department,585 Pine Street
VT,town/city,Burlington - Ward 6,Burlington - Ward 6,Edmunds Middle School,275 Main Street
VT,town/city,Burlington - Ward 7,Burlington - Ward 7,Robert Miller Center,130 Gosse Court
VT,town/city,Burlington - Ward 8,Burlington - Ward 8,Fletcher Free Library ,235 College Street
VT,town/city,Cabot,Cabot,Willey Building,3084 Main Street
VT,town/city,Calais,Calais,Town Office,3120 Pekin Brook Road
VT,town/city,Cambridge,Cambridge,Cambridge Elementary School,186 School Road
VT,town/city,Canaan,Canaan,Canaan Town Office,318 Christian Hill
VT,town/city,Castleton,Castleton,Castleton Fire Station,273 VT Route 30 North
VT,town/city,Cavendish,Cavendish,Proctorsville Fire Department,513 Main Street
VT,town/city,Charleston,Charleston,Charleston Town Clerk's Office,5063 VT Route 105
VT,town/city,Charlotte,Charlotte,CCS Multi-Purpose Room,408 Hinesburg Road
VT,town/city,Chelsea,Chelsea,Chelsea Town Hall,296 VT RT 110
VT,town/city,Chester,Chester,"Chester Town Hall, Second Floor",556 Elm Street
VT,town/city,Chittenden,Chittenden,Chittenden Municipal Offices,260 Chittenden Road
VT,town/city,Clarendon,Clarendon,Clarendon Town Hall,279 Middle Road
VT,town/city,Colchester-Chit-9-1,Colchester-Chit-9-1,Colchester High School Gymnasium,131 Laker Lane
VT,town/city,Colchester-Chit-9-2,Colchester-Chit-9-2,Colchester High School Gymnasium,131 Laker Lane
VT,town/city,Concord,Concord,Concord Town Hall,456 Main Street
VT,town/city,Corinth,Corinth,Town Hall,1387 Cookeville Road
VT,town/city,Cornwall,Cornwall,Town Hall,2629 Route 30
VT,town/city,Coventry,Coventry,Coventry Community Center,168 Main Street
VT,town/city,Craftsbury,Craftsbury,Craftsbury Town Hall,85 South Craftsbury Road
VT,town/city,Danby,Danby,Municipal Office,130 Brook Road
VT,town/city,Danville,Danville,Danville Town Hall,36 US Route 2 West
VT,town/city,Derby,Derby,Derby Municipal Office,124 Main Street
VT,town/city,Dorset,Dorset,The Dorset School,130 School Drive 
VT,town/city,Dover,Dover,Town Hall,"189 Taft Brook Road, East Dover"
VT,town/city,Dummerston,Dummerston,Dummerston Congregational Church,1535 Middle Road
VT,town/city,Duxbury,Duxbury,Crossett Brook Middle School,5672 VT Route 100
VT,town/city,East Haven,East Haven,Community Building,64 Community Building Road
VT,town/city,East Montpelier,East Montpelier,East Montpelier Elementary School,665 Vincent Flats Road
VT,town/city,Eden,Eden,Town Clerk's Office,71 Old Schoolhouse Road
VT,town/city,Elmore,Elmore,Town Clerk's Office,1192 VT Route 12
VT,town/city,Enosburgh,Enosburgh,Enosburgh Emergency Services Building,83 Sampsonville Road
VT,town/city,Essex - Chit 8-1 and 8-3,Essex - Chit 8-1 and 8-3,Essex Middle School,60 Founders Road
VT,town/city,Essex - Chit 8-2,Essex - Chit 8-2,Essex High School,2 Educational Drive
VT,town/city,Fair Haven,Fair Haven,American Legion Post #49,72 South Main St.
VT,town/city,Fairfax,Fairfax,Bellows Free Academy,75 Hunt Street
VT,town/city,Fairfield,Fairfield,Municipal Building,25 North Road
VT,town/city,Fairlee,Fairlee,Fairlee Town Hall,75 Town Common Road
VT,town/city,Fayston,Fayston,Fayston Municipal Offices,866 North Fayston Road
VT,town/city,Ferrisburgh,Ferrisburgh,Town Hall and Community Center,3279 Route 7
VT,town/city,Fletcher,Fletcher,Fletcher Town Offices,33 Shaw Road
VT,town/city,Franklin,Franklin,Franklin Town Hall,5336 Main Street
