state,county_name,precinct_name,precinct_id,name,address
VA,,401 - DINWIDDIE,401,DINWIDDIE COUNTY MIDDLE SCHOOL,11608 Courthouse Road Dinwiddie VA  23841-2434
VA,,925 - OLD MILL,925,CENTREVILLE UNITED METH CHURCH,6400 Old Centreville Rd Centreville VA  20121-2628
VA,,503 - NORTH CLINTWOOD,503,DICKENSON COUNTY COURTHOUSE,293 Clintwood Main Street Clintwood VA 24228
VA,,120 - SIDEBURN,120,OAK VIEW ELEMENTARY SCHOOL,5004 Sideburn Rd Fairfax VA  22032-2636
VA,,617 - LORTON,617,LORTON LIBRARY,9520 Richmond Hwy Lorton VA  22079-2124
VA,,023 - ARROWHEAD,023,ARROWHEAD ELEMENTARY SCHOOL,5549 Susquehanna Dr Virginia Beach VA  23462-4034
VA,,123 - ROBINSON,123,ROBINSON SEC SCHOOL,5035 Sideburn Rd Fairfax VA  22032-2637
VA,,203 - CLINCHCO,203,CLINCHCO ELEMENTARY SCHOOL,198 Cardinal St Clinchco VA  24226-8692
VA,,403 - CENTER,403,FIRE TRAINING SCHOOL,1018 Middle School Cir South Boston VA  24592-4942
VA,,603 - PIEDMONT,603,CHANCELLOR HIGH SCHOOL,6300 Harrison Rd Fredericksburg VA  22407-6363
VA,,105 - FAIRVIEW,105,FAIRVIEW ELEMENTARY SCHOOL,5815 Ox Rd Fairfax Station VA  22039-1430
VA,,208 - RESTON #1,208,LAKE ANNE ELEMENTARY SCHOOL,11510 N Shore Dr Reston VA  20190-4316
VA,,931 - CARSON,931,RACHEL CARSON MIDDLE SCHOOL,13618 MCLEAREN ROAD HERNDON VA 20171
VA,,105 - LIMESTONE,105,GAINESVILLE MIDDLE SCHOOL,8001 Limestone Drive Gainesville VA 20155
VA,,201 - NORA,201,ERVINTON ELEMENTARY SCHOOL,195 Ervinton Circle Nora VA 24272
VA,,003 - METZ,003,METZ JUNIOR HIGH SCHOOL,9950 Wellington Rd Manassas VA  20110-5787
