county_name,precinct_id,precinct_name,name,address
ACCOMACK COUNTY,0101,101 - CHINCOTEAGUE,CHINCOTEAGUE CENTER,6155 Community Dr
ACCOMACK COUNTY,0201,201 - ATLANTIC,ATLANTIC FIRE HOUSE,10071 Atlantic Rd
ACCOMACK COUNTY,0202,202 - GREENBACKVILLE,GREENBACKVILLE VOL. FIRE DEPT.,1468 Ellis Street
ACCOMACK COUNTY,0301,301 - NEW CHURCH,NEW CHURCH FIRE & RESCUE Co.,4264 Firehouse Street
ACCOMACK COUNTY,0401,401 - BLOXOM,BLOXOM FIRE HOUSE BANQUET HALL,15312 BAYSIDE DRIVE
ACCOMACK COUNTY,0402,402 - PARKSLEY,PARKSLEY FIRE HOUSE,18443 DUNNE AVENUE
ACCOMACK COUNTY,0403,403 - SAXIS,SAXIS FIRE HOUSE,8337 FREE SCHOOL LANE
ACCOMACK COUNTY,0501,501 - MAPPSVILLE,KEGOTANK ELEMENTARY SCHOOL,13300 Lankford Hwy
ACCOMACK COUNTY,0502,502 - RUE,METOMPKIN ELEMENTARY SCHOOL,24501 Parksley Rd
ACCOMACK COUNTY,0601,601 - ACCOMAC,Elk's Lodge,22454 Front St
ACCOMACK COUNTY,0602,602 - TANGIER,TANGIER COMBINED SCHOOL,4375 SCHOOL LANE
ACCOMACK COUNTY,0701,701 - NANDUA,NANDUA MIDDLE SCHOOL,20330 Warrior Dr
ACCOMACK COUNTY,0801,801 - BOBTOWN,PUNGOTEAGUE ELEMENTARY SCHOOL,28480 Bobtown Rd
ACCOMACK COUNTY,0802,802 - MELFA,MELFA FIREHOUSE,28328 Hatton St
ACCOMACK COUNTY,0803,803 - WACHAPREAGUE,Wachapreague Firehouse,1 High ST
ACCOMACK COUNTY,0901,901 - PAINTER,PAINTER FIRE HOUSE,17116 Wayside Dr
ALBEMARLE COUNTY,0101,101 - WOODBROOK,WOODBROOK ELEMENTARY SCHOOL,100 Woodbrook Dr
ALBEMARLE COUNTY,0103,103 - BRANCHLANDS,SENIOR CENTER,491 Hillsdale Drive
ALBEMARLE COUNTY,0104,104 - AGNOR-HURT,AGNOR-HURT ELEMENTARY SCHOOL,3201 Berkmar Dr
ALBEMARLE COUNTY,0105,105 - DUNLORA,CATEC,1000 Rio Rd E
ALBEMARLE COUNTY,0106,106 - NORTHSIDE,EARLYSVILLE FIRE DEPARTMENT,283 Reas Ford Rd
