county_name,municipality,precinct_id,name,address
BARBOUR,BELINGTON,1,JUNIOR ELEMENTARY SCHOOL,"49 W 1ST STREET, BELINGTON, WV 26250"
BARBOUR,BELINGTON,2,BELINGTON FIRE DEPARTMENT,"301 WATKINS ST, BELINGTON, WV 26250"
BARBOUR,BELINGTON,3,BELINGTON ELEMENTARY SCHOOL,"471 MORGANTOWN PIKE, BELINGTON, WV 26250"
BARBOUR,BELINGTON,4,BARBOUR COUNTY FAIRGROUNDS,"118 FAIRGROUNDS WAY, BELINGTON, WV 26250"
BARBOUR,PHILIPPI,5,PHILIP BARBOUR HIGH SCHOOL,"99 HORSESHOE DR, PHILIPPI, WV 26416"
BARBOUR,PHILIPPI,6,UNION COMMUNITY BUILDING,"30 BURNER RD, PHILIPPI, WV 26416"
BARBOUR,PHILIPPI,7,BARBOUR COUNTY COURTHOUSE,"26 N MAIN ST, PHILIPPI, WV 26416"
BARBOUR,PHILIPPI,8,TACY COMMUNITY BUILDING,"288 TACY RD, PHILIPPI, WV 26416"
BARBOUR,PHILIPPI,9,ARDEN CLEMTOWN AREA COMMUNITY CENTER,"3923 ARDEN RD, PHILIPPI, WV 26416"
BARBOUR,MOATSVILLE,10,KASSON SCHOOL,"19 KASSON RD, MOATSVILLE, WV 26405"
BARBOUR,PHILIPPI,11,PHILIPPI MIDDLE SCHOOL,"611 CHERRY HILL RD, PHILIPPI, WV 26416"
BARBOUR,VOLGA,12,CENTURY UMWA BUILDING,"570 CENTURY RD, VOLGA, WV 26238"
BARBOUR,PHILIPPI,13,PHILIPPI ELEMENTARY SCHOOL,"547 CHERRY HILL RD, PHILIPPI, WV 26416"
BARBOUR,BRIDGEPORT ,14,BRUSHY FORK COMMUNITY BLDG,"3302 BRUSHY FORK RD, BRIDGEPORT , WV 26330"
BARBOUR,PHILIPPI,15,PHILIPPI ELEMENTARY SCHOOL,"547 CHERRY HILL RD, PHILIPPI, WV 26416"
BARBOUR,PHILIPPI,16,GALLOWAY SENIOR CENTER,"5114 GALLOWAY RD, PHILIPPI, WV 26416"
BERKELEY,MARTINSBURG,1,SAINT LUKE'S UNITED METHODIST,"700 NEW YORK AVENUE, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,2,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403"
BERKELEY,MARTINSBURG,5,MARTINSBURG HIGH SCHOOL,"701 S QUEEN STREET, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,6,SOUTH MIDDLE SCHOOL,"150 BULLDOG BLVD, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,7,BURKE STREET SCHOOL,"422 W BURKE STREET, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,8,ROSEMONT GRACE BRETHREN CHURCH,"117 S. ILLINOIS AVE, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,9,AMBROSE TOWERS,"703 PORTER AVENUE, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,10,TUSCARORA ELEMENTARY  SCHOOL,"2000 TAVERN ROAD, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,11,ROSEMONT ELEMENTARY SCHOOL,"301 SOUTH ALABAMA AVENUE, MARTINSBURG, WV 25401"
BERKELEY,MARTINSBURG,12,BEDINGTON FIRE STATION (MAIN),"775 BEDINGTON ROAD, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,13,FAITH CHRISTIAN ACADEMY,"138 GREENSBURG ROAD, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,14,BERKELEY SENIOR CENTER,"217 N HIGH STREET, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,15,OPEQUON ELEMENTARY SCHOOL,"395 EAST ROAD, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,16,NORTH MIDDLE SCHOOL,"250 EAST ROAD, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,17,OTTERBEIN UNITED METHODIST,"549 NORTH QUEEN STREET, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,18,EAGLE SCHOOL INTERMEDIATE,"730 EAGLE SCHOOL ROAD, MARTINSBURG, WV 25404"
BERKELEY,FALLING WATERS,19,POTOMACK INTERMEDIATE SCHOOL,"5308 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419"
BERKELEY,FALLING WATERS,20,MARLOWE ELEMENTARY SCHOOL,"9580 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419"
BERKELEY,MARTINSBURG,21,BEDINGTON ELEMENTARY SCHOOL,"149 BEDINGTON ROAD, MARTINSBURG, WV 25404"
BERKELEY,MARTINSBURG,22,ORCHARD VIEW INTERMEDIATE,"1455 DELMAR ORCHARD ROAD, MARTINSBURG, WV 25403"
BERKELEY,FALLING WATERS,23,POTOMACK INTERMEDIATE SCHOOL,"5308 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419"
