state,election_date,jurisdiction,county_name,municipality,precinct_name,precinct_id,name,address
WI,2018-11-06,Adams | CITY OF ADAMS,Adams,CITY OF ADAMS,CITY OF ADAMS - Ward 1,1,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805"
WI,2018-11-06,Adams | CITY OF ADAMS,Adams,CITY OF ADAMS,CITY OF ADAMS - Ward 2,2,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805"
WI,2018-11-06,Adams | CITY OF ADAMS,Adams,CITY OF ADAMS,CITY OF ADAMS - Ward 4,4,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805"
WI,2018-11-06,Adams | CITY OF ADAMS,Adams,CITY OF ADAMS,CITY OF ADAMS - Ward 3,3,ADAMS CITY HALL,"101 N MAIN ST, ADAMS, WI 53910-9805"
WI,2018-11-06,Adams | CITY OF WISCONSIN DELLS,Adams,CITY OF WISCONSIN DELLS,CITY OF WISCONSIN DELLS - Ward 5,5,WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568"
WI,2018-11-06,Adams | CITY OF WISCONSIN DELLS,Adams,CITY OF WISCONSIN DELLS,CITY OF WISCONSIN DELLS - Ward 9,9,WISCONSIN DELLS MUNICIPAL BUILDING,"300 LA CROSSE ST, WISCONSIN DELLS, WI 53965-1568"
WI,2018-11-06,Adams | TOWN OF Adams,Adams,TOWN OF Adams,TOWN OF Adams - Ward 1,1,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005"
WI,2018-11-06,Adams | TOWN OF Adams,Adams,TOWN OF Adams,TOWN OF Adams - Ward 2,2,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005"
WI,2018-11-06,Adams | TOWN OF Adams,Adams,TOWN OF Adams,TOWN OF Adams - Ward 3,3,ADAMS TOWN HALL,"1980 11TH AVE, FRIENDSHIP, WI 53934-9005"
WI,2018-11-06,Adams | TOWN OF Big Flats,Adams,TOWN OF Big Flats,TOWN OF Big Flats - Ward 1,1,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728"
WI,2018-11-06,Adams | TOWN OF Big Flats,Adams,TOWN OF Big Flats,TOWN OF Big Flats - Ward 2,2,BIG FLATS TOWN HALL,"1104 COUNTY ROAD C, ARKDALE, WI 54613-9728"
WI,2018-11-06,Adams | TOWN OF Colburn,Adams,TOWN OF Colburn,TOWN OF Colburn - Ward 1,1,COLBURN TOWN HALL,"198 COUNTY ROAD C, HANCOCK, WI 54943"
WI,2018-11-06,Adams | TOWN OF Dell Prairie,Adams,TOWN OF Dell Prairie,TOWN OF Dell Prairie - Ward 1,1,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981"
WI,2018-11-06,Adams | TOWN OF Dell Prairie,Adams,TOWN OF Dell Prairie,TOWN OF Dell Prairie - Ward 2,2,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981"
WI,2018-11-06,Adams | TOWN OF Dell Prairie,Adams,TOWN OF Dell Prairie,TOWN OF Dell Prairie - Ward 3,3,DELL PRAIRIE TOWN HALL,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981"
WI,2018-11-06,Adams | TOWN OF Easton,Adams,TOWN OF Easton,TOWN OF Easton - Ward 1,1,EASTON TOWN HALL,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784"
WI,2018-11-06,Adams | TOWN OF Easton,Adams,TOWN OF Easton,TOWN OF Easton - Ward 2,2,EASTON TOWN HALL,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784"
WI,2018-11-06,Adams | TOWN OF Jackson,Adams,TOWN OF Jackson,TOWN OF Jackson - Ward 1,1,JACKSON TOWN HALL,"398 STATE ROAD 82, OXFORD, WI 53952"
WI,2018-11-06,Adams | TOWN OF Jackson,Adams,TOWN OF Jackson,TOWN OF Jackson - Ward 2,2,JACKSON TOWN HALL,"398 STATE ROAD 82, OXFORD, WI 53952"
WI,2018-11-06,Adams | TOWN OF Leola,Adams,TOWN OF Leola,TOWN OF Leola - Ward 1,1,PONDEROSA PINES,"287 STATE ROAD 73, PLAINFIELD, WI 54966"
WI,2018-11-06,Adams | TOWN OF Lincoln,Adams,TOWN OF Lincoln,TOWN OF Lincoln - Ward 1,1,LINCOLN TOWN HALL,"2181 COUNTY ROAD G, GRAND MARSH, WI 53936-9641"
WI,2018-11-06,Adams | TOWN OF MONROE,Adams,TOWN OF MONROE,TOWN OF MONROE - Ward 1,1,MONROE TOWN HALL,"981 COUNTY ROAD Z, ARKDALE, WI 54613-7701"
WI,2018-11-06,Adams | TOWN OF NEW CHESTER,Adams,TOWN OF NEW CHESTER,TOWN OF NEW CHESTER - Ward 1,1,NEW CHESTER TOWN HALL,"629 MASON ST, GRAND MARSH, WI 53936-9576"
WI,2018-11-06,Adams | TOWN OF NEW CHESTER,Adams,TOWN OF NEW CHESTER,TOWN OF NEW CHESTER - Ward 2,2,NEW CHESTER TOWN HALL,"629 MASON ST, GRAND MARSH, WI 53936-9576"
WI,2018-11-06,Adams | TOWN OF NEW CHESTER,Adams,TOWN OF NEW CHESTER,TOWN OF NEW CHESTER - Ward 3,3,NEW CHESTER TOWN HALL,"629 MASON ST, GRAND MARSH, WI 53936-9576"
WI,2018-11-06,Adams | TOWN OF NEW HAVEN,Adams,TOWN OF NEW HAVEN,TOWN OF NEW HAVEN - Ward 1,1,NEW HAVEN TOWN HALL,"330 GOLDEN CT, WISCONSIN DELLS, WI 53965-8616"
