election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,AK,,Fairbanks North Star,borough,01-446,Aurora,,election_day,Agricultural Museum - Fairgrounds,"1800 College Road, Fairbanks, AK 99101",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-455,Fairbanks No.1,,election_day,FNSB Borough Offices,"809 Pioneer Road, Fairbanks, AK 99707",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-465,Fairbanks No.2,,election_day,Golden Towers,"330 3rd Avenue, Fairbanks, AK 99701",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-470,Fairbanks No.3,,election_day,Noel Wien Library,"1215 Cowles Street, Fairbanks, AK 99701",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-475,Fairbanks No.4,,election_day,National Guard Armory,"202 Wien Street, Fairbanks, AK 99701",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-480,Fairbanks No.5,,election_day,Pioneer Park Centennial Center,"2300 Airport Way, Fairbanks, AK 99707",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-485,Fairbanks No.6,,election_day,Shopper’s Forum Mall,"1255 Airport Way, Fairbanks, AK 99707",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-490,Fairbanks No.7,,election_day,JP Jones Community Dev Center,"2400 Rickert Street, Fairbanks, AK 99707",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,01-495,Fairbanks No.10,,election_day,Pioneer Park Centennial Center,"2300 Airport Way, Fairbanks, AK 99707",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,02-345,Badger No.2,,election_day,Badger Plaza,"771 Badger Road, Fairbanks, AK 99711",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,02-355,Fairbanks No.8,,election_day,Frontier Outfitters/Gavora Mall,"250 Third Street, Suite 6, Fairbanks, AK 99701",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,02-365,Fairbanks No.9,,election_day,Tanana Middle School,"600 Trainor Gate Road, Fairbanks, AK 99701",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,02-375,Fort Wainwright,,election_day,Last Frontier Community Activity Center,"1044 Apple Street, Fort Wainwright, AK 99703",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,03-130,Badger No.1,,election_day,New Hope Methodist-Presbyterian Church,"2371 Bradway Road, North Pole, AK 99705",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,03-135,Chena Lakes,,election_day,Santa Senior Center,"101 E 5th Avenue, North Pole, AK 99705",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,03-165,Newby,,election_day,North Pole Plaza Mall,"301 N Santa Claus Ln., North Pole, AK 99707",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,03-175,North Pole,,election_day,North Pole City Hall,"125 Snowman Lane, North Pole, AK 99705",,ORR,2019-05-13,
2012-11-06,AK,,Fairbanks North Star,borough,03-183,Plack,,election_day,North Pole Plaza Mall,"301 N Santa Claus Ln., North Pole, AK 99707",,ORR,2019-05-13,
