FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
05,2012-11-06,polling_location,Quitman City Hall,5 Second Street Quitman AR 721305,South Cadron Inside
05,2012-11-06,polling_location,Quitman City Hall,5 Second Street Quitman AR 721305,South Cadron Outside
05,2012-11-06,polling_location,Woodrow Baptist Church,2840 Prim Road Prim AR 72130,California
05,2012-11-06,polling_location,First Christian Church,4001 Club Manor Dr. Maumelle AR 72113,5
05,2012-11-06,polling_location,First Christian Church,4001 Club Manor Dr. Maumelle AR 72113,9
05,2012-11-06,polling_location,Higden Town Hall,29 Oak Street Higden AR 72067,Saline Inside
05,2012-11-06,polling_location,Higden Town Hall,29 Oak Street Higden AR 72067,Saline Outside
05,2012-11-06,polling_location,Peace Lutheran Church,800 S. Donahey Ave Conway AR 72034,4A
05,2012-11-06,polling_location,St Mary'S Catholic Church Parish Hall,1998 Hwy 412 Siloam Springs AR 727605,11
05,2012-11-06,polling_location,Rose Hill Cumberland Presbyterian,2133 Highway 83 North Monticello AR 71655,Marion N - Box 1
05,2012-11-06,polling_location,Bella Vista Church Of Christ,8889 W. Mcnelly Road Bentonville AR 72712,31
05,2012-11-06,polling_location,Sylvan Hills Community Church,8019 Hwy 107 Sherwood AR 0,40
05,2012-11-06,polling_location,Wedington Comm. Bldg.,  AR 0,Wedington
05,2012-11-06,polling_location,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,29
05,2012-11-06,polling_location,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,30
05,2012-11-06,polling_location,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,33
05,2012-11-06,polling_location,Pilgrim Rest Baptist Church,3801 Springer Blvd. Little Rock AR 0,135
05,2012-11-06,polling_location,Hope Lutheran Church,14000 Eden Isle Pike Heber Springs AR 72543,Valley
05,2012-11-06,polling_location,Garner City Hall,107 S Main Garner AR 0,Garner City
05,2012-11-06,polling_location,Garner City Hall,107 S Main Garner AR 0,Garner Township
05,2012-11-06,polling_location,Shady Grove Baptist Church,103 West Highway 172 Monticello AR 71655,Marion South
05,2012-11-06,polling_location,Omaha Center,20 Omaha Cr Cherokee Village AR 72529,Cherokee Village
05,2012-11-06,polling_location,Camp Firestation,5913 Hwy 9 N Camp AR 72520,Southfork - Wilson
05,2012-11-06,polling_location,Pea Ridge Emergency Services Building,293 S. Curtis Avenue Pea Ridge AR 727505,33
05,2012-11-06,polling_location,Morriston Firestation #2,1583 Hwy 289 S Glencoe AR 72539,Strawberry
05,2012-11-06,polling_location,Sturkio Firestation,5540 Sturkie Rd Sturkie AR 72578,Washington
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1A
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1B
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1C
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1D
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1F
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1G
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1H
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1J
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1M
05,2012-11-06,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,1N
05,2012-11-06,polling_location,Webb Ceter,127 Pleasant Hot Springs AR 0,2F
05,2012-11-06,polling_location,Webb Ceter,127 Pleasant Hot Springs AR 0,2K
05,2012-11-06,polling_location,Webb Ceter,127 Pleasant Hot Springs AR 0,2M
