election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,AR,,,county,,South Cadron Inside,,polling_location,Quitman City Hall,5 Second Street Quitman AR 721305,,VIP,2020-01-12,
2012-11-06,AR,,,county,,South Cadron Outside,,polling_location,Quitman City Hall,5 Second Street Quitman AR 721305,,VIP,2020-01-12,
2012-11-06,AR,,,county,,California,,polling_location,Woodrow Baptist Church,2840 Prim Road Prim AR 72130,,VIP,2020-01-12,
2012-11-06,AR,,,county,,5,,polling_location,First Christian Church,4001 Club Manor Dr. Maumelle AR 72113,,VIP,2020-01-12,
2012-11-06,AR,,,county,,9,,polling_location,First Christian Church,4001 Club Manor Dr. Maumelle AR 72113,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Saline Inside,,polling_location,Higden Town Hall,29 Oak Street Higden AR 72067,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Saline Outside,,polling_location,Higden Town Hall,29 Oak Street Higden AR 72067,,VIP,2020-01-12,
2012-11-06,AR,,,county,,4A,,polling_location,Peace Lutheran Church,800 S. Donahey Ave Conway AR 72034,,VIP,2020-01-12,
2012-11-06,AR,,,county,,11,,polling_location,St Mary'S Catholic Church Parish Hall,1998 Hwy 412 Siloam Springs AR 727605,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Marion N - Box 1,,polling_location,Rose Hill Cumberland Presbyterian,2133 Highway 83 North Monticello AR 71655,,VIP,2020-01-12,
2012-11-06,AR,,,county,,31,,polling_location,Bella Vista Church Of Christ,8889 W. Mcnelly Road Bentonville AR 72712,,VIP,2020-01-12,
2012-11-06,AR,,,county,,40,,polling_location,Sylvan Hills Community Church,8019 Hwy 107 Sherwood AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Wedington,,polling_location,Wedington Comm. Bldg.,  AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,29,,polling_location,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,30,,polling_location,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,33,,polling_location,Jacksonville Community Center,5 Municipal Dr. Jacksonville AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,135,,polling_location,Pilgrim Rest Baptist Church,3801 Springer Blvd. Little Rock AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Valley,,polling_location,Hope Lutheran Church,14000 Eden Isle Pike Heber Springs AR 72543,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Garner City,,polling_location,Garner City Hall,107 S Main Garner AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Garner Township,,polling_location,Garner City Hall,107 S Main Garner AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Marion South,,polling_location,Shady Grove Baptist Church,103 West Highway 172 Monticello AR 71655,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Cherokee Village,,polling_location,Omaha Center,20 Omaha Cr Cherokee Village AR 72529,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Southfork - Wilson,,polling_location,Camp Firestation,5913 Hwy 9 N Camp AR 72520,,VIP,2020-01-12,
2012-11-06,AR,,,county,,33,,polling_location,Pea Ridge Emergency Services Building,293 S. Curtis Avenue Pea Ridge AR 727505,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Strawberry,,polling_location,Morriston Firestation #2,1583 Hwy 289 S Glencoe AR 72539,,VIP,2020-01-12,
2012-11-06,AR,,,county,,Washington,,polling_location,Sturkio Firestation,5540 Sturkie Rd Sturkie AR 72578,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1A,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1B,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1C,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1D,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1F,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1G,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1H,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
2012-11-06,AR,,,county,,1J,,polling_location,AR School for Math & Science,200 Whittington Hot Springs AR 0,,VIP,2020-01-12,
