election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,CA,Alameda,Alameda,county,,,,,21ST AMENDMENT BREWERY,"2010 WILLIAMS ST, SAN LEANDRO, CA 94577",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,Alameda County Registrar of Voters Office,"1225 Fallon St, Room G-1, Oakland, CA 94612",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ALAMEDA HIGH SCHOOL,"2201 ENCINAL AVE, ALAMEDA, CA 94501",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ALBANY VETERANS MEMORIAL BUILDING,"1325 PORTLAND AVE, ALBANY, CA 94706",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ALLEN TEMPLE,"8501 INTERNATIONAL BLVD, OAKLAND, CA 94621",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ALMANAC BEER COMPANY,"651 W TOWER AVE, ALAMEDA, CA 94501",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ALOFT SILICON VALLEY HOTEL,"8200 GATEWAY BLVD, NEWARK, CA 94560",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ALTAMONT CREEK ELEMENTARY SCHOOL,"6500 GARAVENTA RANCH RD, LIVERMORE, CA 94551",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,AMERICAN HIGH SCHOOL,"36300 FREMONT BLVD, FREMONT, CA 94536",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ARDENWOOD ELEMENTARY SCHOOL,"33955 EMILIA LN, FREMONT, CA 94555",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ARROYO HIGH SCHOOL,"15701 LORENZO AVE, SAN LORENZO, CA 94580",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ARROYO SECO SCHOOL MULTI-PURPOSE ROOM,"5280 IRENE WAY, LIVERMORE, CA 94550",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,ASCEND SCHOOL,"3709 E 12TH ST, OAKLAND, CA 94601",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,BARBARA LEE CENTER,"2251 BANCROFT AVE, SAN LEANDRO, CA 94577",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,"BERKELEY HIGH SCHOOL, GYM","1980 ALLSTON WAY, BERKELEY, CA 94704",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,BOTHWELL ARTS CENTER,"2466 8TH ST, LIVERMORE, CA 94550",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,BROOKFIELD VILLAGE ELEMENTARY SCHOOL,"401 JONES AVE, OAKLAND, CA 94603",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,CAL STATE EAST BAY,"25800 CARLOS BEE BLVD, HAYWARD, CA 94542",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,CANYON MIDDLE SCHOOL,"19600 CULL CANYON RD, CASTRO VALLEY, CA 94552",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,CASTRO VALLEY LIBRARY,"3600 NORBRIDGE AVE, CASTRO VALLEY, CA 94546",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,CESAR CHAVEZ MIDDLE SCHOOL,"2801 HOP RANCH RD, UNION CITY, CA 94587",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,CHABOT COLLEGE,"25555 HESPERIAN BLVD, HAYWARD, CA 94545",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,CITY OF BERKELEY PRIVATE BUILDING,"1011 UNIVERSITY AVE, BERKELEY, CA 94710",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,DOWNTOWN HAYWARD PUBLIC LIBRARY,"888 C ST, HAYWARD, CA 94541",,ORR,2020-10-15,
2020-11-03,CA,Alameda,Alameda,county,,,,,DUBLIN SENIOR CENTER,"7600 AMADOR VALLEY BLVD, DUBLIN, CA 94568",,ORR,2020-10-15,
