election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2014-11-04,CT,,Andover,town,001-00,Andover Town Hall,,polling_place,Andover Town Hall,"17 School Road, Andover, CT 06232",,ORR,2019-09-04,
2014-11-04,CT,,Ansonia,town,001-00,Saint Anthonys Church,,polling_place,Saint Anthonys Church,"199 North Main Street, Ansonia, CT 06401",,ORR,2019-09-04,
2014-11-04,CT,,Ansonia,town,002-01,First Congregational Church 01,,polling_place,First Congregational Church 01,"44 South Cliff Street, Ansonia, CT 06401",,ORR,2019-09-04,
2014-11-04,CT,,Ansonia,town,003-01,Holy Rosary Church 01,,polling_place,Holy Rosary Church 01,"3 Father Salemi Drive, Ansonia, CT 06401",,ORR,2019-09-04,
2014-11-04,CT,,Ansonia,town,004-00,Ansonia Middle School,,polling_place,Ansonia Middle School,"115 Howard Avenue Gym, Ansonia, CT 06401",,ORR,2019-09-04,
2014-11-04,CT,,Ansonia,town,005-00,5th Ward At Ansonia Middle School,,polling_place,5th Ward At Ansonia Middle School,"115 Howard Avenue Gym, Ansonia, CT 06401",,ORR,2019-09-04,
2014-11-04,CT,,Ansonia,town,006-00,Prendergast School,,polling_place,Prendergast School,"59 Finney Street, Ansonia, CT 06401",,ORR,2019-09-04,
2014-11-04,CT,,Ansonia,town,007-00,Mead School,,polling_place,Mead School,"75 Ford Street, Ansonia, CT 06401",,ORR,2019-09-04,
2014-11-04,CT,,Ashford,town,001-00,Knowlton Memorial Hall,,polling_place,Knowlton Memorial Hall,"25 Pompey Hollow Road, Ashford, CT 06278",,ORR,2019-09-04,
2014-11-04,CT,,Avon,town,001-00,Avon High School - Gymnasium,,polling_place,Avon High School - Gymnasium,"510 West Avon Road, Avon, CT 06001",,ORR,2019-09-04,
2014-11-04,CT,,Avon,town,002-00,Firehouse Company #1,,polling_place,Firehouse Company #1,"25 Darling Drive, Avon, CT 06001",,ORR,2019-09-04,
2014-11-04,CT,,Avon,town,004-00,Roaring Brook School,,polling_place,Roaring Brook School,"30 Old Wheeler Lane, Avon, CT 06001",,ORR,2019-09-04,
2014-11-04,CT,,Barkhamsted,town,001-00,Barkhamsted Elementary School,,polling_place,Barkhamsted Elementary School,"65 Ripley Hill Road, Barkhamsted, CT 06063",,ORR,2019-09-04,
