"ED RD ","SEN ","LEVY CITY ","POLLING NAME ","BALLOT ","ADDRESS ","CITY ZIP ","",
"05 OF 31 ","17 ","02 ","WILLIAM HENRY MIDDLE SCHOOL ","","65 CARVER RD ","DOVER ","19904 ",
"06 OF 31 ","17 ","02 ","BPOE #1903 ELKS LODGE ","","200 SAULSBURY RD ","DOVER ","19904 ",
"07 OF 31 ","17 ","02 ","WILLIAM HENRY MIDDLE SCHOOL ","","65 CARVER RD ","DOVER ","19904 ",
"08 OF 31 ","17 ","03 ","BPOE #1903 ELKS LODGE ","","200 SAULSBURY RD ","DOVER ","19904 ",
"09 OF 31 ","17 ","03 ","FAIRVIEW ELEM SCHOOL ","","700 WALKER ROAD ","DOVER ","19904 ",
"10 OF 31 ","17 ","02 ","SOUTH DOVE ELEM SCHOOL ","","955 S STATE ST ","DOVER 19901 ","",
"11 OF 31 ","17 ","02 ","W REILY BROWN ELEM SCHOOL ","","360 WEBBS LN ","DOVER ","19901 ",
"16 OF 31 ","","","FEDERAL VOTING DISTRICT - KE ","","100 ENTERPRISE PL, STE 5 ","DOVER ","19904 ",
"01 OF 32 ","17 ","03 ","EAST DOVER ELEM SCHOOL ","","852 S LITTLE CREEK RD ","DOVER 19901 ","",
"02 OF 32 ","17 ","02 ","SOUTH DOVER ELEM SCHOOL ","","955 S STATE ST ","DOVER 19901 ","",
"03 OF 32 ","17 ","02 ","W REILY BROWN ELEM SCHOOL ","","360 WEBBS LN ","DOVER ","19904 ",
"04 OF 32 ","17 ","05 ","W REILY BROWN ELEM SCHOOL ","","360 WEBBS LN ","DOVER ","19904 ",
"05 OF 32 ","16 ","02 ","W REILY BROWN ELEM SCHOOL ","","360 WEBBS LN ","DOVER ","19904 ",
"06 OF 32 ","16 ","03 ","LITTLE CREEK FIRE HALL ","","311 MAIN ST ","LITTLE CREEK 19961 ","",
"07 OF 32 ","17 ","03 ","EAST DOVER ELEM SCHOOL ","","852 S LITTLE CREEK RD ","DOVER ","19901 ",
"08 OF 32 ","16 ","05 ","LITTLE CREEK FIRE HALL ","","311 MAIN ST ","LITTLE CREEK 19961 ","",
"09 OF 32 ","16 ","05 ","EAST DOVER ELEM SCHOOL ","","852 S LITTLE CREEK RD ","DOVER 19901 ","",
"10 OF 32 ","16 ","05 ","W REILY BROWN ELEM SCHOOL ","","360 WEBBS LN ","DOVER ","19904 ",
"11 OF 32 ","16 ","05 ","ALLEN FREAR ELEM SCHOOL ","","238 SORGHUM MILL RD ","CAMDEN WYOMING ","19934 ",
"12 OF 32 ","16 ","04 ","F NEIL POSTLETHWAIT SCHOOL ","","2841 S STATE ST ","CAMDEN WYOMING ","19934 ",
"01 OF 33 ","16 ","05 ","RURITAN CLUB VIOLA ","","29 RURITAN LN ","VIOLA ","19979 ",
"02 OF 33 ","16 ","04 ","F. NEIL POSTLETHWAIT SCHOOL ","","2841 S STATE ST ","CAM-WYO ","19934 ",
"03 OF 33 ","16 ","04 ","MAGNOLIA FIRE HALL ","","2 N MAIN STREET ","MAGNOLIA ","19962 ",
"04 OF 33 ","16 ","04 ","LAKE FOREST EAST ELEM SCHOOL ","","124 W FRONT ST ","FREDERICA ","19946 ",
"05 OF 33 ","16 ","04 ","LAKE FOREST EAST ELEM SCHOOL ","","124 W FRONT ST ","FREDERICA ","19946 ",
