"ED RD ","SEN ","LEVY CITY ","POLLING NAME ","BALLOT ADDRESS ","CITY ","ZIP ",
"06 OF 33 ","15 ","06 ","LAKE FOREST HIGH SCHOOL ","5407 KILLENS POND RD ","FELTON ","19943 ",
"07 OF 33 ","18 ","04 ","HOUSTON FIRE HALL ","143 BROAD ST ","HOUSTON ","19954 ",
"08 OF 33 ","18 ","04 ","MILFORD HIGH SCHOOL ","1019 N WALNUT ST ","MILFORD ","19963 ",
"09 OF 33 ","18 ","04 ","MILFORD HIGH SCHOOL ","1019 N WALNUT STREET ","MILFORD ","19963 ",
"10 OF 33 ","16 ","04 ","FREDERICA FIRE HALL ","2 FRONT ST ","FREDERICA ","19946 ",
"01 OF 34 ","17 ","05 ","W B SIMPSON ELEM SCHOOL ","5 OLD NORTH RD ","CAM-WYO ","19934 ",
"02 OF 34 ","16 ","05 ","NELLIE STOKES ELEM SCHOOL ","3874 UPPERKING RD ","DOVER ","19904 ",
"03 OF 34 ","17 ","05 ","CAESAR RODNEY HIGH SCHOOL ","239 OLD NORTH RD ","CAMDEN WYOMING ","19934 ",
"04 OF 34 ","16 ","05 ","RURITAN CLUB VIOLA ","29 RURITAN LN ","VIOLA ","19979 ",
"05 OF 34 ","16 ","05 ","POLYTECH ","823 WALNUT SHADE RD ","WOODSIDE ","19980 ",
"06 OF 34 ","16 ","05 ","POLYTECH ","823 WALNUT SHADE RD ","WOODSIDE ","19980 ",
"07 OF 34 ","16 ","02 ","F. NEIL POSTLEWAIT SCHOOL ","2841 S STATE ST ","CAM-WYO ","19934 ",
"08 OF 34 ","16 ","05 ","ALLEN FREAR ELEM SCHOOL ","238 SORGHUM MILL RD ","CAM-WYO ","19934 ",
"09 OF 34 ","16 ","05 ","STARHILL ELEM SCHOOL ","594 VOSHELLS MILL STAR HILL RD ","DOVER ","19901 ",
"10 OF 34 ","16 ","04 ","POLYTECH HIGH SCHOOL ","823 WALNUT SHADE RD ","WOODSIDE ","19980 ",
"11 OF 34 ","16 ","02 ","FRED FIFER MIDDLE SCHOOL ","109 E CAM-WYO AVE ","AMDEN-WYOMING ","19934 ",
