"PVD* ","COMBINED ","WITH ","PVD ","NAME ","ADDRESS ","CITY ","ZIP ",
"05-11 ","","","","KENTON SCHOOL ","265 MAIN ST ","KENTON ","19955 ",
"06-11 ","08-11 ","","","HARTLY FIRE HALL ","2898 ARTHURSVILLE RD ","HARTLY ","19953 ",
"07-11 ","","","","KENTON RURITAN CLUB ","249 S MAIN ST. ","KENTON ","19955 ",
"09-11 ","","","","MARYDEL FIRE HALL ","110 FIREHOUSE LN ","MARYDEL ","19964 ",
"10-11 ","","","","FRED FIFER III MIDDLE SCHOOL ","109 E CAM-WYO AVE ","CAM-WYO ","19934 ",
"01-28 ","","","","SMYRNA MIDDLE SCHOOL ","700 DUCK CRFEEK PARKWAY ","SMYRNA ","19977 ",
"02-28 ","","","","LEVIN CENTER ","27 W MAIN ST ","SMYRNA ","19977 ",
"03-28 ","06-28 ","","","CITIZENS HOSE FIRE CO 1 ","103 W COMMERCE ST ","SMYRNA ","19977 ",
"04-28 ","05-28 ","12-28 ","","SUNNYSIDE ELEMENTARY SCHOOL ","123 RABBIT CHASE LANE ","SMYRNA ","19977 ",
"07-28 ","08-28 ","13-28 ","14-28 ","LEIPSIC FIRE HALL ","318 MAIN ST ","DOVER ","19901 ",
"09-28 ","","","","DEL TECH CORP TRAINING CENTER ","400 CAMPUS DR ","DOVER ","19904 ",
"10-28 ","","","","TOWNE POINT ELEMENTARY SCHOOL ","629 BUCKSON DR ","DOVER ","19901 ",
"11-28 ","","","","LITTLE CREEK FIRE HALL ","311 MAIN ST ","LITTLE CREEK ","19961 ",
"01-29 ","02-29 ","","","CLAYTON FIRE HALL ","214 RAILROAD AVE ","CLAYTON ","19938 ",
"03-29 ","04-29 ","05-29 ","06-29 ","CHESWOLD FIRE HALL ","371 MAIN ST ","CHESWOLD ","19938 ",
"07-29 ","","","","DEL TECH CORP TRAINING CNTR ","400 CAMPUS DR ","DOVER ","19904 ",
"08-29 ","11-29 ","12-29 ","","STATE FIRE SCHOOL ","1461 CHESTNUT GROVE RD ","DOVER ","19904 ",
"09-29 ","10-29 ","","","FRED FIFER III MIDDLE SCHOOL ","109 E CAM-WYO AVE ","CAM-WYO ","19934 ",
"13-29 ","","","","NELLIE STOKES ","3874 UPPER KING RD ","DOVER ","19904 ",
"01-30 ","","","","WILLOW GROVE CHURCH OF GOD ","56 HONEYSUCKLE RD ","CAM-WYO ","19934 ",
"02-30 ","","","","RURITAN CLUB VIOLA ","29 RURITAN LN ","VIOLA ","19979 ",
"03-30 ","04-30 ","","","FELTON FIRE HALL ","9 MAIN ST ","FELTON ","19943 ",
"05-30 ","06-30 ","","","LAKE FOREST HIGH SCHOOL ","5407 KILLENS POND RD ","FELTON ","19943 ",
"07-30 ","08-30 ","09-30 ","","HARRINGTON FIRE HALL ","20 CLARK ST ","HARRINGTON ","19952 ",
"10-30 ","","","","HOUSTON FIRE HALL ","143 BROAD ST ","HOUSTON ","19954 ",
"11-30 ","12-30 ","","","FARMINGTON FIRE HALL ","20920 S DUPONT HWY ","FARMINGTON ","19950 ",
"01-31 ","","","","DEL TECH CORP TRAINING CNTR ","400 CAMPUS DR ","DOVER ","19904 ",
"02-31 ","","","","STATE FIRE SCHOOL ","1461 CHESTNUT GROVE RD ","DOVER ","19904 ",
"03-31 ","05-31 ","08-31 ","","BPOE #1903 ELKS ","200 SAULSBURY RD ","DOVER ","19904 ",
"04-31 ","","","","NORTH DOVER ELEM SCHOOL ","855 COLLEGE RD ","DOVER ","19904 ",
"06-31 ","07-31 ","11-31 ","","WILLIAM HENRY MIDDLE SCHOOL ","65 CARVER RD ","DOVER ","19904 ",
