election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-11-08,DE,Kent,Kent,county,05-11,,,,KENTON SCHOOL ,"265 MAIN ST, KENTON, DE 19955",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,06-11,,,,HARTLY FIRE HALL ,"2898 ARTHURSVILLE RD, HARTLY, DE 19953",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,08-11,,,,HARTLY FIRE HALL ,"2898 ARTHURSVILLE RD, HARTLY, DE 19953",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-11,,,,KENTON RURITAN CLUB ,"249 S MAIN ST., KENTON, DE 19955",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,09-11,,,,MARYDEL FIRE HALL ,"110 FIREHOUSE LN, MARYDEL, DE 19964",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-11,,,,FRED FIFER III MIDDLE SCHOOL ,"109 E CAM-WYO AVE, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,01-28,,,,SMYRNA MIDDLE SCHOOL ,"700 DUCK CRFEEK PARKWAY, SMYRNA, DE 19977",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,02-28,,,,LEVIN CENTER ,"27 W MAIN ST, SMYRNA, DE 19977",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,03-28,,,,CITIZENS HOSE FIRE CO 1 ,"103 W COMMERCE ST, SMYRNA, DE 19977",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,06-28,,,,CITIZENS HOSE FIRE CO 1 ,"103 W COMMERCE ST, SMYRNA, DE 19977",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,04-28,,,,SUNNYSIDE ELEMENTARY SCHOOL ,"123 RABBIT CHASE LANE, SMYRNA, DE 19977",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,05-28,,,,SUNNYSIDE ELEMENTARY SCHOOL ,"123 RABBIT CHASE LANE, SMYRNA, DE 19977",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,12-28,,,,SUNNYSIDE ELEMENTARY SCHOOL ,"123 RABBIT CHASE LANE, SMYRNA, DE 19977",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-28,,,,LEIPSIC FIRE HALL ,"318 MAIN ST, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,08-28,,,,LEIPSIC FIRE HALL ,"318 MAIN ST, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,13-28,,,,LEIPSIC FIRE HALL ,"318 MAIN ST, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,09-28,,,,DEL TECH CORP TRAINING CENTER ,"400 CAMPUS DR, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-28,,,,TOWNE POINT ELEMENTARY SCHOOL ,"629 BUCKSON DR, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,11-28,,,,LITTLE CREEK FIRE HALL ,"311 MAIN ST, LITTLE CREEK, DE 19961",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,01-29,,,,CLAYTON FIRE HALL ,"214 RAILROAD AVE, CLAYTON, DE 19938",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,02-29,,,,CLAYTON FIRE HALL ,"214 RAILROAD AVE, CLAYTON, DE 19938",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,03-29,,,,CHESWOLD FIRE HALL ,"371 MAIN ST, CHESWOLD, DE 19938",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,04-29,,,,CHESWOLD FIRE HALL ,"371 MAIN ST, CHESWOLD, DE 19938",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,05-29,,,,CHESWOLD FIRE HALL ,"371 MAIN ST, CHESWOLD, DE 19938",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-29,,,,DEL TECH CORP TRAINING CNTR ,"400 CAMPUS DR, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,08-29,,,,STATE FIRE SCHOOL ,"1461 CHESTNUT GROVE RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,11-29,,,,STATE FIRE SCHOOL ,"1461 CHESTNUT GROVE RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,12-29,,,,STATE FIRE SCHOOL ,"1461 CHESTNUT GROVE RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,09-29,,,,FRED FIFER III MIDDLE SCHOOL ,"109 E CAM-WYO AVE, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-29,,,,FRED FIFER III MIDDLE SCHOOL ,"109 E CAM-WYO AVE, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,13-29,,,,NELLIE STOKES ,"3874 UPPER KING RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,01-30,,,,WILLOW GROVE CHURCH OF GOD ,"56 HONEYSUCKLE RD, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,02-30,,,,RURITAN CLUB VIOLA ,"29 RURITAN LN, VIOLA, DE 19979",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,03-30,,,,FELTON FIRE HALL ,"9 MAIN ST, FELTON, DE 19943",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,04-30,,,,FELTON FIRE HALL ,"9 MAIN ST, FELTON, DE 19943",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,05-30,,,,LAKE FOREST HIGH SCHOOL ,"5407 KILLENS POND RD, FELTON, DE 19943",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,06-30,,,,LAKE FOREST HIGH SCHOOL ,"5407 KILLENS POND RD, FELTON, DE 19943",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-30,,,,HARRINGTON FIRE HALL ,"20 CLARK ST, HARRINGTON, DE 19952",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,08-30,,,,HARRINGTON FIRE HALL ,"20 CLARK ST, HARRINGTON, DE 19952",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,09-30,,,,HARRINGTON FIRE HALL ,"20 CLARK ST, HARRINGTON, DE 19952",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-30,,,,HOUSTON FIRE HALL ,"143 BROAD ST, HOUSTON, DE 19954",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,11-30,,,,FARMINGTON FIRE HALL ,"20920 S DUPONT HWY, FARMINGTON, DE 19950",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,12-30,,,,FARMINGTON FIRE HALL ,"20920 S DUPONT HWY, FARMINGTON, DE 19950",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,01-31,,,,DEL TECH CORP TRAINING CNTR ,"400 CAMPUS DR, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,02-31,,,,STATE FIRE SCHOOL ,"1461 CHESTNUT GROVE RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,03-31,,,,BPOE #1903 ELKS ,"200 SAULSBURY RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,05-31,,,,BPOE #1903 ELKS ,"200 SAULSBURY RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,08-31,,,,BPOE #1903 ELKS ,"200 SAULSBURY RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,04-31,,,,NORTH DOVER ELEM SCHOOL ,"855 COLLEGE RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,06-31,,,,WILLIAM HENRY MIDDLE SCHOOL ,"65 CARVER RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-31,,,,WILLIAM HENRY MIDDLE SCHOOL ,"65 CARVER RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,11-31,,,,WILLIAM HENRY MIDDLE SCHOOL ,"65 CARVER RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,09-31,,,,FAIRVIEW ELEM SCHOOL ,"700 WALKER RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-31,,,,SOUTH DOVER ELEM SCHOOL ,"955 S STATE ST, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,01-32,,,,EAST DOVER ELEM SCHOOL ,"852 S LITTLE CREEK RD, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-32,,,,EAST DOVER ELEM SCHOOL ,"852 S LITTLE CREEK RD, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,09-32,,,,EAST DOVER ELEM SCHOOL ,"852 S LITTLE CREEK RD, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,02-32,,,,SOUTH DOVER ELEM SCHOOL ,"955 S STATE ST, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,03-32,,,,W REILY BROWN ELEM SCHOOL ,"360 WEBBS LN, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,05-32,,,,W REILY BROWN ELEM SCHOOL ,"360 WEBBS LN, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-32,,,,W REILY BROWN ELEM SCHOOL ,"360 WEBBS LN, DOVER, DE 19901",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,04-32,,,,W.B. SIMPSON ELEM SCHOOL ,"5 OLD NORTH RD, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,06-32,,,,LITTLE CREEK FIRE HALL ,"311 MAIN ST, LITTLE CREEK, DE 19961",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,08-32,,,,LITTLE CREEK FIRE HALL ,"311 MAIN ST, LITTLE CREEK, DE 19961",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,11-32,,,,ALLEN FREAR ELEM SCHOOL ,"238 SORGHUM MILL RD, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,12-32,,,,F. NEIL POSTLETHWAIT SCHOOL ,"2841 S STATE ST, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,01-33,,,,RURITAN CLUN VIOLA ,"29 RURITAN LN, VIOLA, DE 19979",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,02-33,,,,F. NEIL POSTLETHWAIT SCHOOL ,"2841 S STATE ST, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,03-33,,,,MAGNOLIA FIRE HALL ,"2 N MAIN STREET, MAGNOLIA, DE 19962",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,04-33,,,,LAKE FOREST EAST ELEM SCHOOL ,"124 W FRONT ST, FREDERICA, DE 19946",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,05-33,,,,LAKE FOREST EAST ELEM SCHOOL ,"124 W FRONT ST, FREDERICA, DE 19946",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,06-33,,,,LAKE FOREST HIGH SCHOOL ,"5407 KILLENS POND RD, FELTON, DE 19943",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-33,,,,HOUSTON FIRE HALL ,"143 BROAD ST, HOUSTON, DE 19954",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,08-33,,,,MILFORD HIGH SCHOOL ,"1019 N WALNUT ST, MILFORD, DE 19963",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,09-33,,,,MILFORD HIGH SCHOOL ,"1019 N WALNUT ST, MILFORD, DE 19963",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-33,,,,FREDERICA FIRE HALL ,"2 FRONT ST, FREDERICA, DE 19946",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,01-34,,,,W.B. SIMPSON ELEM SCHOOL ,"5 OLD NORTH RD, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,02-34,,,,NELLIE STOKES ,"3874 UPPER KING RD, DOVER, DE 19904",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,03-34,,,,CAESAR RODNEY HIGH SCHOOL ,"239 OLD NORTH RD, CAM-WYO, DE 19934",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,04-34,,,,RURITAN CLUB VIOLA ,"29 RURITAN LN, VIOLA, DE 19979",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,05-34,,,,POLYTECH HIGH SCHOOL ,"823 WALNUT SHADE RD, WOODSIDE, DE 19980",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,06-34,,,,POLYTECH HIGH SCHOOL ,"823 WALNUT SHADE RD, WOODSIDE, DE 19980",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,10-34,,,,POLYTECH HIGH SCHOOL ,"823 WALNUT SHADE RD, WOODSIDE, DE 19980",,ORR,2019-09-05,
2016-11-08,DE,Kent,Kent,county,07-34,,,,F. NEIL POSTLETHWAIT SCHOOL ,"2841 S STATE ST, CAM-WYO, DE 19934",,ORR,2019-09-05,
