election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,GA,Appling,Appling,county,2,,001012,election_day,LIONS CLUB BLDG/ AT FAIR GROUNDS,"245 INDUSTRIAL DR, BAXLEY, GA 31513",OTHER,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,1C,,001018,election_day,1ST ASSEMBLY OF GOD CHURCH,"3397 HATCH PKY N, BAXLEY, GA 31513",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,1B,,001001,election_day,ALTAMAHA FIRE STATION,"392 ALTAMAHA SCHOOL RD, BAXLEY, GA 31513",County Building,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,4D,,001006,election_day,BAX CH OF GOD/FELLOWSHIP HALL,"353 BLACKSHEAR HWY, BAXLEY, GA 31513",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,5A,,001002,election_day,BAXLEY CITY GYM,"252 W. PARKER ST., BAXLEY, GA 31513",County Building,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,5B,,001024,election_day,BIG OAKS CH. OF GOD (SOCIAL HALL),"5274 LAKE MAYERS RD., BAXLEY, GA 31513",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,3C,,001008,election_day,EXTENSION EDUCATION BLDG/ 4H,"83 S OAK ST, BAXLEY, GA 31513",County Building,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,3A1,,001022,election_day,ZION BAPTIST CH,"525 ZION BAPTIST CH. RD., BAXLEY, GA 31513",,ORR,2020-10-19,
2020-11-03,GA,Appling,Appling,county,4B,,001010,election_day,ZION CH OF GOD,"16 PRATT HUTTO RD SE, SURRENCY, GA 31563",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Atkinson,Atkinson,county,0001,,002001,election_day,ATKINSON CO. ELECTION OFFICE,"636 AUSTIN AVENUE E, PEARSON, GA 31642",County Building,ORR,2020-10-19,
2020-11-03,GA,Atkinson,Atkinson,county,0002,,002002,election_day,AXSON FIRE DEPT.,"7191 ATKINSON BLVD. E., AXSON, GA 31624",County Building,ORR,2020-10-19,
2020-11-03,GA,Atkinson,Atkinson,county,0004,,002012,election_day,PEARSON CIVIC CENTER,"786 AUSTIN AVENUE EAST, PEARSON, GA 31642",MUNICIPAL BUILDING,ORR,2020-10-19,
2020-11-03,GA,Atkinson,Atkinson,county,0003,,002005,election_day,WILLACOOCHEE CITY HALL,"33 FLEETWOOD AVENUE, WILLACOOCHEE, GA 31650",MUNICIPAL BUILDING,ORR,2020-10-19,
2020-11-03,GA,Bacon,Bacon,county,DOUGL,,003002,election_day,BACON COUNTY ELECTIONS OFFICE,"232 WEST 12TH STREET, ALMA, GA 31510",,ORR,2020-10-19,
2020-11-03,GA,Baker,Baker,county,A,,004001,election_day,ANNA PRECINCT,"100 GA HWY 200, LEARY, GA 39862",,ORR,2020-10-19,
2020-11-03,GA,Baker,Baker,county,E,,004004,election_day,ELMODEL COURT HOUSE,"1694 JERICHO RD, NEWTON, GA",County Building,ORR,2020-10-19,
2020-11-03,GA,Baker,Baker,county,H,,004005,election_day,HOGGARDS MILL COURT HOUSE,"5600 HOGGARDS MILL RD, COLQUITT, GA",County Building,ORR,2020-10-19,
2020-11-03,GA,Baker,Baker,county,M,,004006,election_day,MILFORD COURT HOUSE,"1512 PATMOS MILFORD HWY, LEARY, GA",County Building,ORR,2020-10-19,
2020-11-03,GA,Baker,Baker,county,N,,004002,election_day,NEWTON PRECINCT - NEWTON BAPTIST CHURCH,"279 W. BROAD STREET, NEWTON, GA 39870",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,CTY4,,005001,election_day,BALDWIN COUNTY COURTHOUSE,"121 N WILKINSON ST, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,CTY2,,005002,election_day,CITY HALL ANNEX,"127 E HANCOCK ST, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,322,,005003,election_day,COOPERS FIRE DEPT,"252 COOPERS RD SW, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,CTY6,,005015,election_day,DUNLAP ROAD FIRE STATION,"751 DUNLAP RD NE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,MONT,,005006,election_day,EAST BALDWIN FIRE DEPARTMENT,"207 LOVERS LN NE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,CTY5,,005005,election_day,FIRE DEPARTMENT,"201 W THOMAS ST, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,CTY3,,005009,election_day,FORMERLY BODDIE MIDDLE SCHOOL,"1340 ORCHARD HILL RD, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,321E,,005010,election_day,HARDWICK BAPTIST CHURCH,"124 THOMAS ST SE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,321W,,005011,election_day,HARDWICK FIRE DEPT,"312 ALLEN MEMORIAL DR SW, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,MERI,,005012,election_day,MERIWETHER FIRE DEPARTMENT,"781 GA HIGHWAY 212 W, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,318,,005004,election_day,NORTH BALDWIN FIRE DEPARTMENT,"184 LOG CABIN RD NE, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,1714,,005013,election_day,SCOTTSBORO WATER TOWER,"164 GORDON HWY SW, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,CTY1,,005014,election_day,WALTER B WILLIAMS REC CENTER,"59 GA HIGHWAY 22 W, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Baldwin,Baldwin,county,319,,005007,election_day,WEST BALDWIN FIRE DEPARTMENT,"418 GA HIGHWAY 22 W, MILLEDGEVILLE, GA 31061",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0007,,006009,election_day,"FELLOWSHIP HALL, ROCK SPRINGS","747 ROCK SPRINGS RD, LULA, GA 30554",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0011,,006009,election_day,"FELLOWSHIP HALL, ROCK SPRINGS","747 ROCK SPRINGS RD, LULA, GA 30554",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0001,,006024,election_day,"GROVE LEVEL BAPTIST CHURCH, STUDENT CENTER","1702 GROVE LEVEL ROAD, MAYSVILLE, GA 30558",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0008,,006024,election_day,"GROVE LEVEL BAPTIST CHURCH, STUDENT CENTER","1702 GROVE LEVEL ROAD, MAYSVILLE, GA 30558",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0003,,006002,election_day,HOMER CITY HALL,"943 HISTORIC HOMER HWY, HOMER, GA 30547",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0010,,006002,election_day,HOMER CITY HALL,"943 HISTORIC HOMER HWY, HOMER, GA 30547",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0002,,006016,election_day,LAMAR CHURCH FELLOWSHIP HALL,"3247 HWY 105, BALDWIN, GA 30511",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0005,,006016,election_day,LAMAR CHURCH FELLOWSHIP HALL,"3247 HWY 105, BALDWIN, GA 30511",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0009,,006016,election_day,LAMAR CHURCH FELLOWSHIP HALL,"3247 HWY 105, BALDWIN, GA 30511",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0012,,006025,election_day,"NAILS CREEK CHURCH, FELLOWSHIP HALL","2743 HIGHWAY 51 N, HOMER, GA 30547",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0013,,006025,election_day,"NAILS CREEK CHURCH, FELLOWSHIP HALL","2743 HIGHWAY 51 N, HOMER, GA 30547",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0004,,006008,election_day,NEW SALEM METHODIST CHURCH FELLOWSHIP HALL,"2170 HWY 59, COMMERCE, GA 30530",,ORR,2020-10-19,
2020-11-03,GA,Banks,Banks,county,0006,,006008,election_day,NEW SALEM METHODIST CHURCH FELLOWSHIP HALL,"2170 HWY 59, COMMERCE, GA 30530",,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,02,,007028,election_day,BETHLEHEM CHURCH - 211 CAMPUS,"1054 OLD THOMPSON MILL RD, HOSCHTON, GA 30548",,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,01,,007024,election_day,BETHLEHEM COMMUNITY CENTER,"750 MANGER AVE, BETHLEHEM, GA 30620",,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,04,,007020,election_day,COVENANT LIFE SANCTUARY,"115 PATRICK MILL RD SW, WINDER, GA 30680",,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,05,,007012,election_day,FIRE STATION 1 (STATHAM),"1625 BETHLEHEM RD, STATHAM, GA 30666",,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,08,,007029,election_day,FIRST BAPTIST CHURCH WINDER,"625 JEFFERSON HWY, WINDER, GA 30680",CHURCH,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,03,,007002,election_day,HMONG NEW HOPE ALLIANCE CHURCH,"1622 UNION GROVE CHURCH RD, AUBURN, GA 30011",,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,16,,007022,election_day,THE CHURCH AT WINDER,"546 TREADWELL RD, BETHLEHEM, GA 30620",,ORR,2020-10-19,
2020-11-03,GA,Barrow,Barrow,county,13,,007017,election_day,WINDER COMMUNITY CENTER,"113 E ATHENS ST, WINDER, GA 30680",,ORR,2020-10-19,
2020-11-03,GA,Bartow,Bartow,county,02,,008003,election_day,ALLATOONA RESOURCE CENTER,"6503 GLADE RD, ACWORTH, GA 30102",County Building,ORR,2020-10-19,
