election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2018-11-06,IL,Adams,Adams County,county,100001,CONCORD 1,,polling_place,CONCORD TOWN HALL,"2718 N 1503RD LN, CLAYTON, IL 62324",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,10001,CLAYTON 1,,polling_place,CLAYTON AMERICAN LEGION,"111 S PARK ST, CLAYTON, IL 62324",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,110001,MCKEE 1,,polling_place,MCKEE TOWN HALL,"2980 N. 1200TH ST, CLAYTON, IL 62324",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,120001,BEVERLY 1,,polling_place,BEVERLY TOWN HALL,"2690 N. 250TH AVE, LIBERTY, IL 62347",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,130001,COLUMBUS 1,,polling_place,COLUMBUS SHELTER HOUSE,"113 E LIBERTY ST, COLUMBUS, IL 62328",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,140001,LIBERTY 1,,polling_place,LIBERTY TOWNSHIP HALL,"600 DUDLEY ST., LIBERTY, IL 62347",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,150001,RICHFIELD 1,,polling_place,RICHFIELD METHODIST CH,"397 E. 2050TH ST., PLAINVILLE, IL 62365",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,160001,GILMER 1,,polling_place,GILMER TOWN HALL,"1350 E. 1600TH ST., QUINCY, IL 62305",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,170001,BURTON 1,,polling_place,RICHARD MINNICK BUILDING,"873 E 1450TH ST LOT 2, LIBERTY, IL 62347",,ORR,2019-09-06,
2018-11-06,IL,Adams,Adams County,county,180001,PAYSON 1,,polling_place,PAYSON VILLAGE HALL,"114 N. MAIN ST., PAYSON, IL 62360",,ORR,2019-09-06,
