election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,IA,Adair,Adair,county,2NE,2NE STUART,,,STUART RECREATIONAL CENTER,"323 SW 2ND ST, STUART IA 50250",,ORR,2019-10-07,
2012-11-06,IA,Adair,Adair,county,4SE,4SE ORIENT,,,ORIENT UNITED METHODIST CHURCH,"124 S MAPLE ST, ORIENT IA 50858",,ORR,2019-10-07,
2012-11-06,IA,Adair,Adair,county,5GF,5GF GREENFIELD,,,ADAIR CO HEALTH & FITNESS CENTER,"202 N TOWNLINE RD, GREENFIELD IA 50849",,ORR,2019-10-07,
2012-11-06,IA,Adair,Adair,county,3SW,3SW FONTANELLE,,,FONTANELLE COMMUNITY BUILDING,"224 3RD ST, FONTANELLE IA 50846",,ORR,2019-10-07,
2012-11-06,IA,Adair,Adair,county,1NW,1NW ADAIR,,,ADAIR COMMUNITY CENTRE,"103 S 5TH ST, ADAIR IA 50002",,ORR,2019-10-07,
2012-11-06,IA,Adams,Adams,county,AD1,ADAMS 1,,,CORNING COMMUNITY CENTER,"606 6TH STREET, CORNING IA 50841",,ORR,2019-10-07,
2012-11-06,IA,Adams,Adams,county,AD3,ADAMS 3,,,REDEEMER LUTHERAN CHURCH,"800 17TH ST, CORNING IA 50841",,ORR,2019-10-07,
2012-11-06,IA,Adams,Adams,county,AD5,ADAMS 5,,,PRESCOTT CITY HALL,"607 2ND ST, PRESCOTT IA 50859",,ORR,2019-10-07,
2012-11-06,IA,Adams,Adams,county,AD2,ADAMS 2,,,CORNING CITY LIBRARY,"603 9TH STREET, CORNING IA 50841",,ORR,2019-10-07,
2012-11-06,IA,Adams,Adams,county,AD4,ADAMS 4,,,NODAWAY COMMUNITY BUILDING,"300 7TH AVE, NODAWAY IA 50857",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 1,WL/HV,,,ST. MARY'S CHURCH DORCHESTER,"590 WATERLOO CREEK DR, DORCHESTER IA 52140",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 3,PO/FK,,,TURNER HALL,"119 E GREENE ST, POSTVILLE IA 52162",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 5,PC/LT/WV CITY,,,WATERVILLE CITY HALL,"115 MAIN ST, WATERVILLE IA 52170",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 6,FV/TL/HF CITY,,,HARPERS FERRY COMMUNITY CENTER,"238 N 4, HARPERS FERRY IA 52146",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 8,UC/IA/NA CITY,,,NEW ALBIN COMMUNITY CENTER,"137 RAILROAD AVE SW, NEW ALBIN IA 52160",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 4,PV CITY,,,TURNER HALL,"119 E GREENE ST, POSTVILLE IA 52162",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 11,WK 3 CITY,,,ALLAMAKEE COURTHOUSE,"110 ALLAMAKEE ST, WAUKON IA 52172",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 10,WK 2 CITY,,,ST. JOHN'S LUTHERAN CHURCH,"8 5 ST SW, WAUKON IA 52172",,ORR,2019-10-07,
2012-11-06,IA,Allamakee,Allamakee,county,PCT 9,WK 1 CITY,,,NICC CENTER,"101 ALLAMAKEE ST, WAUKON IA 52172",,ORR,2019-10-07,
