FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
21,2018-11-06,polling_location,FIREBRICK VOLUNTEER FIRE DEPT,322 FIREBRICK INDIAN RUN RD FIREBRICK KY 41137,FIREBRICK
21,2018-11-06,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,20-4-1
21,2018-11-06,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,20-4-2
21,2018-11-06,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,20-4-3
21,2018-11-06,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,20-4-4
21,2018-11-06,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,20-4-5
21,2018-11-06,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,20-4-6
21,2018-11-06,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,20-4-7
21,2018-11-06,polling_location,FIRE DEPT,35 PROVIDENCE RD MARION KY 42064,SHADY GROVE #12
21,2018-11-06,polling_location,SOUTHERN MIDDLE SCHOOL,200 ENTERPRISE DR SOMERSET KY 42501,BOURBON EAST 10 E
21,2018-11-06,polling_location,SOUTHERN MIDDLE SCHOOL,200 ENTERPRISE DR SOMERSET KY 42501,EAST BURNSIDE COUNTY 36E
21,2018-11-06,polling_location,HAYES CROSSING HALDEMAN FIRE DEP,6400 US 60 E MOREHEAD KY 40351,EADSTON
21,2018-11-06,polling_location,PARKWAY BAPTIST CHURCH,2580 SPRINGFIELD RD BARDSTOWN KY 40004,B1
21,2018-11-06,polling_location,BETHANY SCHOOL GYM,66 BETHANY ROAD CAMPTON KY 41301,HOLLY #5
21,2018-11-06,polling_location,WOODBINE FIRE DEPARTMENT,877 HWY 6 WOODBINE KY 40771,WOODBINE
21,2018-11-06,polling_location,JUSTICE SUPPLY,3139 E SHELBIANA RD PIKEVILLE KY 41501,UPPER CHLOE
21,2018-11-06,polling_location,CROSSROADS COMMUNITY CHURCH,4128 TODDS RD LEXINGTON KY 40509,AUTUMN RIDGE
21,2018-11-06,polling_location,CROSSROADS COMMUNITY CHURCH,4128 TODDS RD LEXINGTON KY 40509,CHESTNUT HILL
21,2018-11-06,polling_location,CROSSROADS COMMUNITY CHURCH,4128 TODDS RD LEXINGTON KY 40509,DEER CROSSING
21,2018-11-06,polling_location,ASCAMP COMMUNITY BUILDING,10381 ELKHORN CREEK RD ASHCAMP KY 41512,ASHCAMP
21,2018-11-06,polling_location,HURRICANE VOL FIRE DEPT,2981 HURRICANE RD PIKEVILLE KY 41501,HURRICANE
21,2018-11-06,polling_location,COURTHOUSE,210 MAIN ST WILLIAMSBURG KY 40769,COURTHOUSE
21,2018-11-06,polling_location,CLAY COUNTY ADMINISTRATION BLDG,102 RICHMOND RD MANCHESTER KY 40962,EAST MANCHESTER
21,2018-11-06,polling_location,FIRST BAPTIST CHURCH OF PROSPECT GYM,8911 US HIGHWAY 42 LOUISVILLE KY 40059,PRECINCT 125 48 DISTRICT
