election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2018-11-06,KY,,,county,FIREBRICK,FIREBRICK,,polling_location,FIREBRICK VOLUNTEER FIRE DEPT,322 FIREBRICK INDIAN RUN RD FIREBRICK KY 41137,,VIP,2019-10-21,
2018-11-06,KY,,,county,20-4-1,20-4-1,,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,,VIP,2019-10-21,
2018-11-06,KY,,,county,20-4-2,20-4-2,,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,,VIP,2019-10-21,
2018-11-06,KY,,,county,20-4-3,20-4-3,,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,,VIP,2019-10-21,
2018-11-06,KY,,,county,20-4-4,20-4-4,,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,,VIP,2019-10-21,
2018-11-06,KY,,,county,20-4-5,20-4-5,,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,,VIP,2019-10-21,
2018-11-06,KY,,,county,20-4-6,20-4-6,,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,,VIP,2019-10-21,
2018-11-06,KY,,,county,20-4-7,20-4-7,,polling_location,WARREN CO BOARD OF EDUCATION,303 LOVERS LN BOWLING GREEN KY 42101,,VIP,2019-10-21,
2018-11-06,KY,,,county,SHADY GROVE #12,SHADY GROVE #12,,polling_location,FIRE DEPT,35 PROVIDENCE RD MARION KY 42064,,VIP,2019-10-21,
2018-11-06,KY,,,county,BOURBON EAST 10 E,BOURBON EAST 10 E,,polling_location,SOUTHERN MIDDLE SCHOOL,200 ENTERPRISE DR SOMERSET KY 42501,,VIP,2019-10-21,
2018-11-06,KY,,,county,EAST BURNSIDE COUNTY 36E,EAST BURNSIDE COUNTY 36E,,polling_location,SOUTHERN MIDDLE SCHOOL,200 ENTERPRISE DR SOMERSET KY 42501,,VIP,2019-10-21,
2018-11-06,KY,,,county,EADSTON,EADSTON,,polling_location,HAYES CROSSING HALDEMAN FIRE DEP,6400 US 60 E MOREHEAD KY 40351,,VIP,2019-10-21,
2018-11-06,KY,,,county,B1,B1,,polling_location,PARKWAY BAPTIST CHURCH,2580 SPRINGFIELD RD BARDSTOWN KY 40004,,VIP,2019-10-21,
2018-11-06,KY,,,county,HOLLY #5,HOLLY #5,,polling_location,BETHANY SCHOOL GYM,66 BETHANY ROAD CAMPTON KY 41301,,VIP,2019-10-21,
2018-11-06,KY,,,county,WOODBINE,WOODBINE,,polling_location,WOODBINE FIRE DEPARTMENT,877 HWY 6 WOODBINE KY 40771,,VIP,2019-10-21,
2018-11-06,KY,,,county,UPPER CHLOE,UPPER CHLOE,,polling_location,JUSTICE SUPPLY,3139 E SHELBIANA RD PIKEVILLE KY 41501,,VIP,2019-10-21,
2018-11-06,KY,,,county,AUTUMN RIDGE,AUTUMN RIDGE,,polling_location,CROSSROADS COMMUNITY CHURCH,4128 TODDS RD LEXINGTON KY 40509,,VIP,2019-10-21,
2018-11-06,KY,,,county,CHESTNUT HILL,CHESTNUT HILL,,polling_location,CROSSROADS COMMUNITY CHURCH,4128 TODDS RD LEXINGTON KY 40509,,VIP,2019-10-21,
2018-11-06,KY,,,county,DEER CROSSING,DEER CROSSING,,polling_location,CROSSROADS COMMUNITY CHURCH,4128 TODDS RD LEXINGTON KY 40509,,VIP,2019-10-21,
2018-11-06,KY,,,county,ASHCAMP,ASHCAMP,,polling_location,ASCAMP COMMUNITY BUILDING,10381 ELKHORN CREEK RD ASHCAMP KY 41512,,VIP,2019-10-21,
2018-11-06,KY,,,county,HURRICANE,HURRICANE,,polling_location,HURRICANE VOL FIRE DEPT,2981 HURRICANE RD PIKEVILLE KY 41501,,VIP,2019-10-21,
2018-11-06,KY,,,county,COURTHOUSE,COURTHOUSE,,polling_location,COURTHOUSE,210 MAIN ST WILLIAMSBURG KY 40769,,VIP,2019-10-21,
2018-11-06,KY,,,county,EAST MANCHESTER,EAST MANCHESTER,,polling_location,CLAY COUNTY ADMINISTRATION BLDG,102 RICHMOND RD MANCHESTER KY 40962,,VIP,2019-10-21,
2018-11-06,KY,,,county,PRECINCT 125 48 DISTRICT,PRECINCT 125 48 DISTRICT,,polling_location,FIRST BAPTIST CHURCH OF PROSPECT GYM,8911 US HIGHWAY 42 LOUISVILLE KY 40059,,VIP,2019-10-21,
2018-11-06,KY,,,county,PRECINCT 144 48 DISTRICT,PRECINCT 144 48 DISTRICT,,polling_location,FIRST BAPTIST CHURCH OF PROSPECT GYM,8911 US HIGHWAY 42 LOUISVILLE KY 40059,,VIP,2019-10-21,
2018-11-06,KY,,,county,PRECINCT 153 48 DISTRICT,PRECINCT 153 48 DISTRICT,,polling_location,FIRST BAPTIST CHURCH OF PROSPECT GYM,8911 US HIGHWAY 42 LOUISVILLE KY 40059,,VIP,2019-10-21,
2018-11-06,KY,,,county,MYERS TOWERS,MYERS TOWERS,,polling_location,MYERS TOWERS,748 HAMBLEY BLVD PIKEVILLE KY 41501,,VIP,2019-10-21,
2018-11-06,KY,,,county,CLIFFORD,CLIFFORD,,polling_location,CLIFFORD GYM,10046 S HWY 3 LOUISA KY 41230,,VIP,2019-10-21,
2018-11-06,KY,,,county,ROCK BRIDGE,ROCK BRIDGE,,polling_location,JOE HARRISON CARTER ELEMENTARY SCHOOL,3888 EDMONTON RD TOMPKINSVILLE KY 42167,,VIP,2019-10-21,
2018-11-06,KY,,,county,GOOSE ROCK,GOOSE ROCK,,polling_location,GOOSE ROCK ELEMENTARY SCHOOL,364 HWY 1524 MANCHESTER KY 40962,,VIP,2019-10-21,
2018-11-06,KY,,,county,BRIGHT SHADE,BRIGHT SHADE,,polling_location,GOOSE ROCK ELEMENTARY SCHOOL,364 HWY 1524 MANCHESTER KY 40962,,VIP,2019-10-21,
2018-11-06,KY,,,county,HARRISON 17,HARRISON 17,,polling_location,FAUBUSH FIRE STATION,5600 HWY 196 NANCY KY 42544,,VIP,2019-10-21,
