election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,LA,ACADIA,ACADIA,parish,01-01,01-01,,polling_place,MIRE FIRE STATION,"5248 MIRE HWY, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-02A,01-02A,,polling_place,RAYNE CITY COURTROOM,"301 E LOUISIANA AVE, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-02B,01-02B,,polling_place,RAYNE CITY COURTROOM,"301 E LOUISIANA AVE, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-03A,01-03A,,polling_place,RAYNE HIGH SCHOOL GYM,"1020 N POLK ST, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-03B,01-03B,,polling_place,RAYNE HIGH SCHOOL GYM,"1020 N POLK ST, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-04A,01-04A,,polling_place,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-04B,01-04B,,polling_place,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-05A,01-05A,,polling_place,SOUTH SIDE COMMUNITY CENTER,"403 4TH ST, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-05B,01-05B,,polling_place,SOUTH SIDE COMMUNITY CENTER,"403 4TH ST, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-06,01-06,,polling_place,NORTH SIDE COMMUNITY CENTER,"608 MARTIN LUTHER KING DR, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-07,01-07,,polling_place,RAYNE FEDERAL HOUSING,"403 WEST OAK ST, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-08,01-08,,polling_place,B&C SELF-STORAGE,"1931 E JEFF DAVIS AVE, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,01-09,01-09,,polling_place,MARTIN PETITJEAN ELEM SCHOOL,"4039 CROWLEY RAYNE HWY, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,02-01,02-01,,polling_place,MIRE FIRE STATION,"5248 MIRE HWY, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,02-02,02-02,,polling_place,CRAMER DRYERS,"1190 WABASH RD, RAYNE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,02-03,02-03,,polling_place,BRANCH FIRE STATION,"173 DR PARROT RD, BRANCH",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,02-04,02-04,,polling_place,MOWATA CATHOLIC CHURCH HALL,"29057 CROWLEY EUNICE HWY, CROWLEY/EUNICE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,02-04A,02-04A,,polling_place,MOWATA CATHOLIC CHURCH HALL,"29057 CROWLEY EUNICE HWY, CROWLEY/EUNICE",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,02-05,02-05,,polling_place,CROWLEY HIGH SCH COMMONS AREA,"263 HENSGENS RD, CROWLEY",,ORR,2019-10-18,Original PDF processed with ABBYY
2012-11-06,LA,ACADIA,ACADIA,parish,03-01,03-01,,polling_place,CHURCH POINT CITY HALL,"102 CHURCH BLVD, COUNCIL RM, CHURCH POINT",,ORR,2019-10-18,Original PDF processed with ABBYY
