election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2012-11-06,ME,Piscataquis,ABBOT ,municipality,1-1  ,ABBOT  1-1  ,,,Abbot Town Hall ,"133 Main Road, Abbot, ME",,ORR,2019-09-10,
2012-11-06,ME,York,ACTON,municipality,1-1  ,ACTON 1-1  ,,,Acton Town Hall ,"35 H Road, Acton, ME",,ORR,2019-09-10,
2012-11-06,ME,Washington,ADDISON,municipality,1-1  ,ADDISON 1-1  ,,,Addison Town Hall ,"334 Water Street, Addison, ME",,ORR,2019-09-10,
2012-11-06,ME,Oxford,ALBANY TWP,municipality,1-1  ,ALBANY TWP 1-1  ,,,Albany Twp. Town House,"1581 Hunts Corner Road, Albany Twp, ME",,ORR,2019-09-10,
2012-11-06,ME,Kennebec,ALBION,municipality,1-1  ,ALBION 1-1  ,,,Besse Building ,"22 Main Street, Albion, ME",,ORR,2019-09-10,
2012-11-06,ME,Washington,ALEXANDER,municipality,1-1  ,ALEXANDER 1-1  ,,,Alexander Municipal Building ,"50 Cooper Road, Alexander, ME",,ORR,2019-09-10,
2012-11-06,ME,York,ALFRED,municipality,All,ALFRED All,,,Conant Chapel ,"8 Kennebunk Road, Alfred, ME",,ORR,2019-09-10,
2012-11-06,ME,Aroostook,ALLAGASH,municipality,1-1,ALLAGASH 1-1,,,Allagash Community Center,"1063 Allagash Road, Allagash, ME",,ORR,2019-09-10,
2012-11-06,ME,Lincoln,ALNA,municipality,1-1  ,ALNA 1-1  ,,,Alna Fire Station,"1579 Alna Road, Alna, ME",,ORR,2019-09-10,
2012-11-06,ME,Penobscot,ALTON,municipality,1-1  ,ALTON 1-1  ,,,Alton Municipal Building ,"3352 Bennoch Road, Alton, ME",,ORR,2019-09-10,
2012-11-06,ME,Hancock,AMHERST,municipality,1-1  ,AMHERST 1-1  ,,,Amherst Town Hall ,"572 Airline Road, Amherst, ME",,ORR,2019-09-10,
2012-11-06,ME,Aroostook,AMITY *,municipality,1-1  ,AMITY * 1-1  ,,,Amity Town Office ,"1143 US Route 1, Amity, ME",,ORR,2019-09-10,
2012-11-06,ME,Oxford,ANDOVER,municipality,1-1  ,ANDOVER 1-1  ,,,Andover Town Hall ,"24 Elm Street, Andover, ME",,ORR,2019-09-10,
2012-11-06,ME,Somerset,ANSON,municipality,1-1  ,ANSON 1-1  ,,,Anson Town Hall ,"62 Main Street, Anson, ME",,ORR,2019-09-10,
2012-11-06,ME,Knox,APPLETON *,municipality,1-1  ,APPLETON * 1-1  ,,,Appleton Town Hall ,"2915 Sennebec Road, Appleton, ME",,ORR,2019-09-10,
2012-11-06,ME,Sagadahoc,ARROWSIC *,municipality,1-1  ,ARROWSIC * 1-1  ,,,Arrowsic Town Hall ,"340 Arrowsic Road, Arrowsic, ME",,ORR,2019-09-10,
2012-11-06,ME,York,ARUNDEL,municipality,1-1  ,ARUNDEL 1-1  ,,,Arundel Fire Station ,"468 Limerick Road, Arundel, ME",,ORR,2019-09-10,
2012-11-06,ME,Aroostook,ASHLAND,municipality,1-1  ,ASHLAND 1-1  ,,,Ashland Municipal Building,"17 Bridgham Street, Ashland, ME",,ORR,2019-09-10,
2012-11-06,ME,Somerset,ATHENS *,municipality,1-1,ATHENS * 1-1,,,Somerset Academy Building,"26 Academy Street, Athens, ME",,ORR,2019-09-10,
2012-11-06,ME,Piscataquis,ATKINSON ,municipality,1-1  ,ATKINSON  1-1  ,,,Atkinson Town Hall ,"102 No. Stagecoach Road, Atkinson, ME",,ORR,2019-09-10,
2012-11-06,ME,Androscoggin,AUBURN,municipality,1-1  ,AUBURN 1-1  ,,,Washburn School ,"35 Lake Auburn Avenue, Auburn, ME",,ORR,2019-09-10,
2012-11-06,ME,Androscoggin,AUBURN,municipality,2-1  ,AUBURN 2-1  ,,,Auburn Middle School ,"38 Falcon Drive, Auburn, ME",,ORR,2019-09-10,
2012-11-06,ME,Androscoggin,AUBURN,municipality,3-1,AUBURN 3-1,,,Auburn Hall ,"60 Court Street, Auburn, ME",,ORR,2019-09-10,
2012-11-06,ME,Androscoggin,AUBURN,municipality,4-1  ,AUBURN 4-1  ,,,Fairview School ,"397 Minot Avenue, Auburn, ME",,ORR,2019-09-10,
2012-11-06,ME,Androscoggin,AUBURN,municipality,5-1  ,AUBURN 5-1  ,,,Sherwood Heights School ,"32 Sherwood Drive, Auburn, ME",,ORR,2019-09-10,
2012-11-06,ME,Kennebec,AUGUSTA,municipality,1-1  ,AUGUSTA 1-1  ,,,Augusta Armory,"179 Western Avenue, Augusta, ME",,ORR,2019-09-10,
2012-11-06,ME,Kennebec,AUGUSTA,municipality,2-1,AUGUSTA 2-1,,,Augusta City Center,"16 Cony Street, Augusta, ME",,ORR,2019-09-10,
2012-11-06,ME,Kennebec,AUGUSTA,municipality, 3-1,AUGUSTA  3-1,,,Augusta City Center,"16 Cony Street, Augusta, ME",,ORR,2019-09-10,
2012-11-06,ME,Kennebec,AUGUSTA,municipality,4-1  ,AUGUSTA 4-1  ,,,Cony High School,"60 Pierce Drive, Augusta, ME",,ORR,2019-09-10,
2012-11-06,ME,Hancock,AURORA,municipality,1-1  ,AURORA 1-1  ,,,Aurora Town Hall ,"Old Route 9, Aurora, ME",,ORR,2019-09-10,
2012-11-06,ME,Franklin,AVON,municipality,1-1  ,AVON 1-1  ,,,Avon Municipal Building ,"1116 Rangeley Road, Avon, ME",,ORR,2019-09-10,
2012-11-06,ME,Washington,BAILEYVILLE,municipality,1-1  ,BAILEYVILLE 1-1  ,,,F. Doug Jones Memorial Municipal Building ,"63 Broadway Street, Baileyville, ME",,ORR,2019-09-10,
2012-11-06,ME,Cumberland,BALDWIN,municipality,1-1  ,BALDWIN 1-1  ,,,Baldwin Consolidated School ,"536 Pequawket Trail, West Baldwin, ME",,ORR,2019-09-10,
2012-11-06,ME,Aroostook,BANCROFT *,municipality,1-1  ,BANCROFT * 1-1  ,,,Bancroft Town Office ,"18 Schoolhouse Road, Bancroft, ME",,ORR,2019-09-10,
2012-11-06,ME,Penobscot,BANGOR,municipality,1-1  ,BANGOR 1-1  ,,,Bangor Civic Center ,"100 Dutton Street, Bangor, ME",,ORR,2019-09-10,
2012-11-06,ME,Hancock,BAR HARBOR,municipality,1-1  ,BAR HARBOR 1-1  ,,,Municipal Building Auditorium ,"93 Cottage Street, Bar Harbor, ME",,ORR,2019-09-10,
2012-11-06,ME,Washington,BARING PLT,municipality,1-1  ,BARING PLT 1-1  ,,,Baring Baptist Church ,"47 Front Street, Baring Plt, ME",,ORR,2019-09-10,
2012-11-06,ME,Sagadahoc,BATH,municipality,All,BATH All,,,Bath Middle School ,"6 Old Brunswick Road, Bath, ME",,ORR,2019-09-10,
2012-11-06,ME,Washington,BEALS ,municipality,1-1  ,BEALS  1-1  ,,,Beals Town Office ,"11 Big Pond Road, Beals, ME",,ORR,2019-09-10,
2012-11-06,ME,Piscataquis,BEAVER COVE,municipality,1-1,BEAVER COVE 1-1,,,Beaver Cove Town Office,"795 Lily Bay Road, Beaver Cove, ME",,ORR,2019-09-10,
2012-11-06,ME,Washington,BEDDINGTON,municipality,1-1  ,BEDDINGTON 1-1  ,,,Beddington Community Building ,"1982 State Highway 193, Beddington, ME",,ORR,2019-09-10,
2012-11-06,ME,Waldo,BELFAST,municipality,1-1  ,BELFAST 1-1  ,,,Belfast Boathouse ,"34 Commercial Street, Belfast, ME",,ORR,2019-09-10,
2012-11-06,ME,Waldo,BELFAST,municipality,2-1  ,BELFAST 2-1  ,,,Belfast Boathouse ,"34 Commercial Street, Belfast, ME",,ORR,2019-09-10,
2012-11-06,ME,Waldo,BELFAST,municipality,3-1  ,BELFAST 3-1  ,,,Belfast City Hall ,"131 Church Street, Belfast, ME",,ORR,2019-09-10,
2012-11-06,ME,Waldo,BELFAST,municipality,4-1  ,BELFAST 4-1  ,,,Belfast City Hall ,"131 Church Street, Belfast, ME",,ORR,2019-09-10,
2012-11-06,ME,Waldo,BELFAST,municipality,5-1  ,BELFAST 5-1  ,,,United Methodist Church ,"23 Mill Lane, Belfast, ME",,ORR,2019-09-10,
2012-11-06,ME,Kennebec,BELGRADE,municipality,1-1  ,BELGRADE 1-1  ,,,Center For All Seasons ,"1 Center Drive, Belgrade, ME",,ORR,2019-09-10,
2012-11-06,ME,Waldo,BELMONT,municipality,1-1  ,BELMONT 1-1  ,,,Belmont Community Building ,"613 Back Belmont Road, Belmont, ME",,ORR,2019-09-10,
2012-11-06,ME,Aroostook,BENEDICTA TWP w/ Sherman,municipality,1-1,BENEDICTA TWP w/ Sherman 1-1,,,Sherman Town Office ,"36 School Street, Sherman, ME",,ORR,2019-09-10,
2012-11-06,ME,Kennebec,BENTON,municipality,1-1  ,BENTON 1-1  ,,,Benton Town Office ,"1279 Clinton Avenue, Benton, ME",,ORR,2019-09-10,
