election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-11-08,MD,Anne Arundel,Anne Arundel,county,007-001-1,007-001-1,,,Tracey's Elementary School,"20 Deale Road, Tracys Landing, MD 20779",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,007-002-1,007-002-1,,,Deale Elementary School,"759 Masons Beach Road, Deale, MD 20751",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,007-009-1,007-009-1,,,Southern Middle School,"5235 Solomons Island Road, Lothian, MD 20711",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-001-1,005-001-1,,,St. Margaret's Episcopal Church,"1601 Pleasant Plains Road, Annapolis, MD 21409",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-002-1,005-002-1,,,Cape St. Claire Elementary School,"931 Blue Ridge Drive, Annapolis, MD 21409",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-003-1,005-003-1,,,Arnold Senior Activity Center,"44 Church Road, Arnold, MD 21012",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-004-1,005-004-1,,,Belvedere Elementary School,"360 Broadwater Road, Arnold, MD 21012",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-011-1,005-011-1,,,Magothy River Middle School,"241 Peninsula Farm Road, Arnold, MD 21012",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-017-1,005-017-1,,,Cape St. Claire Improvement Association,"1223 River Bay Road, Annapolis, MD 21409",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-018-1,005-018-1,,,Broadneck High School,"1265 Green Holly Drive, Annapolis, MD 21409",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-020-1,005-020-1,,,Gloria Dei Lutheran Church,"461 College Parkway, Arnold, MD 21012",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-021-1,005-021-1,,,CrossPointe Church,"365 Jones Station Road, Arnold, MD 21012",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-022-1,005-022-1,,,Broadneck High School,"1265 Green Holly Drive, Annapolis, MD 21409",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,005-023-1,005-023-1,,,Jones Elementary School,"122 Hoyle Lane, Severna Park, MD 21146",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,006-001-1,006-001-1,,,Bates Middle School,"701 Chase Street, Annapolis, MD 21401",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,006-002-1,006-002-1,,,Germantown Elementary School,"200 Windell Avenue, Annapolis, MD 21401",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,006-003-1,006-003-1,,,Phoenix Academy,"1411 Cedar Park Road, Annapolis, MD 21401",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,006-004-1,006-004-1,,,Heritage Baptist Church,"1740 Forest Drive, Annapolis, MD 21401",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,006-005-1,006-005-1,,,Annapolis Middle School,"1399 Forest Drive, Annapolis, MD 21403",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,006-006-1,006-006-1,,,Tyler Heights Elementary School,"200 Janwall Street, Annapolis, MD 21403",,ORR,2019-09-10,
2016-11-08,MD,Anne Arundel,Anne Arundel,county,006-007-1,006-007-1,,,Georgetown East Elementary School,"111 Dogwood Road, Annapolis, MD 21403",,ORR,2019-09-10,
