election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-1,ABINGTON 0-1,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-2,ABINGTON 0-2,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-3,ABINGTON 0-3,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-4,ABINGTON 0-4,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Plymouth,ABINGTON,municipality,0-5,ABINGTON 0-5,,election_day,EMERALD HALL (VFW),"30 CENTRAL ST, ABINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ACTON,municipality,0-1,ACTON 0-1,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER RD, ACTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ACTON,municipality,0-2,ACTON 0-2,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER RD, ACTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ACTON,municipality,0-3,ACTON 0-3,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER ROAD, ACTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ACTON,municipality,0-4,ACTON 0-4,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER ROAD, ACTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ACTON,municipality,0-5,ACTON 0-5,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER ROAD, ACTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ACTON,municipality,0-6,ACTON 0-6,,election_day,R J GREY JR HIGH SCHOOL,"12 CHARTER RD, ACTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Bristol,ACUSHNET,municipality,0-1,ACUSHNET 0-1,,election_day,ACUSHNET ELEMENTARY SCHOO,"800 MIDDLE ROAD, ACUSHNET, MA",,ORR,2020-10-20,
2020-11-03,MA,Bristol,ACUSHNET,municipality,0-2,ACUSHNET 0-2,,election_day,ACUSHNET ELEMENTARY SCHOO,"800 MIDDLE ROAD, ACUSHNET, MA",,ORR,2020-10-20,
2020-11-03,MA,Bristol,ACUSHNET,municipality,0-3,ACUSHNET 0-3,,election_day,ACUSHNET ELEMENTARY SCHOO,"800 MIDDLE ROAD, ACUSHNET, MA",,ORR,2020-10-20,
2020-11-03,MA,Berkshire,ADAMS,municipality,0-1,ADAMS 0-1,,election_day,ADAMS DPW GARAGE,"92 NORTH SUMMER STREET, ADAMS, MA",,ORR,2020-10-20,
2020-11-03,MA,Berkshire,ADAMS,municipality,0-2,ADAMS 0-2,,election_day,ADAMS DPW GARAGE,"92 NORTH SUMMER STREET, ADAMS, MA",,ORR,2020-10-20,
2020-11-03,MA,Berkshire,ADAMS,municipality,0-3,ADAMS 0-3,,election_day,ADAMS DPW GARAGE,"92 NORTH SUMMER STREET, ADAMS, MA",,ORR,2020-10-20,
2020-11-03,MA,Berkshire,ADAMS,municipality,0-4,ADAMS 0-4,,election_day,ADAMS DPW GARAGE,"92 NORTH SUMMER STREET, ADAMS, MA",,ORR,2020-10-20,
2020-11-03,MA,Berkshire,ADAMS,municipality,0-5,ADAMS 0-5,,election_day,ADAMS DPW GARAGE,"92 NORTH SUMMER STREET, ADAMS, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-1,AGAWAM 0-1,,election_day,ROBINSON SCHOOL,"65 BEGLEY ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-2,AGAWAM 0-2,,election_day,GRANGER SCHOOL,"31 SOUTH WESTFIELD ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-3,AGAWAM 0-3,,election_day,HIGH SCHOOL,"760 COOPER ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-4,AGAWAM 0-4,,election_day,ROBERTA.G.DOERING,"68 MAIN ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-5,AGAWAM 0-5,,election_day,PHELPS SCHOOL,"689 MAIN ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-6,AGAWAM 0-6,,election_day,JAMES CLARK SCHOOL,"65 OXFORD ST-OFF SOUTH ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-7,AGAWAM 0-7,,election_day,JUNIOR HIGH SCHOOL,"1305 SPRINGFIELD ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampden,AGAWAM,municipality,0-8,AGAWAM 0-8,,election_day,JAMES CLARK SCHOOL,"65 OXFORD ST-OFF SOUTH ST, AGAWAM, MA",,ORR,2020-10-20,
2020-11-03,MA,Berkshire,ALFORD,municipality,0-1,ALFORD 0-1,,election_day,TOWN HALL,"5 ALFORD CENTER RD, ALFORD, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,AMESBURY,municipality,0-1,AMESBURY 0-1,,election_day,AMESBURY HIGH SCHOOL,"5 HIGHLAND STREET, AMESBURY, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,AMESBURY,municipality,0-2,AMESBURY 0-2,,election_day,AMESBURY HIGH SCHOOL,"5 HIGHLAND STREET, AMESBURY, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,AMESBURY,municipality,0-3,AMESBURY 0-3,,election_day,AMESBURY HIGH SCHOOL,"5 HIGHLAND STREET, AMESBURY, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,AMESBURY,municipality,0-4,AMESBURY 0-4,,election_day,AMESBURY HIGH SCHOOL,"5 HIGHLAND STREET, AMESBURY, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,AMESBURY,municipality,0-5,AMESBURY 0-5,,election_day,AMESBURY HIGH SCHOOL,"5 HIGHLAND STREET, AMESBURY, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,AMESBURY,municipality,0-6,AMESBURY 0-6,,election_day,AMESBURY HIGH SCHOOL,"5 HIGHLAND STREET, AMESBURY, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-1,AMHERST 0-1,,election_day,NORTH ZION CHURCH,"CHURCH HALL 1199 N PLEASANT ST, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-2,AMHERST 0-2,,election_day,AMHERST- PELHAM REG H.S.,"21 MATTOON ST, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-3,AMHERST 0-3,,election_day,IMMANUEL LUTHERAN,"CHURCH LOUNGE - 867 N PLEASANT ST, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-4,AMHERST 0-4,,election_day,AMHERST-PELHAM REG H.S.,"21 MATTOON ST, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-5,AMHERST 0-5,,election_day,BANGS COMMUNITY CENTER,"70 BOLTWOOD WALK, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-6,AMHERST 0-6,,election_day,FORT RIVER SCHOOL,"70 SOUTH EAST STREET, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-7,AMHERST 0-7,,election_day,CROCKER FARM SCHOOL,"280 WEST STREET (RTE. 116), AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-8,AMHERST 0-8,,election_day,MUNSON MEMORIAL LIBRARY,"SOUTH EAST STREET, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-9,AMHERST 0-9,,election_day,WILDWOOD SCHOOL,"71 STRONG STREET, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Hampshire,AMHERST,municipality,0-10,AMHERST 0-10,,election_day,AMHERST-PELHAM REG H.S.,"21 MATTOON ST, AMHERST, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-1,ANDOVER 0-1,,election_day,CORMIER YOUTH CENTER,"40 WHITTIER CT, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-2,ANDOVER 0-2,,election_day,AHS FIELD HOUSE,"80 SHAWSHEEN RD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-3,ANDOVER 0-3,,election_day,CORMIER YOUTH CENTER,"40 WHITTIER CT, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-4,ANDOVER 0-4,,election_day,WOOD HILL MIDDLE SCHOOL,"333 HIGH PLAIN RD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-5,ANDOVER 0-5,,election_day,WOOD HILL MIDDLE SCHOOL,"333 HIGH PLAIN RD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-6,ANDOVER 0-6,,election_day,WOOD HILL MIDDLE SCHOOL,"333 HIGH PLAIN RD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-7,ANDOVER 0-7,,election_day,A.H.S. FIELD HOUSE,"80 SHAWSHEEN RD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-7A,ANDOVER 0-7A,,election_day,A.H.S. FIELD HOUSE,"80 SHAWSHEEN RD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-8,ANDOVER 0-8,,election_day,A.H.S. FIELD HOUSE,"80 SHAWSHEEN RD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Essex,ANDOVER,municipality,0-9,ANDOVER 0-9,,election_day,A.H.S. FIELD HOUSE,"80 SHAWSHEEN ROAD, ANDOVER, MA",,ORR,2020-10-20,
2020-11-03,MA,Dukes,AQUINNAH,municipality,0-1,AQUINNAH 0-1,,election_day,TOWN HALL,"65 STATE RD, AQUINNAH, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-1,ARLINGTON 0-1,,election_day,THOMPSON SCHOOL,"187 EVERETT STREET, ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-2,ARLINGTON 0-2,,election_day,HARDY SCHOOL,"52 LAKE STREET-(ENTRANCE BROOKS AVE), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-3,ARLINGTON 0-3,,election_day,THOMPSON SCHOOL,"187 EVERETT STREET, ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-4,ARLINGTON 0-4,,election_day,HARDY SCHOOL,"52 LAKE STREET-(ENTRANCE BROOKS AVE), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-5,ARLINGTON 0-5,,election_day,THOMPSON SCHOOL,"187 EVERETT STREET, ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-6,ARLINGTON 0-6,,election_day,HARDY SCHOOL,"52 LAKE STREET (ENTRANCE ON BROOKS AVENUE), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-7,ARLINGTON 0-7,,election_day,TOWN HALL,"730 MASSACHUSETTS AVENUE (BESIDE ROBBINS LIBRARY), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-8,ARLINGTON 0-8,,election_day,TOWN HALL,"730 MASSACHUSETTS AVENUE (BESIDE ROBBINS LIBRARY), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-9,ARLINGTON 0-9,,election_day,BISHOP SCHOOL,"25 COLUMBIA ROAD (ENTRANCE ON STOWECROFT ROAD), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-10,ARLINGTON 0-10,,election_day,TOWN HALL,"730 MASSACHUSETTS AVE (BESIDE ROBBINS LIBRARY), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-11,ARLINGTON 0-11,,election_day,BISHOP SCHOOL,"25 COLUMBIA ROAD, ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-12,ARLINGTON 0-12,,election_day,BRACKETT SCHOOL,"66 EASTERN AVENUE (LEFT @ WATER TOWER @ TOP OF PARK AVENUE), ARLINGTON, MA",,ORR,2020-10-20,
2020-11-03,MA,Middlesex,ARLINGTON,municipality,0-13,ARLINGTON 0-13,,election_day,STRATTON SCHOOL,"180 MOUNTAIN AVENUE, ARLINGTON, MA",,ORR,2020-10-20,
