FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
26,2018-11-06,PollingLocation,LEVEY MIDDLE SCHOOL,,Not Given
26,2018-11-06,PollingLocation,LEVEY MIDDLE SCHOOL,,Not Given
26,2018-11-06,PollingLocation,CLEARWATER TWP. HALL,,Not Given
26,2018-11-06,PollingLocation,CLEARWATER TWP. HALL,,Not Given
26,2018-11-06,PollingLocation,MUNICIPAL HALL,,Not Given
26,2018-11-06,PollingLocation,MUNICIPAL HALL,,Not Given
26,2018-11-06,PollingLocation,MUNICIPAL HALL,,Not Given
26,2018-11-06,PollingLocation,MUNICIPAL HALL,,Not Given
26,2018-11-06,PollingLocation,HANCOCK FIRE HALL,,Not Given
26,2018-11-06,PollingLocation,BLUE LAKE TWP. HALL,,Not Given
26,2018-11-06,PollingLocation,TRENTON CITY HALL,,Not Given
26,2018-11-06,PollingLocation,TRENTON CITY HALL,,Not Given
26,2018-11-06,PollingLocation,CUTLERVILLE FIRE STATION,,Not Given
26,2018-11-06,PollingLocation,CUTLERVILLE FIRE STATION,,Not Given
26,2018-11-06,PollingLocation,SALTER COMM CENTER A,,Not Given
26,2018-11-06,PollingLocation,BELLA VISTA CHURCH,,Not Given
26,2018-11-06,PollingLocation,BELLA VISTA CHURCH,,Not Given
26,2018-11-06,PollingLocation,METRO MATRIX,,Not Given
26,2018-11-06,PollingLocation,METRO MATRIX,,Not Given
26,2018-11-06,PollingLocation,METRO MATRIX,,Not Given
26,2018-11-06,PollingLocation,METRO MATRIX,,Not Given
26,2018-11-06,PollingLocation,EWING TWP HALL,,Not Given
26,2018-11-06,PollingLocation,DISNEY ELEM,,Not Given
26,2018-11-06,PollingLocation,CHOCOLAY TWP. HALL,,Not Given
26,2018-11-06,PollingLocation,SCHOENHALS SCHOOL,,Not Given
26,2018-11-06,PollingLocation,SCHOENHALS SCHOOL,,Not Given
26,2018-11-06,PollingLocation,ADA BIBLE CHURCH,,Not Given
26,2018-11-06,PollingLocation,ADA BIBLE CHURCH,,Not Given
26,2018-11-06,PollingLocation,BAY TOWNSHIP HALL,,Not Given
26,2018-11-06,PollingLocation,ALPINE COMMUNITY BLD,,Not Given
26,2018-11-06,PollingLocation,FIRE STATION # 3,,Not Given
26,2018-11-06,PollingLocation,FIRE STATION # 3,,Not Given
26,2018-11-06,PollingLocation,HERITAGE BAPT CHURCH,,Not Given
26,2018-11-06,PollingLocation,HERITAGE BAPT CHURCH,,Not Given
26,2018-11-06,PollingLocation,FISHER MAGNET LOWER,,Not Given
26,2018-11-06,PollingLocation,DICKSON TOWNSHIP,,Not Given
26,2018-11-06,PollingLocation,AMBER TOWNSHIP HALL,,Not Given
26,2018-11-06,PollingLocation,AMBER TOWNSHIP HALL,,Not Given
26,2018-11-06,PollingLocation,FERRY SCHOOL,,Not Given
26,2018-11-06,PollingLocation,BOARDMAN TWP. HALL,,Not Given
26,2018-11-06,PollingLocation,"FIRE STA#1, NEWPORT",,Not Given
26,2018-11-06,PollingLocation,"FIRE STA#1, NEWPORT",,Not Given
26,2018-11-06,PollingLocation,FREMONT TWP HALL,,Not Given
26,2018-11-06,PollingLocation,FREMONT TWP HALL,,Not Given
26,2018-11-06,PollingLocation,FREMONT TWP HALL,,Not Given
26,2018-11-06,PollingLocation,FIRE STATION,,Not Given
26,2018-11-06,PollingLocation,FIRE STATION,,Not Given
