election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2020-11-03,MI,ALCONA,ALCONA TOWNSHIP,municipality,1,,1285,election_day,ALCONA TOWNSHIP HALL,"5576 U.S. 23 SOUTH, BLACK RIVER MI 48721",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,CALEDONIA TOWNSHIP,municipality,1,,1286,election_day,CALEDONIA TWP. HALL,"6461 GILLARD RD., SPRUCE MI 48762",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,CURTIS TOWNSHIP,municipality,1,,810,election_day,CURTIS TOWNSHIP FIRE HALL,"5019 BAMFIELD ROAD, GLENNIE MI 48737",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,GREENBUSH TOWNSHIP,municipality,1,,809,election_day,GREENBUSH TWP HALL,"5039 E. CAMPBELL STREET, GREENBUSH MI 48738",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,GUSTIN TOWNSHIP,municipality,1,,1289,election_day,GUSTIN TWP. HALL,"113 S. SECOND ST., LINCOLN MI 48742",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,HARRISVILLE CITY,municipality,1,,1290,election_day,CITY HALL,"200 N. FIFTH ST., HARRISVILLE MI 48740",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,HARRISVILLE TOWNSHIP,municipality,1,,1291,election_day,HARRISVILLE TWP.HALL,"114 S. POOR FARM RD., HARRISVILLE MI 48740",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,HAWES TOWNSHIP,municipality,1,,1292,election_day,VFW HALL POST 8135,"2120 W. TRASK LAKE RD., BARTON CITY MI 48705",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,HAYNES TOWNSHIP,municipality,1,,1293,election_day,HAYNES TWP. HALL,"3930 E. MCNEIL RD., LINCOLN MI 48742",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,MIKADO TOWNSHIP,municipality,1,,1294,election_day,MIKADO TWP. HALL,"2291 S. F-41, POB 60, MIKADO MI 48745",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,MILLEN TOWNSHIP,municipality,1,,1295,election_day,F.O.E. HALL,"671 SANBORN RD., BARTON CITY MI 48705",,ORR,2020-10-15,
2020-11-03,MI,ALCONA,MITCHELL TOWNSHIP,municipality,1,,807,election_day,MITCHELL TWP HALL,"6849 W. TOWER ROAD, CURRAN MI 48728",,ORR,2020-10-15,
2020-11-03,MI,ALGER,AU TRAIN TOWNSHIP,municipality,1,,1297,election_day,COMMUNITY BUILDING,"N7569 SPRUCE ST, AU TRAIN MI 49806",,ORR,2020-10-15,
2020-11-03,MI,ALGER,BURT TOWNSHIP,municipality,1,,1299,election_day,COMMUNITY BUILDING,"E21738 BRAZEL ST, GRAND MARAIS MI 49839",,ORR,2020-10-15,
2020-11-03,MI,ALGER,GRAND ISLAND TOWNSHIP,municipality,1,,1300,election_day,7TH DAY ADVEN SCHOOL,"E8799 M-28 WEST, MUNISING MI 49862",,ORR,2020-10-15,
2020-11-03,MI,ALGER,LIMESTONE TOWNSHIP,municipality,1,,1301,election_day,TOWNSHIP HALL,"N3010 STATE RD 67, CHATHAM MI 49816",,ORR,2020-10-15,
2020-11-03,MI,ALGER,MATHIAS TOWNSHIP,municipality,1,,1302,election_day,COMMUNITY BUILDING,"E2997 STATE RD 67, TRENARY MI 49891",,ORR,2020-10-15,
2020-11-03,MI,ALGER,MUNISING CITY,municipality,1,,306,election_day,CITY HALL BUILDING,"301 E. SUPERIOR STREET, MUNISING MI 49862",,ORR,2020-10-15,
2020-11-03,MI,ALGER,MUNISING TOWNSHIP,municipality,1,,1305,election_day,MUNISING TWP OFFICE,"E9630 PROSPECT ST, WETMORE MI 49895",,ORR,2020-10-15,
2020-11-03,MI,ALGER,ONOTA TOWNSHIP,municipality,1,,1307,election_day,TOWNSHIP HALL,"E1461 DEERTON-SAND LAKE RD, DEERTON MI 49822",,ORR,2020-10-15,
2020-11-03,MI,ALGER,ROCK RIVER TOWNSHIP,municipality,1,,1309,election_day,TOWNSHIP HALL,"E3667 STATE RD 94, CHATHAM MI 49816",,ORR,2020-10-15,
