FIPS,Election Date,Site Type,Polling Location Name,Polling Location Address,Precinct Name
27,2014-11-04,polling_location,FAMILY OF GOD LUTHERAN CHURCH,8625 ZANE AVE N BROOKLYN PARK MN 55443,BROOKLYN PARK W-C P-3
27,2014-11-04,polling_location,BUNGO - BUNGO TWP HALL,3422 54TH AVE SW PINE RIVER MN 56474,BUNGO TWP
27,2014-11-04,polling_location,HOPE PRESBYTERIAN EDUCATION BLDG,7132 PORTLAND AVE S RICHFIELD MN 55423,RICHFIELD W-2 P-07
27,2014-11-04,polling_location,BOY LAKE - BOY LAKE TWP HALL,1737 92ND ST NE BOY RIVER MN 56672,BOY LAKE TWP
27,2014-11-04,polling_location,BOY LAKE - BOY LAKE TWP HALL,1737 92ND ST NE BOY RIVER MN 56672,BOY LAKE TWP
27,2014-11-04,polling_location,WINGER COMMUNITY CENTER,652 MAIN AVE WINGER MN 56592,WINGER TWP.
27,2014-11-04,polling_location,HANSONVILLE TOWN HALL,3558 CO HWY 1 HENDICKS MN 56136,HANSONVILLE TWP
27,2014-11-04,polling_location,HANSONVILLE TOWN HALL,3558 CO HWY 1 HENDICKS MN 56136,HANSONVILLE TWP
27,2014-11-04,polling_location,Bird Island Community Center- 0020,660 Birch AVE S BIRD ISLAND MN 55310,BIRD ISLAND
27,2014-11-04,polling_location,WILLMAR COMMUNITY CENTER(WILLMAR W1-P1),624 US HIGHWAY 71 N WILLMAR MN 56201,WILLMAR W-1 P-1
27,2014-11-04,polling_location,VFW HALL-IVANHOE,319 N HAROLD ST IVANHOE MN 56142,ASH LAKE TWP
27,2014-11-04,polling_location,VFW HALL-IVANHOE,319 N HAROLD ST IVANHOE MN 56142,ASH LAKE TWP
27,2014-11-04,polling_location,VFW HALL-IVANHOE,319 N HAROLD ST IVANHOE MN 56142,ASH LAKE TWP
27,2014-11-04,polling_location,ALTA VISTA TOWN HALL,3570 260TH AVE TAUNTON MN 56291,ALTA VISTA TWP
27,2014-11-04,polling_location,ALTA VISTA TOWN HALL,3570 260TH AVE TAUNTON MN 56291,ALTA VISTA TWP
27,2014-11-04,polling_location,ALTA VISTA TOWN HALL,3570 260TH AVE TAUNTON MN 56291,ALTA VISTA TWP
27,2014-11-04,polling_location,ALTERNATIVE LEARNING CENTER - ALC,1299 3RD ST W WINONA MN 55987,WINONA W-1 P-1
27,2014-11-04,polling_location,ATHENS TOWNSHIP HALL,883 261ST AVE NE ISANTI MN 55040,ATHENS TWP
27,2014-11-04,polling_location,ATHENS TOWNSHIP HALL,883 261ST AVE NE ISANTI MN 55040,ATHENS TWP
27,2014-11-04,polling_location,USDA SOIL LAB,803 IOWA AVE MORRIS MN 56267,FRAMNAS TWP.
27,2014-11-04,polling_location,USDA SOIL LAB,803 IOWA AVE MORRIS MN 56267,MORRIS TWP.
27,2014-11-04,polling_location,CIVIC CENTER- P1,323 W SCHLIEMAN AVE APPLETON MN 56208,APPLETON
27,2014-11-04,polling_location,CIVIC CENTER- P1,323 W SCHLIEMAN AVE APPLETON MN 56208,APPLETON
27,2014-11-04,polling_location,ST JOHN THE BAPTIST CATHOLIC CHURCH P-10,632 S BROAD ST MANKATO MN 56001,MANKATO  W-04 P-10
27,2014-11-04,polling_location,WILLMAR CONFERENCE CENTER (W3 - P1),2100 US HIGHWAY 12 E WILLMAR MN 56201,WILLMAR W-3 P-1
27,2014-11-04,polling_location,URBANK  CITY (EFFINGTON TOWN HALL SEC 23,50565 STATE HIGHWAY 235 PARKERS PRAIRIE MN 56536,URBANK
27,2014-11-04,polling_location,DUNDEE FIRE HALL/CITY HALL,111 N MAIN ST DUNDEE MN 56131,DUNDEE
27,2014-11-04,polling_location,DUNDEE FIRE HALL/CITY HALL,111 N MAIN ST DUNDEE MN 56131,GRAHAM LAKES TWP.
27,2014-11-04,polling_location,DUNDEE FIRE HALL/CITY HALL,111 N MAIN ST DUNDEE MN 56131,GRAHAM LAKES TWP.
27,2014-11-04,polling_location,DUNDEE FIRE HALL/CITY HALL,111 N MAIN ST DUNDEE MN 56131,GRAHAM LAKES TWP.
27,2014-11-04,polling_location,DUNDEE FIRE HALL/CITY HALL,111 N MAIN ST DUNDEE MN 56131,GRAHAM LAKES TWP.
27,2014-11-04,polling_location,FARDEN TOWN HALL,49702 315TH AVE CASS LAKE MN 56633,FARDEN TWP. P-1
27,2014-11-04,polling_location,FARDEN TOWN HALL,49702 315TH AVE CASS LAKE MN 56633,FARDEN TWP. P-1
27,2014-11-04,polling_location,FARDEN TOWN HALL,49702 315TH AVE CASS LAKE MN 56633,FARDEN TWP. P-2
27,2014-11-04,polling_location,COMMUNITY CENTER HOFFMAN,127 MAIN HOFFMAN MN 56339,HOFFMAN
27,2014-11-04,polling_location,COMMUNITY CENTER HOFFMAN,127 MAIN HOFFMAN MN 56339,LAND TWP
27,2014-11-04,polling_location,COMMUNITY CENTER HOFFMAN,127 MAIN HOFFMAN MN 56339,ROSEVILLE TWP
27,2014-11-04,polling_location,COMMUNITY CENTER HOFFMAN,127 MAIN HOFFMAN MN 56339,ROSEVILLE TWP
27,2014-11-04,polling_location,BOB WALLS MEMORIAL UNION HALL CENTER,509 3RD ST INTERNATIONAL FALLS CITY MN 56649,INTERNATIONAL FALLS - CENTER WARD
27,2014-11-04,polling_location,HALVERSON SCHOOL,707 10TH ST ALBERT LEA MN 56007,ALBERT LEA W-6 P-1
27,2014-11-04,polling_location,OLIVET UNITED METHODIST CHURCH,3620 43RD AVE N ROBBINSDALE MN 55422,ROBBINSDALE W-2
27,2014-11-04,polling_location,ALEXANDRIA CITY HALL,704 BROADWAY ST ALEXANDRIA MN 56308,ALEXANDRIA W-5 P-1
27,2014-11-04,polling_location,ALEXANDRIA CITY HALL,704 BROADWAY ST ALEXANDRIA MN 56308,ALEXANDRIA W-5 P-2
27,2014-11-04,polling_location,WASHBURN ELEMENTARY SCHOOL,8401 XERXES AVE S BLOOMINGTON MN 55431,BLOOMINGTON W-3 P-20
