election_date,state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,polling_place_id,location_type,name,address,notes,source,source_date,source_notes
2016-11-08,MN,,,county,,CLOW TWP,,early_vote_site,MAIL BALLOT PRECINCT - CLOW TOWNSHIP,410 5TH ST SE STE 214 HALLOCK MN  56728-4141,,VIP,2019-10-21,
2016-11-08,MN,,,county,,SHOREVIEW P-5,,polling_location,INCARNATION LUTHERAN CHURCH (P-5),4880 HODGSON RD SHOREVIEW  MN 55126,,VIP,2019-10-21,
2016-11-08,MN,,,county,,POPPLETON TWP,,early_vote_site,MAIL BALLOT PRECINCT-POPPLETON TOWNSHIP,410 5TH ST SE STE 214 HALLOCK MN  56728,,VIP,2019-10-21,
2016-11-08,MN,,,county,,MCGREGOR,,polling_location,MCGREGOR COMMUNITY CENTER,41442 STATE HIGHWAY 65 MCGREGOR  MN 55760,,VIP,2019-10-21,
2016-11-08,MN,,,county,,ST LOUIS PARK W-3 P-12,,polling_location,AQUILA ELEMENTARY SCHOOL,8500 31ST ST W ST LOUIS PARK  MN 55426,,VIP,2019-10-21,
2016-11-08,MN,,,county,,WHITE BEAR LAKE W-2 P-1,,polling_location,WHITE BEAR LAKE ARMORY (W-2 P-1),2228 4TH ST WHITE BEAR LAKE  MN 55110,,VIP,2019-10-21,
2016-11-08,MN,,,county,,BLAINE W-2 P-6,,polling_location,BLAINE CITY HALL (W2P6),10801 TOWN SQUARE DR BLAINE  MN 55449,,VIP,2019-10-21,
2016-11-08,MN,,,county,,BLAINE W-2 P-6_ISD_11_02,,polling_location,BLAINE CITY HALL (W2P6),10801 TOWN SQUARE DR BLAINE  MN 55449,,VIP,2019-10-21,
2016-11-08,MN,,,county,,BLAINE W-2 P-6_ISD_12,,polling_location,BLAINE CITY HALL (W2P6),10801 TOWN SQUARE DR BLAINE  MN 55449,,VIP,2019-10-21,
2016-11-08,MN,,,county,,BLAINE W-2 P-6_ISD_16,,polling_location,BLAINE CITY HALL (W2P6),10801 TOWN SQUARE DR BLAINE  MN 55449,,VIP,2019-10-21,
2016-11-08,MN,,,county,,HALMA,,early_vote_site,MAIL BALLOT PRECINCT - HALMA CITY,410 5TH ST SE STE 214 HALLOCK MN  56728-4141,,VIP,2019-10-21,
2016-11-08,MN,,,county,,ARDEN HILLS P-3,,polling_location,RAMSEY COUNTY PUBLIC WORKS FACILITY (P-3),1425 PAUL KIRKWOLD DR ARDEN HILLS  MN 55112,,VIP,2019-10-21,
2016-11-08,MN,,,county,,FARDEN TWP. P-1,,polling_location,FARDEN TOWN HALL,49702 315TH AVE CASS LAKE  MN 56633,,VIP,2019-10-21,
2016-11-08,MN,,,county,,FARDEN TWP. P-2,,polling_location,FARDEN TOWN HALL,49702 315TH AVE CASS LAKE  MN 56633,,VIP,2019-10-21,
2016-11-08,MN,,,county,,FARDEN TWP. P-1_ISD_31,,polling_location,FARDEN TOWN HALL,49702 315TH AVE CASS LAKE  MN 56633,,VIP,2019-10-21,
2016-11-08,MN,,,county,,FARDEN TWP. P-1_ISD_115,,polling_location,FARDEN TOWN HALL,49702 315TH AVE CASS LAKE  MN 56633,,VIP,2019-10-21,
2016-11-08,MN,,,county,,MINNEAPOLIS W-10 P-08,,polling_location,WHITTIER INTERNATIONAL SCHOOL,315 26TH ST W MINNEAPOLIS  MN 55408,,VIP,2019-10-21,
2016-11-08,MN,,,county,,STANTON TWP.,,polling_location,STANTON TOWN HALL,31186 40TH AVENUE WAY CANNON FALLS  MN 55009,,VIP,2019-10-21,
2016-11-08,MN,,,county,,STANTON TWP._ISD_195,,polling_location,STANTON TOWN HALL,31186 40TH AVENUE WAY CANNON FALLS  MN 55009,,VIP,2019-10-21,
2016-11-08,MN,,,county,,STANTON TWP._ISD_252,,polling_location,STANTON TOWN HALL,31186 40TH AVENUE WAY CANNON FALLS  MN 55009,,VIP,2019-10-21,
2016-11-08,MN,,,county,,COLUMBIA HEIGHTS P-4,,polling_location,HIGHLAND ELEMENTARY SCHOOL (P4),1500 49TH AVE NE COLUMBIA HEIGHTS  MN 55421,,VIP,2019-10-21,
2016-11-08,MN,,,county,,NORWAY TWP,,early_vote_site,MAIL BALLOT PRECINCT-NORWAY TOWNSHIP,410 5TH ST SE STE 214 HALLOCK MN  56728,,VIP,2019-10-21,
2016-11-08,MN,,,county,,NEVIS,,polling_location,NEVIS CITY ADMINISTRATION BUILDING,102 MAIN ST W NEVIS  MN 56467,,VIP,2019-10-21,
2016-11-08,MN,,,county,,NEVIS TWP.,,polling_location,NEVIS CITY ADMINISTRATION BUILDING,102 MAIN ST W NEVIS  MN 56467,,VIP,2019-10-21,
2016-11-08,MN,,,county,,SHOREWOOD P-4,,polling_location,EXCELSIOR COVENANT CHURCH,19955 EXCELSIOR BLVD EXCELSIOR  MN 55331,,VIP,2019-10-21,
