NAME,PRECINCT,POLLINGPLACE,ADDRESS,CITY,ZIP
Adams,Bellemont Precinct,ELKS LODGE,241 LOWER WOODVILLE RD.,NATCHEZ,39120
Adams,By-Pass Fire Precinct,BY-PASS FIRE STATION,467 JOHN R JUNKIN DR.,NATCHEZ,39120
Adams,Courthouse Precinct,COURTHOUSE,115 S. WALL ST.,NATCHEZ,39120
Adams,Beau Pre Precinct,CHURCH OF CHRIST,2 BEAU PRE RD.,NATCHEZ,39120
Adams,Duncan Park Precinct,DUNCAN PARK CANTEEN,57 DUNCAN PARK RD.,NATCHEZ,39120
Adams,Kingston Precinct,KINGSTON FIRE STATION,575 KINGSTON RD.,NATCHEZ,39120
Adams,Liberty Park Precinct,MS NAT GUARD ARMORY,329 LIBERTY RD.,NATCHEZ,39120
Adams,Concord Precinct,CHRISTIAN HOPE BAPTIST CHURCH,301 LASALLE ST,NATCHEZ,39120
Adams,Maryland Hgts. Precinct,MARYLAND HEIGHTS REC BLDG,111 DUMAS DR.,NATCHEZ,39120
Adams,Nps Multi Purpose Bldg.,DAVID R STECKLER MULTI PUR. BLDG,311 LIBERTY RD.,NATCHEZ,39120
Adams,Palestine Precinct,LIBERTY RD UOLUNTEER FIRE DEPT,1196 LIBERTY RD.,NATCHEZ,39120
Adams,Carpenter Precinct,ROSE HILL BAPTIST CHURCH,607 1/2 MADISON ST.,NATCHEZ,39120
Adams,Morgantown Precinct,MORGANTOWN SCHOOL,101 COTTAGE HOME DR.,NATCHEZ,39120
Adams,Northside Precinct,FRAZIER SCHOOL,1445 GEORGE F WEST BLVD.,NATCHEZ,39120
Adams,Pine Ridge Precinct,DISTRICT 4 BARN,176 FOSTER MOUND RD,NATCHEZ,39120
Adams,Thompson Precinct,THOMPSON SCHOOL,1038 N. UNION ST.,NATCHEZ,39120
Adams,Airport Precinct,AIRPORT FIREHOUSE,434 AIRPORT RD.,NATCHEZ,39120
Adams,Foster Mound Precinct,DISTRICT 5 FIRE STATION,228 FOSTER MOUND RD.,NATCHEZ,39120
Adams,Oakland Precinct,LOVELY LANE METHODIST CHURCH,65 MORGANTOWN RD.,NATCHEZ,39120
Adams,Washington Precinct,NEW HOPE BAPTIST CHURCH,417 MORGANTOWN RD.,NATCHEZ,39120
Alcorn,2nd District Central Precinct,W. O. W. BUILDING,72 CR 253,GLEN,38846
Alcorn,Bethel,PHIL CRUM'S SHOP,HWY 2 WEST,CORINTH,38834
Alcorn,Biggersville,BIGGERSVILLE FIRE STATION,531 CR 513,RIENZI,38865
Alcorn,College Hill,AMERICAN LEGION BUILDING,511 S TATE ST,CORINTH,38834
Alcorn,East Corinth,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,8TH STREET,CORINTH,38834
Alcorn,East Third Street,SKATELAND,2031 E 3RD ST,CORINTH,38834
Alcorn,Five Points 1st Dist,FARMINGTON CITY HALL,4135 CR 200,CORINTH,38834
Alcorn,Glen,GLEN CITY HALL,HWY 72 EAST,GLEN,38846
Alcorn,Jacinto,JACINTO SENIOR CITIZEN CENTER,4 CR 375,RIENZI,38865
Alcorn,Kossuth,L. C. FOLLIN BLUE BUILDING,7 CR 604,KOSSUTH,38834
Alcorn,North Corinth,SPORTSPLEX,SPORTSPLEX 1911 WEBSTER ST,CORINTH,38834
Alcorn,Rienzi,RIENZI FIRE STATION,71 S FRONT ST,RIENZI,38865
Alcorn,South Corinth,JOHN ST COMMUNITY CENTER,1102 S JOHN ST,CORINTH,38834
Alcorn,Union Center,OLD UNION CENTER SCHOOL BLDG,3 CR 643,WALNUT,38683
Alcorn,Wenasoga,V. F. W.,1 PURDY SCHOOL RD,CORINTH,38834
Alcorn,West Corinth,BISHOP CENTER,1300 WASHINGTON ST,CORINTH,38834
Amite,Amite River,AMITE RIVER/LIB. ELEMENTARY,3457B S GREENSBURG RD,LIBERTY,39645
Amite,Ariel,ARIEL VOLUNTEER FIRE DEPT. BLDG.,4250 KAHNVILLE RD,GLOSTER,39638
