NAME,PRECINCT,POLLINGPLACE,ADDRESS
Adams,"Dist. 1, Bellemont Precinct",ELKS LODGE,241 LOWER WOODVILLE RD. NATCHEZ MS 39120
Adams,"Dist. 1, By-Pass Fire Precinct",BY-PASS FIRE STATION,467 JOHN R JUNKIN DR. NATCHEZ MS 39120
Adams,"Dist. 1, Courthouse Precinct",COURTHOUSE,115 S. WALL ST. NATCHEZ MS 39120
Adams,"Dist. 2, Beau Pre Precinct",CHURCH OF CHRIST,2 BEAU PRE RD. NATCHEZ MS 39120
Adams,"Dist. 2, Duncan Park Precinct",DUNCAN PARK CANTEEN,57 DUNCAN PARK RD. NATCHEZ MS 39120
Adams,"Dist. 2, Kingston Precinct",KINGSTON FIRE STATION,575 KINGSTON RD. NATCHEZ MS 39120
Adams,"Dist. 2, Liberty Park Precinct",MS NAT GUARD ARMORY,329 LIBERTY RD. NATCHEZ MS 39120
Adams,"Dist. 3, Concord Precinct",CHRISTIAN HOPE BAPTIST CHURCH,301 LASALLE ST NATCHEZ MS 39120
Adams,"Dist. 3, Maryland Hgts. Precinct",MARYLAND HEIGHTS REC BLDG,111 DUMAS DR. NATCHEZ MS 39120
Adams,"Dist. 3, Nps Multi Purpose Bldg.",DAVID R STECKLER MULTI PUR. BLDG,311 LIBERTY RD. NATCHEZ MS 39120
Adams,"Dist. 3, Palestine Precinct",LIBERTY RD VOLUNTEER FIRE DEPT,1196 LIBERTY RD. NATCHEZ MS 39120
Adams,"Dist. 4, Carpenter Precinct",ROSE HILL BAPTIST CHURCH,607 1/2 MADISON ST. NATCHEZ MS 39120
Adams,"Dist. 4, Morgantown Precinct",MORGANTOWN SCHOOL,101 COTTAGE HOME DR. NATCHEZ MS 39120
Adams,"Dist. 4, Northside Precinct",FRAZIER SCHOOL,1445 GEORGE F WEST BLVD. NATCHEZ MS 39120
Adams,"Dist. 4, Pine Ridge Precinct",DISTRICT 4 BARN,176 FOSTER MOUND RD NATCHEZ MS 39120
Adams,"Dist. 5, Airport Precinct",AIRPORT FIREHOUSE,434 AIRPORT RD. NATCHEZ MS 39120
Adams,"Dist. 5, Foster Mound Precinct",DISTRICT 5 FIRE STATION,228 FOSTER MOUND RD. NATCHEZ MS 39120
Adams,"Dist. 5, Oakland Precinct",LOVELY LANE METHODIST CHURCH,65 MORGANTOWN RD. NATCHEZ MS 39120
Adams,"Dist. 5, Washington Precinct",NEW HOPE BAPTIST CHURCH,417 MORGANTOWN RD. NATCHEZ MS 39120
Alcorn,2nd District Central Precinct,W. O. W. BUILDING,72 CR 253 GLEN MS 38846
Alcorn,Bethel,PHIL CRUM'S SHOP,HWY 2 WEST CORINTH MS 38834
Alcorn,Biggersville,BIGGERSVILLE FIRE STATION,531 CR 513 RIENZI MS 38865
Alcorn,College Hill,AMERICAN LEGION BUILDING,511 S TATE ST CORINTH MS 38834
Alcorn,East Corinth,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,8TH STREET CORINTH MS 38834
Alcorn,Five Points 1st Dist,FARMINGTON CITY HALL,4135 CR 200 CORINTH MS 38834
Alcorn,Glen,GLEN CITY HALL,HWY 72 EAST GLEN MS 38846
Alcorn,Jacinto,JACINTO SENIOR CITIZEN CENTER,4 CR 375 RIENZI MS 38865
Alcorn,Kossuth,L. C. FOLLIN BLUE BUILDING,7 CR 604 KOSSUTH MS 38834
Alcorn,North Corinth,SPORTSPLEX,SPORTSPLEX 1911 WEBSTER ST CORINTH MS 38834
Alcorn,Pinecrest,PINECREST BAPTIST CHURCH FELLOWSHIP HALL,313 PINECREST ROAD CORINTH MS 38834
Alcorn,Rienzi,RIENZI FIRE STATION,71 S FRONT ST RIENZI MS 38865
Alcorn,Shady Grove,NORTH STATION FIRE & RESCUE,911 HIGHWAY 45 CORINTH MS 38834
Alcorn,South Corinth,JOHN ST COMMUNITY CENTER,1102 S JOHN ST CORINTH MS 38834
Alcorn,Union Center,OLD UNION CENTER SCHOOL BLDG,3 CR 643 WALNUT MS 38683
Alcorn,Wenasoga,V. F. W.,1 PURDY SCHOOL RD CORINTH MS 38834
Alcorn,West Corinth,BISHOP CENTER,1300 WASHINGTON ST CORINTH MS 38834
Amite,Amite River,AMITE RIVER/LIB. ELEMENTARY,3457B S GREENSBURG RD LIBERTY MS 39645
Amite,Ariel,ARIEL VOLUNTEER FIRE DEPT. BLDG.,4250 KAHNVILLE RD GLOSTER MS 39638
Amite,Berwick,BERWICK/JERUSALEM BAPT. CHURCH,3590-A JERUSALEM RD LIBERTY MS 39645
Amite,Crosby,CROSBY/FORMER TOWN HALL,106 PINE ST CROSBY MS 39631
Amite,East Centreville,E.CENTREVILLE/HWY. 48 W,1299 MS HWY 48 CENTREVILLE MS 39631
Amite,East Fork,EAST FORK/HWY. 24/PEORIA RD.,4330 PEORIA RD LIBERTY MS 39645
Amite,East Gloster,E. GLOSTER/GLOSTER F.D.,251 S FIRST ST GLOSTER MS 39638
Amite,East Liberty,EAST LIBERTY/HARRISON BLDG.,910 OLD MCCOMB-LIBERTY RD LIBERTY MS 39645
Amite,Gloster,GLOSTER TRANSFER/COMPACTOR,4909 E HOMOCHITTO RD GLOSTER MS 39638
Amite,Homochitto,HOMOCHITTO/MT. VERNON CHURCH,2038 POOLE LN GLOSTER MS 39638
Amite,Liberty,LIBERTY/HWY. 567,4354 MS HWY 567 LIBERTY MS 39645
Amite,New Zion,NEW ZION/SMITHDALE F.D.,5466 FENN RD SMITHDALE MS 39664
Amite,Oneil,O'NEIL FIRE DEPARTMENT,5697 OXFORD MEADVILLE RD GLOSTER MS 39638
Amite,Riceville,RICEVILLE/HWY. 568/PALMER RD.,2505 PALMER RD MAGNOLIA MS 39652
Amite,Smithdale,SMITHDALE/HWY. 570 - FENN RD.,6485 MS HWY 570 SMITHDALE MS 39664
Amite,South Liberty,S. LIBERTY/COURTHOUSE,243 W MAIN ST LIBERTY MS 39645
Amite,Street,STREET VOLUNTEER FIRE DEPT.,2169 MS HWY 569 S LIBERTY MS 39645
Amite,Tangipahoa,TANGIPAHOA RD/HWY. 570,7651 MS HIGHWAY 570 SUMMIT MS 39666
Amite,Tickfaw,TICKFAW/PEORIA ROAD,3499 PEORIA RD LIBERTY MS 39645
Amite,Walls,WALLS/GILLSBURG VOL. F. D.,6077 MS HWY 568 OSYKA MS 39657
Amite,Zion Hill,ZION HILL/HWY. 567/COLE RD.,6075 MS HWY 567 LIBERTY MS 39645
Attala,Aponaug,METHODIST PROTESTANT CHURCH,162 APONAUG ROAD KOSCIUSKO MS 3909
Attala,Berea,COMMUNITY HOUSE,ATTALA ROAD 3122 MCCOOL MS 39108
Attala,Carmack,SCHOOL BUILDING,HWY 35 NORTH VAIDEN MS 39176
