NAME,DIS_ID,PRECINCT,ECINCT_CODE,LOCATION_NAME,ADDRESS,VOTER_CO
Adams,7013,"Dist. 5, Airport Precinct",AP,AIRPORT TERMINAL,"434 AIRPORT RD., NATCHEZ MS 39120",872
Adams,7014,"Dist. 1, By-Pass Fire Precinct",BF,MISS. AUTO DIRECT,"250 JOHN R JUNKIN DR., NATCHEZ MS 39120",1110
Adams,7016,"Dist. 1, Bellemont Precinct",BL,CROSSPOINT CHURCH,"285 HIGHLAND BLVD., NATCHEZ MS 39120",1974
Adams,7019,"Dist. 2, Beau Pre Precinct",BP,CALVERY BAPTIST CHURCH,"522 HIGHWAY 61 SO., NATCHEZ MS 39120",983
Adams,7021,"Dist. 3, Concord Precinct",CD,CHRISTIAN HOPE BAPTIST CHURCH,"301 LASALLE ST, NATCHEZ MS 39120",896
Adams,7022,"Dist. 1, Courthouse Precinct",CH,COURTHOUSE,"115 S. WALL ST., NATCHEZ MS 39120",798
Adams,7023,"Dist. 4, Carpenter Precinct",CR,ROSE HILL BAPTIST CHURCH,"607 1/2 MADISON ST., NATCHEZ MS 39120",621
Adams,7024,"Dist. 2, Duncan Park Precinct",DP,DUNCAN PARK CANTEEN,"57 DUNCAN PARK RD., NATCHEZ MS 39120",1167
Adams,7026,"Dist. 5, Foster Mound Precinct",FM,DISTRICT 5 FIRE STATION,"228 FOSTER MOUND RD., NATCHEZ MS 39120",1328
Adams,7027,"Dist. 2, Kingston Precinct",KG,KINGSTON FIRE STATION,"575 KINGSTON RD, NATCHEZ MS 39120",830
Adams,7029,"Dist. 2, Liberty Park Precinct",LP,MS NAT GUARD ARMORY,"329 LIBERTY RD., NATCHEZ MS 39120",903
Adams,7030,"Dist. 4, Morgantown Precinct",MG,MORGANTOWN SCHOOL,"101 COTTAGE HOME DR., NATCHEZ MS 39120",639
Adams,7031,"Dist. 3, Maryland Hgts. Precinct",MH,MARYLAND HEIGHTS REC BLDG,"111 DUMAS DR., NATCHEZ MS 39120",902
Adams,7032,"Dist. 3, Nps Multi Purpose Bldg.",NPS,DAVID R STECKLER MULTI PUR. BLDG,"311 LIBERTY RD., NATCHEZ MS 39120",585
Adams,7033,"Dist. 4, Northside Precinct",NS,FRAZIER SCHOOL,"1445 GEORGE F WEST BLVD., NATCHEZ MS 39120",1760
Adams,7034,"Dist. 5, Oakland Precinct",OK,LOVELY LANE METHODIST CHURCH,"65 MORGANTOWN RD., NATCHEZ MS 39120",1523
Adams,7035,"Dist. 3, Palestine Precinct",PL,LIBERTY RD VOLUNTEER FIRE DEPT,"1196 LIBERTY RD., NATCHEZ MS 39120",1282
Adams,7037,"Dist. 4, Pine Ridge Precinct",PR,DISTRICT 4 BARN,"176 FOSTER MOUND RD., NATCHEZ MS 39120",641
Adams,7040,"Dist. 5, Washington Precinct",WS,NEW HOPE BAPTIST CHURCH,"417 MORGANTOWN RD., NATCHEZ MS 39120",726
Alcorn,5040,Bethel,2BET,PHIL CRUM'S SHOP,"HWY 2 WEST, CORINTH MS 38834",138
Alcorn,5041,Biggersville,2BIG,BIGGERSVILLE FIRE STATION,"531 CR 513, RIENZI MS 38865",1130
Alcorn,5042,2nd District Central Precinct,2CEN,W. O. W. BUILDING,"72 CR 253, GLEN MS 38846",2257
Alcorn,5043,College Hill,2CH,AMERICAN LEGION BUILDING,"511 S TATE ST, CORINTH MS 38834",1382
Alcorn,5045,East Corinth,2EC,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,"8TH STREET, CORINTH MS 38834",2019
Alcorn,5046,Five Points 1st Dist,2FP,FARMINGTON CITY HALL,"4135 CR 200, CORINTH MS 38834",2354
Alcorn,5047,Glen,2GL,GLEN CITY HALL,"HWY 72 EAST, GLEN MS 38846",1516
